Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(135; 1, 18)";8;5,49254;270;172753
"C(135; 2, 36)";8;5,49254;270;172753
"C(135; 4, 63)";8;5,49254;270;172753
"C(135; 7, 9)";8;5,49254;270;172753
"C(135; 8, 9)";8;5,49254;270;172753
"C(135; 9, 22)";8;5,49254;270;172753
"C(135; 9, 37)";8;5,49254;270;172753
"C(135; 9, 52)";8;5,49254;270;172753
"C(135; 9, 67)";8;5,49254;270;172753
"C(135; 11, 63)";8;5,49254;270;172753
"C(135; 14, 18)";8;5,49254;270;172753
"C(135; 16, 18)";8;5,49254;270;172753
"C(135; 17, 36)";8;5,49254;270;172753
"C(135; 18, 29)";8;5,49254;270;172753
"C(135; 18, 31)";8;5,49254;270;172753
"C(135; 18, 44)";8;5,49254;270;172753
"C(135; 18, 59)";8;5,49254;270;172753
"C(135; 19, 63)";8;5,49254;270;172753
"C(135; 26, 63)";8;5,49254;270;172753
"C(135; 28, 36)";8;5,49254;270;172753
"C(135; 32, 36)";8;5,49254;270;172753
"C(135; 34, 63)";8;5,49254;270;172753
"C(135; 36, 43)";8;5,49254;270;172753
"C(135; 36, 47)";8;5,49254;270;172753
"C(135; 36, 58)";8;5,49254;270;172753
"C(135; 36, 62)";8;5,49254;270;172753
"C(135; 41, 63)";8;5,49254;270;172753
"C(135; 49, 63)";8;5,49254;270;172753
"C(135; 56, 63)";8;5,49254;270;172753
"C(135; 63, 64)";8;5,49254;270;172753
