Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
760;C(760, 1, 210);20;13.01581;96;1520
760;C(760, 1, 241);20;13.01581;96;1520
760;C(760, 1, 265);20;13.01581;96;1520
760;C(760, 1, 267);20;13.01581;96;1520
760;C(760, 1, 279);20;13.01581;96;1520
760;C(760, 1, 321);20;13.01581;96;1520
760;C(760, 1, 341);20;13.01581;96;1520
760;C(760, 1, 359);20;13.01581;96;1520
760;C(760, 1, 319);20;13.01581;96;1520
760;C(760, 1, 343);20;13.01581;96;1520
760;C(760, 1, 361);20;13.01581;96;1520
