Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(393; 1, 29)";14;9,35714;786;12804927
"C(393; 1, 122)";14;9,35714;786;12804927
"C(393; 2, 58)";14;9,35714;786;12804927
"C(393; 2, 93)";14;9,35714;786;12804927
"C(393; 3, 29)";14;9,35714;786;12804927
"C(393; 4, 95)";14;9,35714;786;12804927
"C(393; 4, 116)";14;9,35714;786;12804927
"C(393; 5, 36)";14;9,35714;786;12804927
"C(393; 6, 58)";14;9,35714;786;12804927
"C(393; 6, 73)";14;9,35714;786;12804927
"C(393; 7, 68)";14;9,35714;786;12804927
"C(393; 8, 161)";14;9,35714;786;12804927
"C(393; 9, 34)";14;9,35714;786;12804927
"C(393; 9, 44)";14;9,35714;786;12804927
"C(393; 9, 175)";14;9,35714;786;12804927
"C(393; 10, 41)";14;9,35714;786;12804927
"C(393; 12, 89)";14;9,35714;786;12804927
"C(393; 12, 116)";14;9,35714;786;12804927
"C(393; 12, 146)";14;9,35714;786;12804927
"C(393; 13, 14)";14;9,35714;786;12804927
"C(393; 13, 15)";14;9,35714;786;12804927
"C(393; 14, 15)";14;9,35714;786;12804927
"C(393; 14, 136)";14;9,35714;786;12804927
"C(393; 16, 39)";14;9,35714;786;12804927
"C(393; 16, 71)";14;9,35714;786;12804927
"C(393; 17, 100)";14;9,35714;786;12804927
"C(393; 17, 109)";14;9,35714;786;12804927
"C(393; 18, 43)";14;9,35714;786;12804927
"C(393; 18, 88)";14;9,35714;786;12804927
"C(393; 19, 40)";14;9,35714;786;12804927
"C(393; 19, 158)";14;9,35714;786;12804927
"C(393; 20, 82)";14;9,35714;786;12804927
"C(393; 20, 147)";14;9,35714;786;12804927
"C(393; 21, 59)";14;9,35714;786;12804927
"C(393; 22, 67)";14;9,35714;786;12804927
"C(393; 23, 55)";14;9,35714;786;12804927
"C(393; 24, 47)";14;9,35714;786;12804927
"C(393; 25, 61)";14;9,35714;786;12804927
"C(393; 26, 28)";14;9,35714;786;12804927
"C(393; 27, 29)";14;9,35714;786;12804927
"C(393; 28, 30)";14;9,35714;786;12804927
"C(393; 28, 121)";14;9,35714;786;12804927
"C(393; 29, 55)";14;9,35714;786;12804927
"C(393; 30, 103)";14;9,35714;786;12804927
"C(393; 31, 51)";14;9,35714;786;12804927
"C(393; 31, 66)";14;9,35714;786;12804927
