Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
963;C(963, 1, 294);22;14.63617;234;1926
963;C(963, 1, 393);22;14.63617;234;1926
963;C(963, 1, 334);22;14.63617;234;1926
963;C(963, 1, 395);22;14.63617;234;1926
963;C(963, 147, 481);22;14.63617;234;1926
963;C(963, 167, 481);22;14.63617;234;1926
963;C(963, 284, 481);22;14.63617;234;1926
963;C(963, 285, 481);22;14.63617;234;1926
963;C(963, 458, 481);22;14.63617;234;1926
963;C(963, 461, 481);22;14.63617;234;1926
