Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(98; 1, 7, 36)";4;3,05155;294;842182
"C(98; 1, 14, 22)";4;3,05155;294;842182
"C(98; 1, 36, 42)";4;3,05155;294;842182
"C(98; 2, 9, 28)";4;3,05155;294;842182
"C(98; 3, 10, 21)";4;3,05155;294;842182
"C(98; 3, 10, 28)";4;3,05155;294;842182
"C(98; 4, 11, 21)";4;3,05155;294;842182
"C(98; 4, 11, 28)";4;3,05155;294;842182
"C(98; 4, 31, 42)";4;3,05155;294;842182
"C(98; 5, 12, 28)";4;3,05155;294;842182
"C(98; 5, 14, 16)";4;3,05155;294;842182
"C(98; 5, 16, 35)";4;3,05155;294;842182
"C(98; 6, 7, 41)";4;3,05155;294;842182
"C(98; 6, 14, 27)";4;3,05155;294;842182
"C(98; 6, 41, 42)";4;3,05155;294;842182
"C(98; 7, 13, 22)";4;3,05155;294;842182
"C(98; 7, 29, 34)";4;3,05155;294;842182
"C(98; 9, 14, 30)";4;3,05155;294;842182
"C(98; 9, 30, 35)";4;3,05155;294;842182
"C(98; 12, 14, 33)";4;3,05155;294;842182
"C(98; 12, 33, 35)";4;3,05155;294;842182
"C(98; 14, 15, 36)";4;3,05155;294;842182
"C(98; 14, 20, 41)";4;3,05155;294;842182
"C(98; 14, 23, 44)";4;3,05155;294;842182
"C(98; 14, 26, 47)";4;3,05155;294;842182
"C(98; 14, 37, 40)";4;3,05155;294;842182
"C(98; 16, 23, 28)";4;3,05155;294;842182
"C(98; 17, 21, 24)";4;3,05155;294;842182
"C(98; 17, 24, 28)";4;3,05155;294;842182
"C(98; 18, 21, 25)";4;3,05155;294;842182
"C(98; 18, 25, 28)";4;3,05155;294;842182
"C(98; 19, 26, 28)";4;3,05155;294;842182
"C(98; 21, 31, 38)";4;3,05155;294;842182
"C(98; 21, 32, 39)";4;3,05155;294;842182
"C(98; 23, 35, 44)";4;3,05155;294;842182
"C(98; 26, 35, 47)";4;3,05155;294;842182
"C(98; 28, 30, 37)";4;3,05155;294;842182
"C(98; 28, 31, 38)";4;3,05155;294;842182
"C(98; 28, 32, 39)";4;3,05155;294;842182
"C(98; 28, 33, 40)";4;3,05155;294;842182
"C(98; 28, 45, 46)";4;3,05155;294;842182
"C(98; 29, 34, 42)";4;3,05155;294;842182
"C(98; 35, 37, 40)";4;3,05155;294;842182
