Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
304;C(304, 1, 33, 42);6;4.52805;553264237;912
304;C(304, 1, 54, 129);6;4.52805;553264237;912
304;C(304, 2, 29, 45);6;4.52805;553264237;912
304;C(304, 2, 107, 123);6;4.52805;553264237;912
304;C(304, 3, 83, 142);6;4.52805;553264237;912
304;C(304, 3, 99, 126);6;4.52805;553264237;912
304;C(304, 5, 34, 37);6;4.52805;553264237;912
304;C(304, 5, 94, 139);6;4.52805;553264237;912
304;C(304, 6, 17, 65);6;4.52805;553264237;912
304;C(304, 6, 87, 135);6;4.52805;553264237;912
304;C(304, 7, 9, 74);6;4.52805;553264237;912
304;C(304, 7, 10, 73);6;4.52805;553264237;912
304;C(304, 9, 55, 122);6;4.52805;553264237;912
304;C(304, 10, 79, 145);6;4.52805;553264237;912
304;C(304, 11, 14, 101);6;4.52805;553264237;912
304;C(304, 11, 59, 146);6;4.52805;553264237;912
304;C(304, 13, 62, 125);6;4.52805;553264237;912
304;C(304, 13, 94, 147);6;4.52805;553264237;912
304;C(304, 14, 51, 141);6;4.52805;553264237;912
304;C(304, 15, 22, 113);6;4.52805;553264237;912
304;C(304, 15, 102, 111);6;4.52805;553264237;912
304;C(304, 17, 47, 106);6;4.52805;553264237;912
304;C(304, 18, 43, 101);6;4.52805;553264237;912
304;C(304, 18, 51, 109);6;4.52805;553264237;912
304;C(304, 21, 27, 82);6;4.52805;553264237;912
304;C(304, 21, 30, 85);6;4.52805;553264237;912
304;C(304, 22, 39, 137);6;4.52805;553264237;912
304;C(304, 23, 26, 73);6;4.52805;553264237;912
304;C(304, 23, 54, 151);6;4.52805;553264237;912
304;C(304, 25, 87, 138);6;4.52805;553264237;912
304;C(304, 25, 119, 134);6;4.52805;553264237;912
304;C(304, 26, 79, 129);6;4.52805;553264237;912
304;C(304, 27, 62, 139);6;4.52805;553264237;912
304;C(304, 29, 46, 93);6;4.52805;553264237;912
304;C(304, 30, 67, 131);6;4.52805;553264237;912
304;C(304, 31, 47, 150);6;4.52805;553264237;912
304;C(304, 31, 86, 111);6;4.52805;553264237;912
304;C(304, 33, 127, 134);6;4.52805;553264237;912
304;C(304, 34, 115, 147);6;4.52805;553264237;912
304;C(304, 35, 45, 66);6;4.52805;553264237;912
304;C(304, 35, 50, 61);6;4.52805;553264237;912
304;C(304, 37, 91, 130);6;4.52805;553264237;912
304;C(304, 39, 71, 118);6;4.52805;553264237;912
304;C(304, 41, 86, 121);6;4.52805;553264237;912
304;C(304, 41, 102, 137);6;4.52805;553264237;912
304;C(304, 42, 119, 151);6;4.52805;553264237;912
304;C(304, 43, 75, 110);6;4.52805;553264237;912
304;C(304, 46, 59, 123);6;4.52805;553264237;912
304;C(304, 49, 63, 90);6;4.52805;553264237;912
304;C(304, 49, 70, 97);6;4.52805;553264237;912
304;C(304, 50, 91, 117);6;4.52805;553264237;912
304;C(304, 53, 75, 98);6;4.52805;553264237;912
304;C(304, 53, 126, 149);6;4.52805;553264237;912
304;C(304, 55, 70, 103);6;4.52805;553264237;912
304;C(304, 58, 63, 81);6;4.52805;553264237;912
304;C(304, 58, 71, 89);6;4.52805;553264237;912
304;C(304, 61, 115, 130);6;4.52805;553264237;912
304;C(304, 65, 127, 138);6;4.52805;553264237;912
304;C(304, 66, 107, 117);6;4.52805;553264237;912
304;C(304, 67, 78, 83);6;4.52805;553264237;912
304;C(304, 69, 78, 85);6;4.52805;553264237;912
304;C(304, 69, 142, 149);6;4.52805;553264237;912
304;C(304, 74, 143, 145);6;4.52805;553264237;912
304;C(304, 77, 98, 99);6;4.52805;553264237;912
304;C(304, 77, 109, 110);6;4.52805;553264237;912
304;C(304, 81, 113, 118);6;4.52805;553264237;912
304;C(304, 82, 125, 131);6;4.52805;553264237;912
304;C(304, 89, 90, 103);6;4.52805;553264237;912
304;C(304, 93, 141, 146);6;4.52805;553264237;912
304;C(304, 97, 122, 143);6;4.52805;553264237;912
304;C(304, 105, 106, 135);6;4.52805;553264237;912
304;C(304, 105, 121, 150);6;4.52805;553264237;912
305;C(305, 1, 21, 138);6;4.53289;571419978;915
305;C(305, 1, 29, 37);6;4.53289;571419978;915
305;C(305, 1, 33, 42);6;4.53289;571419978;915
305;C(305, 2, 29, 42);6;4.53289;571419978;915
305;C(305, 2, 58, 74);6;4.53289;571419978;915
305;C(305, 2, 66, 84);6;4.53289;571419978;915
305;C(305, 3, 63, 109);6;4.53289;571419978;915
305;C(305, 3, 87, 111);6;4.53289;571419978;915
305;C(305, 3, 99, 126);6;4.53289;571419978;915
305;C(305, 4, 58, 84);6;4.53289;571419978;915
305;C(305, 4, 116, 148);6;4.53289;571419978;915
305;C(305, 4, 132, 137);6;4.53289;571419978;915
305;C(305, 6, 53, 107);6;4.53289;571419978;915
305;C(305, 6, 83, 131);6;4.53289;571419978;915
305;C(305, 6, 87, 126);6;4.53289;571419978;915
305;C(305, 7, 11, 74);6;4.53289;571419978;915
305;C(305, 7, 46, 102);6;4.53289;571419978;915
305;C(305, 7, 51, 147);6;4.53289;571419978;915
305;C(305, 8, 9, 73);6;4.53289;571419978;915
305;C(305, 8, 31, 41);6;4.53289;571419978;915
305;C(305, 8, 116, 137);6;4.53289;571419978;915
305;C(305, 9, 22, 116);6;4.53289;571419978;915
305;C(305, 9, 28, 44);6;4.53289;571419978;915
305;C(305, 11, 14, 102);6;4.53289;571419978;915
305;C(305, 11, 58, 148);6;4.53289;571419978;915
305;C(305, 12, 43, 139);6;4.53289;571419978;915
305;C(305, 12, 53, 131);6;4.53289;571419978;915
305;C(305, 12, 91, 106);6;4.53289;571419978;915
