Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(419; 1, 42, 51)";7;5,06699;1257;747128594
"C(419; 2, 23, 189)";7;5,06699;1257;747128594
"C(419; 2, 84, 102)";7;5,06699;1257;747128594
"C(419; 3, 30, 146)";7;5,06699;1257;747128594
"C(419; 3, 126, 153)";7;5,06699;1257;747128594
"C(419; 4, 40, 55)";7;5,06699;1257;747128594
"C(419; 5, 36, 50)";7;5,06699;1257;747128594
"C(419; 5, 164, 209)";7;5,06699;1257;747128594
"C(419; 6, 69, 148)";7;5,06699;1257;747128594
"C(419; 6, 113, 167)";7;5,06699;1257;747128594
"C(419; 7, 33, 129)";7;5,06699;1257;747128594
"C(419; 7, 62, 125)";7;5,06699;1257;747128594
"C(419; 7, 70, 201)";7;5,06699;1257;747128594
"C(419; 8, 11, 83)";7;5,06699;1257;747128594
"C(419; 8, 80, 110)";7;5,06699;1257;747128594
"C(419; 9, 19, 90)";7;5,06699;1257;747128594
"C(419; 9, 40, 41)";7;5,06699;1257;747128594
"C(419; 9, 106, 197)";7;5,06699;1257;747128594
"C(419; 10, 72, 100)";7;5,06699;1257;747128594
"C(419; 10, 107, 115)";7;5,06699;1257;747128594
"C(419; 11, 43, 142)";7;5,06699;1257;747128594
"C(419; 12, 85, 193)";7;5,06699;1257;747128594
"C(419; 12, 120, 165)";7;5,06699;1257;747128594
"C(419; 13, 74, 130)";7;5,06699;1257;747128594
"C(419; 13, 127, 175)";7;5,06699;1257;747128594
"C(419; 14, 66, 161)";7;5,06699;1257;747128594
"C(419; 14, 124, 169)";7;5,06699;1257;747128594
"C(419; 15, 37, 49)";7;5,06699;1257;747128594
"C(419; 15, 73, 208)";7;5,06699;1257;747128594
"C(419; 15, 108, 150)";7;5,06699;1257;747128594
"C(419; 16, 22, 166)";7;5,06699;1257;747128594
"C(419; 17, 29, 124)";7;5,06699;1257;747128594
"C(419; 17, 129, 170)";7;5,06699;1257;747128594
"C(419; 18, 25, 207)";7;5,06699;1257;747128594
"C(419; 18, 38, 180)";7;5,06699;1257;747128594
"C(419; 18, 80, 82)";7;5,06699;1257;747128594
"C(419; 20, 144, 200)";7;5,06699;1257;747128594
"C(419; 21, 32, 99)";7;5,06699;1257;747128594
"C(419; 21, 184, 209)";7;5,06699;1257;747128594
"C(419; 22, 86, 135)";7;5,06699;1257;747128594
"C(419; 22, 93, 199)";7;5,06699;1257;747128594
"C(419; 23, 55, 131)";7;5,06699;1257;747128594
"C(419; 23, 84, 128)";7;5,06699;1257;747128594
"C(419; 24, 33, 170)";7;5,06699;1257;747128594
"C(419; 24, 89, 179)";7;5,06699;1257;747128594
"C(419; 24, 143, 173)";7;5,06699;1257;747128594
"C(419; 25, 58, 78)";7;5,06699;1257;747128594
"C(419; 25, 169, 180)";7;5,06699;1257;747128594
"C(419; 26, 57, 120)";7;5,06699;1257;747128594
"C(419; 26, 148, 159)";7;5,06699;1257;747128594
"C(419; 27, 57, 149)";7;5,06699;1257;747128594
"C(419; 27, 101, 172)";7;5,06699;1257;747128594
"C(419; 28, 34, 139)";7;5,06699;1257;747128594
"C(419; 28, 81, 171)";7;5,06699;1257;747128594
"C(419; 28, 97, 132)";7;5,06699;1257;747128594
"C(419; 29, 125, 129)";7;5,06699;1257;747128594
"C(419; 30, 74, 98)";7;5,06699;1257;747128594
"C(419; 30, 119, 203)";7;5,06699;1257;747128594
"C(419; 31, 109, 112)";7;5,06699;1257;747128594
"C(419; 32, 44, 87)";7;5,06699;1257;747128594
"C(419; 32, 51, 91)";7;5,06699;1257;747128594
"C(419; 33, 70, 89)";7;5,06699;1257;747128594
"C(419; 34, 58, 171)";7;5,06699;1257;747128594
"C(419; 34, 79, 161)";7;5,06699;1257;747128594
"C(419; 35, 109, 206)";7;5,06699;1257;747128594
"C(419; 35, 165, 193)";7;5,06699;1257;747128594
"C(419; 36, 59, 76)";7;5,06699;1257;747128594
"C(419; 36, 160, 164)";7;5,06699;1257;747128594
"C(419; 37, 65, 203)";7;5,06699;1257;747128594
"C(419; 38, 39, 106)";7;5,06699;1257;747128594
"C(419; 38, 80, 157)";7;5,06699;1257;747128594
"C(419; 39, 124, 180)";7;5,06699;1257;747128594
"C(419; 42, 47, 88)";7;5,06699;1257;747128594
"C(419; 42, 64, 198)";7;5,06699;1257;747128594
"C(419; 43, 83, 134)";7;5,06699;1257;747128594
"C(419; 43, 98, 130)";7;5,06699;1257;747128594
"C(419; 44, 149, 172)";7;5,06699;1257;747128594
"C(419; 45, 111, 147)";7;5,06699;1257;747128594
"C(419; 46, 110, 157)";7;5,06699;1257;747128594
"C(419; 46, 163, 168)";7;5,06699;1257;747128594
"C(419; 47, 51, 87)";7;5,06699;1257;747128594
"C(419; 47, 117, 121)";7;5,06699;1257;747128594
"C(419; 48, 61, 178)";7;5,06699;1257;747128594
"C(419; 48, 66, 79)";7;5,06699;1257;747128594
"C(419; 48, 73, 133)";7;5,06699;1257;747128594
"C(419; 49, 65, 188)";7;5,06699;1257;747128594
"C(419; 49, 71, 150)";7;5,06699;1257;747128594
"C(419; 50, 59, 81)";7;5,06699;1257;747128594
"C(419; 50, 116, 156)";7;5,06699;1257;747128594
"C(419; 52, 89, 138)";7;5,06699;1257;747128594
"C(419; 52, 101, 123)";7;5,06699;1257;747128594
"C(419; 52, 114, 179)";7;5,06699;1257;747128594
"C(419; 53, 111, 205)";7;5,06699;1257;747128594
"C(419; 53, 131, 189)";7;5,06699;1257;747128594
"C(419; 54, 75, 202)";7;5,06699;1257;747128594
"C(419; 54, 114, 121)";7;5,06699;1257;747128594
"C(419; 54, 173, 179)";7;5,06699;1257;747128594
"C(419; 55, 128, 204)";7;5,06699;1257;747128594
"C(419; 56, 68, 141)";7;5,06699;1257;747128594
"C(419; 56, 77, 162)";7;5,06699;1257;747128594
"C(419; 56, 155, 194)";7;5,06699;1257;747128594
"C(419; 57, 151, 159)";7;5,06699;1257;747128594
"C(419; 58, 161, 169)";7;5,06699;1257;747128594
"C(419; 59, 78, 171)";7;5,06699;1257;747128594
"C(419; 61, 73, 108)";7;5,06699;1257;747128594
"C(419; 61, 104, 191)";7;5,06699;1257;747128594
"C(419; 62, 195, 201)";7;5,06699;1257;747128594
"C(419; 63, 96, 122)";7;5,06699;1257;747128594
"C(419; 63, 132, 139)";7;5,06699;1257;747128594
"C(419; 63, 133, 208)";7;5,06699;1257;747128594
"C(419; 64, 88, 174)";7;5,06699;1257;747128594
"C(419; 64, 102, 182)";7;5,06699;1257;747128594
"C(419; 65, 67, 119)";7;5,06699;1257;747128594
"C(419; 66, 140, 178)";7;5,06699;1257;747128594
"C(419; 67, 142, 163)";7;5,06699;1257;747128594
"C(419; 67, 168, 188)";7;5,06699;1257;747128594
"C(419; 68, 77, 116)";7;5,06699;1257;747128594
"C(419; 68, 97, 158)";7;5,06699;1257;747128594
"C(419; 70, 85, 138)";7;5,06699;1257;747128594
"C(419; 71, 128, 176)";7;5,06699;1257;747128594
"C(419; 71, 188, 204)";7;5,06699;1257;747128594
"C(419; 72, 91, 99)";7;5,06699;1257;747128594
"C(419; 72, 118, 152)";7;5,06699;1257;747128594
"C(419; 75, 88, 121)";7;5,06699;1257;747128594
"C(419; 75, 174, 185)";7;5,06699;1257;747128594
"C(419; 76, 105, 160)";7;5,06699;1257;747128594
"C(419; 79, 133, 139)";7;5,06699;1257;747128594
"C(419; 81, 97, 116)";7;5,06699;1257;747128594
"C(419; 83, 92, 93)";7;5,06699;1257;747128594
"C(419; 84, 94, 176)";7;5,06699;1257;747128594
"C(419; 85, 145, 201)";7;5,06699;1257;747128594
"C(419; 86, 151, 166)";7;5,06699;1257;747128594
"C(419; 86, 159, 196)";7;5,06699;1257;747128594
"C(419; 87, 117, 172)";7;5,06699;1257;747128594
"C(419; 90, 125, 197)";7;5,06699;1257;747128594
"C(419; 92, 105, 199)";7;5,06699;1257;747128594
"C(419; 93, 134, 135)";7;5,06699;1257;747128594
"C(419; 94, 102, 174)";7;5,06699;1257;747128594
"C(419; 94, 177, 185)";7;5,06699;1257;747128594
"C(419; 95, 112, 154)";7;5,06699;1257;747128594
"C(419; 95, 183, 200)";7;5,06699;1257;747128594
"C(419; 96, 132, 158)";7;5,06699;1257;747128594
"C(419; 96, 146, 153)";7;5,06699;1257;747128594
"C(419; 98, 119, 142)";7;5,06699;1257;747128594
"C(419; 99, 152, 209)";7;5,06699;1257;747128594
"C(419; 100, 107, 187)";7;5,06699;1257;747128594
"C(419; 100, 118, 162)";7;5,06699;1257;747128594
"C(419; 101, 114, 117)";7;5,06699;1257;747128594
"C(419; 103, 113, 137)";7;5,06699;1257;747128594
"C(419; 103, 136, 194)";7;5,06699;1257;747128594
"C(419; 103, 155, 192)";7;5,06699;1257;747128594
"C(419; 104, 143, 178)";7;5,06699;1257;747128594
"C(419; 104, 173, 202)";7;5,06699;1257;747128594
"C(419; 107, 154, 183)";7;5,06699;1257;747128594
"C(419; 108, 177, 191)";7;5,06699;1257;747128594
"C(419; 109, 137, 167)";7;5,06699;1257;747128594
"C(419; 111, 190, 195)";7;5,06699;1257;747128594
"C(419; 112, 136, 137)";7;5,06699;1257;747128594
"C(419; 113, 127, 192)";7;5,06699;1257;747128594
"C(419; 115, 144, 183)";7;5,06699;1257;747128594
"C(419; 122, 146, 203)";7;5,06699;1257;747128594
"C(419; 126, 141, 155)";7;5,06699;1257;747128594
"C(419; 126, 175, 192)";7;5,06699;1257;747128594
"C(419; 130, 134, 181)";7;5,06699;1257;747128594
"C(419; 135, 181, 196)";7;5,06699;1257;747128594
"C(419; 136, 154, 187)";7;5,06699;1257;747128594
"C(419; 140, 143, 170)";7;5,06699;1257;747128594
"C(419; 141, 153, 158)";7;5,06699;1257;747128594
"C(419; 144, 182, 198)";7;5,06699;1257;747128594
"C(419; 145, 147, 195)";7;5,06699;1257;747128594
"C(419; 145, 193, 206)";7;5,06699;1257;747128594
"C(419; 149, 151, 186)";7;5,06699;1257;747128594
"C(419; 150, 176, 177)";7;5,06699;1257;747128594
"C(419; 162, 187, 194)";7;5,06699;1257;747128594
"C(419; 166, 184, 186)";7;5,06699;1257;747128594
"C(419; 185, 191, 202)";7;5,06699;1257;747128594
