Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(479; 1, 9, 73)";7;5,35146;1437;14965732
"C(479; 1, 13, 105)";7;5,35146;1437;14965732
"C(479; 1, 213, 221)";7;5,35146;1437;14965732
"C(479; 2, 18, 146)";7;5,35146;1437;1369031939
"C(479; 2, 26, 210)";7;5,35146;1437;1369031939
"C(479; 2, 37, 53)";7;5,35146;1437;1369031939
"C(479; 3, 27, 219)";7;5,35146;1437;1369031939
"C(479; 3, 39, 164)";7;5,35146;1437;1369031939
"C(479; 3, 160, 184)";7;5,35146;1437;1369031939
"C(479; 4, 36, 187)";7;5,35146;1437;1369031939
"C(479; 4, 52, 59)";7;5,35146;1437;1369031939
"C(479; 4, 74, 106)";7;5,35146;1437;1369031939
"C(479; 5, 45, 114)";7;5,35146;1437;1369031939
"C(479; 5, 46, 65)";7;5,35146;1437;1369031939
"C(479; 5, 107, 147)";7;5,35146;1437;1369031939
"C(479; 6, 41, 54)";7;5,35146;1437;1369031939
"C(479; 6, 78, 151)";7;5,35146;1437;1369031939
"C(479; 6, 111, 159)";7;5,35146;1437;1369031939
"C(479; 7, 32, 63)";7;5,35146;1437;1369031939
"C(479; 7, 54, 110)";7;5,35146;1437;1369031939
"C(479; 8, 72, 105)";7;5,35146;1437;1369031939
"C(479; 8, 104, 118)";7;5,35146;1437;1369031939
"C(479; 8, 148, 212)";7;5,35146;1437;1369031939
"C(479; 9, 13, 117)";7;5,35146;1437;1369031939
"C(479; 10, 90, 228)";7;5,35146;1437;1369031939
"C(479; 10, 92, 130)";7;5,35146;1437;1369031939
"C(479; 11, 36, 52)";7;5,35146;1437;1369031939
"C(479; 11, 99, 155)";7;5,35146;1437;1369031939
"C(479; 11, 143, 197)";7;5,35146;1437;1369031939
"C(479; 12, 82, 108)";7;5,35146;1437;1369031939
"C(479; 12, 156, 177)";7;5,35146;1437;1369031939
"C(479; 12, 161, 222)";7;5,35146;1437;1369031939
"C(479; 14, 33, 182)";7;5,35146;1437;1369031939
"C(479; 14, 64, 126)";7;5,35146;1437;1369031939
"C(479; 15, 38, 158)";7;5,35146;1437;1369031939
"C(479; 15, 135, 137)";7;5,35146;1437;1369031939
"C(479; 15, 138, 195)";7;5,35146;1437;1369031939
"C(479; 16, 55, 183)";7;5,35146;1437;1369031939
"C(479; 16, 208, 236)";7;5,35146;1437;1369031939
"C(479; 17, 131, 221)";7;5,35146;1437;1369031939
"C(479; 18, 123, 162)";7;5,35146;1437;1369031939
"C(479; 19, 50, 171)";7;5,35146;1437;1369031939
"C(479; 19, 79, 232)";7;5,35146;1437;1369031939
"C(479; 19, 112, 215)";7;5,35146;1437;1369031939
"C(479; 20, 23, 180)";7;5,35146;1437;1369031939
"C(479; 20, 51, 109)";7;5,35146;1437;1369031939
"C(479; 20, 184, 219)";7;5,35146;1437;1369031939
"C(479; 21, 96, 189)";7;5,35146;1437;1369031939
"C(479; 21, 149, 162)";7;5,35146;1437;1369031939
"C(479; 21, 190, 206)";7;5,35146;1437;1369031939
"C(479; 22, 72, 104)";7;5,35146;1437;1369031939
"C(479; 23, 207, 237)";7;5,35146;1437;1369031939
"C(479; 24, 125, 167)";7;5,35146;1437;1369031939
"C(479; 25, 91, 225)";7;5,35146;1437;1369031939
"C(479; 25, 154, 230)";7;5,35146;1437;1369031939
"C(479; 27, 39, 128)";7;5,35146;1437;1369031939
"C(479; 27, 55, 236)";7;5,35146;1437;1369031939
"C(479; 28, 66, 115)";7;5,35146;1437;1369031939
"C(479; 28, 128, 227)";7;5,35146;1437;1369031939
"C(479; 29, 50, 182)";7;5,35146;1437;1369031939
"C(479; 29, 102, 171)";7;5,35146;1437;1369031939
