N,K,S,diameter,averageShortestPathLength,edges
40,3,C(40;1;4;15),3,2.2307692307692308,120
40,3,C(40;1;4;17),3,2.2307692307692308,120
40,3,C(40;1;5;14),3,2.2307692307692308,120
40,3,C(40;1;5;16),3,2.2307692307692308,120
40,3,C(40;1;6;15),3,2.2307692307692308,120
40,3,C(40;1;7;12),3,2.2307692307692308,120
40,3,C(40;1;7;18),3,2.2307692307692308,120
40,3,C(40;1;8;11),3,2.2307692307692308,120
40,3,C(40;1;8;14),3,2.2307692307692308,120
40,3,C(40;1;8;18),3,2.2307692307692308,120
40,3,C(40;1;12;18),3,2.2307692307692308,120
40,3,C(40;1;14;17),3,2.2307692307692308,120
40,3,C(40;1;15;18),3,2.2307692307692308,120
