Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(259; 1, 8, 72)";6;4,27907;777;1544980
"C(259; 1, 9, 97)";6;4,27907;777;1544980
"C(259; 1, 12, 76)";6;4,27907;777;1544980
"C(259; 1, 16, 109)";6;4,27907;777;1544980
"C(259; 1, 18, 115)";6;4,27907;777;1544980
"C(259; 1, 19, 45)";6;4,27907;777;1544980
"C(259; 1, 23, 81)";6;4,27907;777;1544980
"C(259; 1, 68, 92)";6;4,27907;777;1544980
"C(259; 1, 80, 108)";6;4,27907;777;1544980
