Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(117; 1, 5, 20, 27)";4;2,65517;468;228262740
"C(117; 1, 9, 33, 46)";4;2,65517;468;228262740
"C(117; 1, 12, 18, 28)";4;2,65517;468;228262740
"C(117; 1, 13, 17, 55)";4;2,65517;468;228262740
"C(117; 2, 12, 33, 44)";4;2,65517;468;228262740
"C(117; 3, 5, 19, 34)";4;2,65517;468;228262740
"C(117; 3, 11, 21, 58)";4;2,65517;468;228262740
"C(117; 4, 9, 15, 55)";4;2,65517;468;228262740
"C(117; 4, 27, 33, 38)";4;2,65517;468;228262740
"C(117; 5, 6, 27, 35)";4;2,65517;468;228262740
"C(117; 5, 7, 25, 58)";4;2,65517;468;228262740
"C(117; 5, 11, 28, 30)";4;2,65517;468;228262740
"C(117; 5, 17, 18, 37)";4;2,65517;468;228262740
"C(117; 5, 28, 29, 36)";4;2,65517;468;228262740
"C(117; 6, 9, 20, 25)";4;2,65517;468;228262740
"C(117; 6, 10, 29, 40)";4;2,65517;468;228262740
"C(117; 6, 17, 38, 42)";4;2,65517;468;228262740
"C(117; 7, 8, 18, 30)";4;2,65517;468;228262740
"C(117; 7, 9, 19, 34)";4;2,65517;468;228262740
"C(117; 7, 11, 24, 30)";4;2,65517;468;228262740
"C(117; 7, 16, 22, 49)";4;2,65517;468;228262740
"C(117; 7, 23, 35, 45)";4;2,65517;468;228262740
"C(117; 7, 27, 29, 53)";4;2,65517;468;228262740
"C(117; 7, 44, 52, 54)";4;2,65517;468;228262740
"C(117; 7, 46, 50, 51)";4;2,65517;468;228262740
"C(117; 8, 10, 21, 27)";4;2,65517;468;228262740
"C(117; 8, 11, 18, 43)";4;2,65517;468;228262740
"C(117; 8, 17, 23, 36)";4;2,65517;468;228262740
"C(117; 9, 10, 25, 52)";4;2,65517;468;228262740
"C(117; 9, 13, 16, 40)";4;2,65517;468;228262740
"C(117; 9, 15, 16, 35)";4;2,65517;468;228262740
"C(117; 9, 15, 23, 43)";4;2,65517;468;228262740
"C(117; 9, 17, 24, 29)";4;2,65517;468;228262740
"C(117; 9, 20, 23, 24)";4;2,65517;468;228262740
"C(117; 9, 46, 50, 56)";4;2,65517;468;228262740
"C(117; 10, 13, 35, 53)";4;2,65517;468;228262740
"C(117; 10, 14, 27, 46)";4;2,65517;468;228262740
"C(117; 10, 16, 19, 43)";4;2,65517;468;228262740
"C(117; 10, 17, 23, 32)";4;2,65517;468;228262740
"C(117; 11, 18, 19, 52)";4;2,65517;468;228262740
"C(117; 11, 20, 26, 47)";4;2,65517;468;228262740
"C(117; 12, 13, 15, 22)";4;2,65517;468;228262740
"C(117; 12, 13, 33, 41)";4;2,65517;468;228262740
"C(117; 12, 14, 15, 23)";4;2,65517;468;228262740
"C(117; 12, 15, 16, 22)";4;2,65517;468;228262740
"C(117; 12, 15, 16, 25)";4;2,65517;468;228262740
"C(117; 12, 15, 17, 23)";4;2,65517;468;228262740
"C(117; 12, 15, 17, 26)";4;2,65517;468;228262740
"C(117; 12, 19, 20, 41)";4;2,65517;468;228262740
"C(117; 12, 44, 50, 54)";4;2,65517;468;228262740
"C(117; 13, 15, 31, 48)";4;2,65517;468;228262740
"C(117; 13, 18, 20, 50)";4;2,65517;468;228262740
"C(117; 13, 21, 23, 30)";4;2,65517;468;228262740
"C(117; 13, 32, 42, 57)";4;2,65517;468;228262740
"C(117; 14, 15, 17, 25)";4;2,65517;468;228262740
"C(117; 14, 15, 53, 56)";4;2,65517;468;228262740
"C(117; 14, 16, 33, 55)";4;2,65517;468;228262740
"C(117; 14, 18, 19, 30)";4;2,65517;468;228262740
"C(117; 14, 18, 41, 51)";4;2,65517;468;228262740
"C(117; 14, 19, 32, 44)";4;2,65517;468;228262740
"C(117; 15, 47, 48, 52)";4;2,65517;468;228262740
"C(117; 16, 22, 31, 36)";4;2,65517;468;228262740
"C(117; 16, 27, 34, 57)";4;2,65517;468;228262740
"C(117; 16, 31, 36, 37)";4;2,65517;468;228262740
"C(117; 16, 34, 45, 46)";4;2,65517;468;228262740
"C(117; 16, 50, 53, 54)";4;2,65517;468;228262740
"C(117; 17, 20, 45, 49)";4;2,65517;468;228262740
"C(117; 17, 22, 29, 57)";4;2,65517;468;228262740
"C(117; 17, 24, 36, 37)";4;2,65517;468;228262740
"C(117; 17, 25, 43, 45)";4;2,65517;468;228262740
"C(117; 17, 26, 36, 40)";4;2,65517;468;228262740
"C(117; 17, 27, 31, 33)";4;2,65517;468;228262740
"C(117; 17, 38, 43, 44)";4;2,65517;468;228262740
"C(117; 17, 48, 53, 57)";4;2,65517;468;228262740
"C(117; 18, 23, 25, 40)";4;2,65517;468;228262740
"C(117; 18, 26, 32, 37)";4;2,65517;468;228262740
"C(117; 18, 28, 31, 35)";4;2,65517;468;228262740
"C(117; 18, 31, 35, 38)";4;2,65517;468;228262740
"C(117; 18, 34, 48, 58)";4;2,65517;468;228262740
"C(117; 18, 40, 46, 48)";4;2,65517;468;228262740
"C(117; 19, 22, 29, 45)";4;2,65517;468;228262740
"C(117; 20, 25, 28, 54)";4;2,65517;468;228262740
"C(117; 20, 31, 32, 38)";4;2,65517;468;228262740
"C(117; 20, 31, 45, 49)";4;2,65517;468;228262740
"C(117; 20, 34, 46, 53)";4;2,65517;468;228262740
"C(117; 20, 41, 42, 45)";4;2,65517;468;228262740
"C(117; 21, 30, 38, 43)";4;2,65517;468;228262740
"C(117; 21, 30, 40, 55)";4;2,65517;468;228262740
"C(117; 21, 36, 41, 53)";4;2,65517;468;228262740
"C(117; 22, 23, 40, 52)";4;2,65517;468;228262740
"C(117; 22, 27, 33, 47)";4;2,65517;468;228262740
"C(117; 22, 30, 31, 45)";4;2,65517;468;228262740
"C(117; 22, 35, 45, 53)";4;2,65517;468;228262740
"C(117; 22, 40, 43, 45)";4;2,65517;468;228262740
"C(117; 23, 28, 31, 44)";4;2,65517;468;228262740
"C(117; 23, 42, 54, 58)";4;2,65517;468;228262740
"C(117; 24, 30, 32, 50)";4;2,65517;468;228262740
"C(117; 24, 30, 34, 52)";4;2,65517;468;228262740
"C(117; 25, 26, 29, 43)";4;2,65517;468;228262740
"C(117; 25, 27, 32, 49)";4;2,65517;468;228262740
"C(117; 26, 41, 44, 45)";4;2,65517;468;228262740
"C(117; 27, 29, 35, 52)";4;2,65517;468;228262740
"C(117; 27, 31, 37, 44)";4;2,65517;468;228262740
"C(117; 27, 33, 35, 40)";4;2,65517;468;228262740
"C(117; 27, 38, 44, 58)";4;2,65517;468;228262740
"C(117; 27, 44, 55, 57)";4;2,65517;468;228262740
"C(117; 28, 36, 38, 57)";4;2,65517;468;228262740
"C(117; 29, 43, 54, 55)";4;2,65517;468;228262740
"C(117; 29, 48, 52, 57)";4;2,65517;468;228262740
"C(117; 29, 48, 53, 57)";4;2,65517;468;228262740
"C(117; 31, 41, 42, 57)";4;2,65517;468;228262740
"C(117; 31, 42, 46, 47)";4;2,65517;468;228262740
"C(117; 31, 50, 52, 58)";4;2,65517;468;228262740
"C(117; 32, 44, 45, 55)";4;2,65517;468;228262740
"C(117; 34, 37, 45, 52)";4;2,65517;468;228262740
"C(117; 34, 43, 45, 48)";4;2,65517;468;228262740
"C(117; 35, 36, 44, 49)";4;2,65517;468;228262740
"C(117; 35, 38, 45, 56)";4;2,65517;468;228262740
"C(117; 35, 44, 45, 48)";4;2,65517;468;228262740
"C(117; 35, 49, 55, 58)";4;2,65517;468;228262740
"C(117; 36, 37, 46, 50)";4;2,65517;468;228262740
"C(117; 36, 41, 47, 55)";4;2,65517;468;228262740
"C(117; 36, 43, 52, 53)";4;2,65517;468;228262740
"C(117; 36, 47, 55, 56)";4;2,65517;468;228262740
"C(117; 37, 38, 49, 54)";4;2,65517;468;228262740
"C(117; 37, 42, 45, 58)";4;2,65517;468;228262740
"C(117; 37, 47, 51, 54)";4;2,65517;468;228262740
"C(117; 42, 43, 45, 50)";4;2,65517;468;228262740
