N,K,S,diameter,averageShortestPathLength,edges
51,4,C(51; 1; 4; 10; 22),3,2.04,204
51,4,C(51; 1; 4; 13; 20),3,2.04,204
51,4,C(51; 1; 4; 14; 20),3,2.04,204
51,4,C(51; 1; 4; 14; 21),3,2.04,204
51,4,C(51; 1; 4; 16; 22),3,2.04,204
51,4,C(51; 1; 5; 8; 20),3,2.04,204
51,4,C(51; 1; 5; 13; 16),3,2.04,204
51,4,C(51; 1; 5; 13; 22),3,2.04,204
51,4,C(51; 1; 5; 18; 21),3,2.04,204
51,4,C(51; 1; 6; 10; 24),3,2.04,204
51,4,C(51; 1; 6; 16; 24),3,2.04,204
51,4,C(51; 1; 7; 10; 23),3,2.04,204
51,4,C(51; 1; 7; 11; 16),3,2.04,204
51,4,C(51; 1; 7; 11; 24),3,2.04,204
51,4,C(51; 1; 7; 19; 23),3,2.04,204
51,4,C(51; 1; 8; 12; 18),3,2.04,204
51,4,C(51; 1; 9; 12; 16),3,2.04,204
51,4,C(51; 1; 10; 16; 23),3,2.04,204
51,4,C(51; 1; 13; 18; 22),3,2.04,204
51,4,C(51; 1; 13; 20; 23),3,2.04,204
51,4,C(51; 1; 15; 19; 24),3,2.04,204
