Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
227;C(227, 1, 4, 18, 45, 79);4;2.80531;199720;1135
227;C(227, 1, 8, 42, 69, 107);4;2.80531;199720;1135
227;C(227, 1, 10, 45, 84, 111);4;2.80531;199720;1135
227;C(227, 1, 11, 27, 47, 62);4;2.80531;199720;1135
227;C(227, 1, 11, 41, 96, 100);4;2.80531;199720;1135
227;C(227, 1, 11, 63, 70, 106);4;2.80531;199720;1135
227;C(227, 1, 12, 67, 90, 97);4;2.80531;199720;1135
227;C(227, 1, 15, 27, 49, 58);4;2.80531;199720;1135
227;C(227, 1, 15, 37, 62, 85);4;2.80531;199720;1135
227;C(227, 1, 15, 42, 51, 61);4;2.80531;199720;1135
227;C(227, 1, 16, 39, 84, 108);4;2.80531;199720;1135
227;C(227, 1, 17, 25, 63, 111);4;2.80531;199720;1135
227;C(227, 1, 18, 29, 92, 102);4;2.80531;199720;1135
227;C(227, 1, 19, 27, 89, 106);4;2.80531;199720;1135
227;C(227, 1, 23, 40, 92, 100);4;2.80531;199720;1135
227;C(227, 1, 26, 59, 69, 103);4;2.80531;199720;1135
227;C(227, 1, 37, 57, 68, 109);4;2.80531;199720;1135
227;C(227, 1, 42, 88, 106, 110);4;2.80531;199720;1135
227;C(227, 1, 45, 50, 62, 71);4;2.80531;199720;1135
227;C(227, 1, 64, 72, 102, 111);4;2.80531;199720;1135
