Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
344;C(344, 1, 6, 21, 66, 97);4;3.125365;2114263;1720
344;C(344, 1, 6, 31, 72, 161);4;3.125365;2114263;1720
344;C(344, 1, 6, 49, 71, 156);4;3.125365;2114263;1720
344;C(344, 1, 7, 39, 66, 121);4;3.125365;2114263;1720
344;C(344, 1, 7, 40, 63, 146);4;3.125365;2114263;1720
344;C(344, 1, 7, 42, 60, 153);4;3.125365;2114263;1720
344;C(344, 1, 7, 43, 120, 159);4;3.125365;2114263;1720
344;C(344, 1, 8, 20, 87, 140);4;3.125365;2114263;1720
344;C(344, 1, 8, 29, 83, 155);4;3.125365;2114263;1720
344;C(344, 1, 8, 35, 128, 149);4;3.125365;2114263;1720
344;C(344, 1, 8, 56, 83, 153);4;3.125365;2114263;1720
344;C(344, 1, 8, 59, 122, 149);4;3.125365;2114263;1720
344;C(344, 1, 9, 23, 90, 129);4;3.125365;2114263;1720
344;C(344, 1, 9, 24, 83, 137);4;3.125365;2114263;1720
344;C(344, 1, 9, 34, 63, 148);4;3.125365;2114263;1720
344;C(344, 1, 9, 41, 97, 134);4;3.125365;2114263;1720
344;C(344, 1, 9, 49, 70, 104);4;3.125365;2114263;1720
344;C(344, 1, 9, 59, 72, 160);4;3.125365;2114263;1720
344;C(344, 1, 9, 99, 120, 160);4;3.125365;2114263;1720
344;C(344, 1, 9, 120, 144, 157);4;3.125365;2114263;1720
344;C(344, 1, 10, 16, 85, 136);4;3.125365;2114263;1720
344;C(344, 1, 10, 24, 87, 142);4;3.125365;2114263;1720
344;C(344, 1, 10, 33, 72, 159);4;3.125365;2114263;1720
344;C(344, 1, 10, 45, 84, 116);4;3.125365;2114263;1720
344;C(344, 1, 10, 47, 129, 145);4;3.125365;2114263;1720
344;C(344, 1, 10, 79, 129, 153);4;3.125365;2114263;1720
344;C(344, 1, 11, 51, 87, 106);4;3.125365;2114263;1720
344;C(344, 1, 11, 56, 128, 153);4;3.125365;2114263;1720
344;C(344, 1, 11, 59, 133, 158);4;3.125365;2114263;1720
344;C(344, 1, 13, 33, 84, 127);4;3.125365;2114263;1720
344;C(344, 1, 13, 56, 118, 136);4;3.125365;2114263;1720
344;C(344, 1, 14, 20, 71, 95);4;3.125365;2114263;1720
344;C(344, 1, 14, 24, 78, 137);4;3.125365;2114263;1720
344;C(344, 1, 14, 62, 83, 128);4;3.125365;2114263;1720
344;C(344, 1, 15, 21, 98, 137);4;3.125365;2114263;1720
344;C(344, 1, 15, 26, 129, 135);4;3.125365;2114263;1720
344;C(344, 1, 15, 37, 70, 80);4;3.125365;2114263;1720
344;C(344, 1, 15, 40, 91, 113);4;3.125365;2114263;1720
344;C(344, 1, 15, 52, 58, 77);4;3.125365;2114263;1720
344;C(344, 1, 15, 88, 98, 140);4;3.125365;2114263;1720
344;C(344, 1, 16, 22, 91, 132);4;3.125365;2114263;1720
344;C(344, 1, 16, 53, 62, 128);4;3.125365;2114263;1720
344;C(344, 1, 16, 59, 128, 153);4;3.125365;2114263;1720
344;C(344, 1, 16, 85, 136, 162);4;3.125365;2114263;1720
344;C(344, 1, 16, 108, 132, 169);4;3.125365;2114263;1720
344;C(344, 1, 17, 22, 80, 111);4;3.125365;2114263;1720
344;C(344, 1, 17, 48, 73, 117);4;3.125365;2114263;1720
344;C(344, 1, 17, 60, 73, 83);4;3.125365;2114263;1720
344;C(344, 1, 17, 62, 145, 151);4;3.125365;2114263;1720
344;C(344, 1, 18, 57, 62, 148);4;3.125365;2114263;1720
344;C(344, 1, 18, 78, 144, 149);4;3.125365;2114263;1720
344;C(344, 1, 19, 26, 93, 128);4;3.125365;2114263;1720
344;C(344, 1, 19, 27, 96, 129);4;3.125365;2114263;1720
344;C(344, 1, 20, 29, 53, 149);4;3.125365;2114263;1720
344;C(344, 1, 20, 51, 94, 130);4;3.125365;2114263;1720
344;C(344, 1, 21, 46, 98, 131);4;3.125365;2114263;1720
344;C(344, 1, 23, 29, 112, 153);4;3.125365;2114263;1720
344;C(344, 1, 23, 40, 124, 154);4;3.125365;2114263;1720
344;C(344, 1, 23, 42, 51, 164);4;3.125365;2114263;1720
344;C(344, 1, 23, 55, 139, 154);4;3.125365;2114263;1720
344;C(344, 1, 23, 110, 120, 163);4;3.125365;2114263;1720
344;C(344, 1, 24, 30, 87, 162);4;3.125365;2114263;1720
344;C(344, 1, 24, 35, 65, 162);4;3.125365;2114263;1720
344;C(344, 1, 25, 32, 130, 145);4;3.125365;2114263;1720
344;C(344, 1, 25, 35, 66, 113);4;3.125365;2114263;1720
344;C(344, 1, 25, 110, 120, 157);4;3.125365;2114263;1720
344;C(344, 1, 26, 35, 41, 161);4;3.125365;2114263;1720
