N,K,S,diameter,averageShortestPathLength,edges
1433,5,C(1433;1;28;145;212;589),6,4.3854748603351954,7165
1433,5,C(1433;1;41;292;399;535),6,4.3854748603351954,7165
1433,5,C(1433;1;46;417;563;584),6,4.3854748603351954,7165
1433,5,C(1433;1;48;534;622;699),6,4.3854748603351954,7165
1433,5,C(1433;1;75;168;209;405),6,4.3854748603351954,7165
1433,5,C(1433;1;79;256;560;602),6,4.3854748603351954,7165
1433,5,C(1433;1;146;328;393;673),6,4.3854748603351954,7165
1433,5,C(1433;1;218;450;487;591),6,4.3854748603351954,7165
1433,5,C(1433;1;265;464;493;653),6,4.3854748603351954,7165
1433,5,C(1433;1;299;607;628;664),6,4.3854748603351954,7165
