Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
145;C(145, 1, 4, 10, 22, 60);3;2.513889;14767;725
145;C(145, 1, 4, 10, 34, 61);3;2.513889;14767;725
145;C(145, 1, 4, 10, 35, 58);3;2.513889;14767;725
145;C(145, 1, 4, 10, 41, 66);3;2.513889;14767;725
145;C(145, 1, 4, 10, 42, 64);3;2.513889;14767;725
145;C(145, 1, 4, 11, 34, 62);3;2.513889;14767;725
145;C(145, 1, 4, 11, 42, 66);3;2.513889;14767;725
145;C(145, 1, 4, 13, 23, 65);3;2.513889;14767;725
145;C(145, 1, 4, 13, 29, 65);3;2.513889;14767;725
145;C(145, 1, 4, 13, 34, 54);3;2.513889;14767;725
145;C(145, 1, 4, 13, 37, 57);3;2.513889;14767;725
145;C(145, 1, 4, 13, 49, 67);3;2.513889;14767;725
145;C(145, 1, 4, 14, 35, 59);3;2.513889;14767;725
145;C(145, 1, 4, 15, 21, 69);3;2.513889;14767;725
145;C(145, 1, 4, 15, 24, 66);3;2.513889;14767;725
145;C(145, 1, 4, 15, 35, 62);3;2.513889;14767;725
145;C(145, 1, 4, 15, 41, 68);3;2.513889;14767;725
145;C(145, 1, 4, 15, 51, 61);3;2.513889;14767;725
145;C(145, 1, 4, 15, 54, 64);3;2.513889;14767;725
145;C(145, 1, 4, 16, 27, 68);3;2.513889;14767;725
145;C(145, 1, 4, 16, 35, 41);3;2.513889;14767;725
145;C(145, 1, 4, 16, 35, 61);3;2.513889;14767;725
145;C(145, 1, 4, 16, 37, 63);3;2.513889;14767;725
145;C(145, 1, 4, 16, 45, 67);3;2.513889;14767;725
145;C(145, 1, 4, 17, 36, 43);3;2.513889;14767;725
145;C(145, 1, 4, 18, 27, 52);3;2.513889;14767;725
145;C(145, 1, 4, 18, 30, 46);3;2.513889;14767;725
145;C(145, 1, 4, 18, 38, 67);3;2.513889;14767;725
145;C(145, 1, 4, 19, 35, 64);3;2.513889;14767;725
145;C(145, 1, 4, 19, 46, 67);3;2.513889;14767;725
145;C(145, 1, 4, 19, 52, 64);3;2.513889;14767;725
145;C(145, 1, 4, 20, 32, 67);3;2.513889;14767;725
145;C(145, 1, 4, 21, 33, 52);3;2.513889;14767;725
145;C(145, 1, 4, 21, 36, 45);3;2.513889;14767;725
145;C(145, 1, 4, 21, 39, 52);3;2.513889;14767;725
145;C(145, 1, 4, 21, 52, 58);3;2.513889;14767;725
145;C(145, 1, 4, 22, 38, 50);3;2.513889;14767;725
145;C(145, 1, 4, 22, 49, 60);3;2.513889;14767;725
145;C(145, 1, 4, 23, 29, 38);3;2.513889;14767;725
145;C(145, 1, 4, 23, 30, 43);3;2.513889;14767;725
145;C(145, 1, 4, 23, 30, 44);3;2.513889;14767;725
145;C(145, 1, 4, 24, 38, 51);3;2.513889;14767;725
145;C(145, 1, 4, 24, 40, 54);3;2.513889;14767;725
145;C(145, 1, 4, 24, 43, 56);3;2.513889;14767;725
145;C(145, 1, 4, 25, 31, 42);3;2.513889;14767;725
145;C(145, 1, 4, 25, 36, 53);3;2.513889;14767;725
145;C(145, 1, 4, 26, 36, 45);3;2.513889;14767;725
145;C(145, 1, 4, 27, 36, 52);3;2.513889;14767;725
145;C(145, 1, 4, 28, 35, 50);3;2.513889;14767;725
145;C(145, 1, 4, 31, 51, 68);3;2.513889;14767;725
145;C(145, 1, 4, 34, 44, 60);3;2.513889;14767;725
145;C(145, 1, 4, 39, 56, 65);3;2.513889;14767;725
145;C(145, 1, 4, 39, 58, 65);3;2.513889;14767;725
145;C(145, 1, 4, 46, 58, 68);3;2.513889;14767;725
145;C(145, 1, 5, 8, 23, 55);3;2.513889;14767;725
145;C(145, 1, 5, 8, 35, 56);3;2.513889;14767;725
145;C(145, 1, 5, 8, 36, 53);3;2.513889;14767;725
145;C(145, 1, 5, 8, 38, 57);3;2.513889;14767;725
145;C(145, 1, 5, 8, 38, 65);3;2.513889;14767;725
145;C(145, 1, 5, 8, 40, 61);3;2.513889;14767;725
145;C(145, 1, 5, 12, 34, 42);3;2.513889;14767;725
145;C(145, 1, 5, 12, 37, 56);3;2.513889;14767;725
145;C(145, 1, 5, 12, 37, 68);3;2.513889;14767;725
145;C(145, 1, 5, 13, 24, 64);3;2.513889;14767;725
145;C(145, 1, 5, 13, 40, 69);3;2.513889;14767;725
145;C(145, 1, 5, 13, 41, 60);3;2.513889;14767;725
145;C(145, 1, 5, 13, 52, 63);3;2.513889;14767;725
145;C(145, 1, 5, 14, 30, 47);3;2.513889;14767;725
145;C(145, 1, 5, 14, 45, 61);3;2.513889;14767;725
145;C(145, 1, 5, 14, 46, 62);3;2.513889;14767;725
145;C(145, 1, 5, 16, 19, 66);3;2.513889;14767;725
145;C(145, 1, 5, 17, 24, 38);3;2.513889;14767;725
145;C(145, 1, 5, 17, 38, 63);3;2.513889;14767;725
145;C(145, 1, 5, 18, 38, 49);3;2.513889;14767;725
145;C(145, 1, 5, 18, 40, 71);3;2.513889;14767;725
145;C(145, 1, 5, 18, 45, 65);3;2.513889;14767;725
145;C(145, 1, 5, 18, 46, 60);3;2.513889;14767;725
145;C(145, 1, 5, 18, 46, 62);3;2.513889;14767;725
145;C(145, 1, 5, 18, 55, 62);3;2.513889;14767;725
