Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
671;C(671, 1, 6, 57, 100, 324);5;3.677612;125802916;3355
671;C(671, 1, 14, 49, 222, 295);5;3.677612;125802916;3355
671;C(671, 1, 25, 156, 236, 326);5;3.677612;125802916;3355
671;C(671, 1, 36, 148, 194, 325);5;3.677612;125802916;3355
671;C(671, 1, 41, 212, 259, 269);5;3.677612;125802916;3355
671;C(671, 1, 43, 68, 228, 236);5;3.677612;125802916;3355
671;C(671, 1, 48, 69, 80, 332);5;3.677612;125802916;3355
671;C(671, 1, 54, 112, 207, 326);5;3.677612;125802916;3355
671;C(671, 1, 61, 70, 298, 319);5;3.677612;125802916;3355
671;C(671, 1, 61, 242, 315, 331);5;3.677612;125802916;3355
671;C(671, 1, 64, 78, 291, 333);5;3.677612;125802916;3355
671;C(671, 1, 68, 193, 212, 293);5;3.677612;125802916;3355
671;C(671, 1, 73, 172, 178, 192);5;3.677612;125802916;3355
671;C(671, 1, 87, 108, 180, 321);5;3.677612;125802916;3355
671;C(671, 1, 94, 208, 222, 292);5;3.677612;125802916;3355
671;C(671, 1, 103, 152, 268, 294);5;3.677612;125802916;3355
671;C(671, 1, 110, 183, 278, 311);5;3.677612;125802916;3355
671;C(671, 1, 116, 254, 282, 316);5;3.677612;125802916;3355
671;C(671, 1, 145, 181, 196, 205);5;3.677612;125802916;3355
671;C(671, 1, 145, 194, 270, 300);5;3.677612;125802916;3355
671;C(671, 1, 148, 161, 251, 289);5;3.677612;125802916;3355
671;C(671, 1, 177, 239, 260, 269);5;3.677612;125802916;3355
671;C(671, 1, 202, 294, 299, 314);5;3.677612;125802916;3355
