Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(59; 1, 9)";5;3,62069;118;13168
"C(59; 1, 13)";5;3,62069;118;13168
"C(59; 2, 18)";5;3,62069;118;13168
"C(59; 2, 26)";5;3,62069;118;13168
"C(59; 3, 20)";5;3,62069;118;13168
"C(59; 4, 23)";5;3,62069;118;13168
"C(59; 5, 6)";5;3,62069;118;13168
"C(59; 5, 14)";5;3,62069;118;13168
"C(59; 6, 19)";5;3,62069;118;13168
"C(59; 7, 27)";5;3,62069;118;13168
"C(59; 8, 13)";5;3,62069;118;13168
"C(59; 9, 22)";5;3,62069;118;13168
"C(59; 10, 12)";5;3,62069;118;13168
"C(59; 10, 28)";5;3,62069;118;13168
"C(59; 11, 19)";5;3,62069;118;13168
"C(59; 11, 25)";5;3,62069;118;13168
"C(59; 15, 17)";5;3,62069;118;13168
"C(59; 15, 18)";5;3,62069;118;13168
"C(59; 16, 26)";5;3,62069;118;13168
"C(59; 17, 24)";5;3,62069;118;13168
"C(59; 20, 24)";5;3,62069;118;13168
"C(59; 21, 22)";5;3,62069;118;13168
"C(59; 23, 29)";5;3,62069;118;13168
"C(59; 25, 29)";5;3,62069;118;13168
