Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
643;C(643, 1, 188);18;11.96262;75;1286
643;C(643, 1, 251);18;11.96262;75;1286
643;C(643, 1, 228);18;11.96262;75;1286
643;C(643, 1, 236);18;11.96262;75;1286
643;C(643, 94, 321);18;11.96262;75;1286
643;C(643, 118, 321);18;11.96262;75;1286
643;C(643, 114, 321);18;11.96262;75;1286
643;C(643, 196, 321);18;11.96262;75;1286
643;C(643, 302, 321);18;11.96262;75;1286
643;C(643, 305, 321);18;11.96262;75;1286
