Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(102; 1, 17, 24, 45)";4;2,54455;408;130733710
"C(102; 1, 24, 29, 40)";4;2,54455;408;130733710
"C(102; 2, 23, 42, 47)";4;2,54455;408;130733710
"C(102; 3, 12, 17, 25)";4;2,54455;408;130733710
"C(102; 3, 12, 17, 43)";4;2,54455;408;130733710
"C(102; 4, 5, 18, 43)";4;2,54455;408;130733710
"C(102; 5, 17, 18, 21)";4;2,54455;408;130733710
"C(102; 6, 10, 13, 31)";4;2,54455;408;130733710
"C(102; 6, 13, 17, 27)";4;2,54455;408;130733710
"C(102; 6, 37, 44, 47)";4;2,54455;408;130733710
"C(102; 7, 9, 17, 36)";4;2,54455;408;130733710
"C(102; 7, 22, 48, 49)";4;2,54455;408;130733710
"C(102; 8, 35, 36, 41)";4;2,54455;408;130733710
"C(102; 9, 17, 36, 41)";4;2,54455;408;130733710
"C(102; 11, 12, 20, 25)";4;2,54455;408;130733710
"C(102; 11, 13, 32, 42)";4;2,54455;408;130733710
"C(102; 12, 14, 23, 43)";4;2,54455;408;130733710
"C(102; 15, 17, 23, 42)";4;2,54455;408;130733710
"C(102; 16, 19, 30, 31)";4;2,54455;408;130733710
"C(102; 17, 18, 21, 29)";4;2,54455;408;130733710
"C(102; 17, 19, 39, 48)";4;2,54455;408;130733710
"C(102; 17, 24, 35, 45)";4;2,54455;408;130733710
"C(102; 17, 30, 31, 33)";4;2,54455;408;130733710
"C(102; 17, 30, 33, 37)";4;2,54455;408;130733710
"C(102; 17, 39, 48, 49)";4;2,54455;408;130733710
"C(102; 18, 25, 29, 38)";4;2,54455;408;130733710
"C(102; 19, 41, 46, 48)";4;2,54455;408;130733710
"C(102; 30, 37, 49, 50)";4;2,54455;408;130733710
