Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
360;C(360, 1, 6, 27, 63, 157);4;3.164346;2928046;1800
360;C(360, 1, 6, 28, 70, 115);4;3.164346;2928046;1800
360;C(360, 1, 6, 29, 74, 123);4;3.164346;2928046;1800
360;C(360, 1, 6, 32, 123, 169);4;3.164346;2928046;1800
360;C(360, 1, 6, 35, 133, 154);4;3.164346;2928046;1800
360;C(360, 1, 6, 42, 75, 98);4;3.164346;2928046;1800
360;C(360, 1, 6, 46, 125, 147);4;3.164346;2928046;1800
360;C(360, 1, 6, 49, 79, 167);4;3.164346;2928046;1800
360;C(360, 1, 6, 89, 128, 159);4;3.164346;2928046;1800
360;C(360, 1, 7, 24, 87, 146);4;3.164346;2928046;1800
360;C(360, 1, 7, 25, 87, 116);4;3.164346;2928046;1800
360;C(360, 1, 7, 25, 94, 135);4;3.164346;2928046;1800
360;C(360, 1, 7, 31, 103, 138);4;3.164346;2928046;1800
360;C(360, 1, 7, 34, 80, 138);4;3.164346;2928046;1800
360;C(360, 1, 7, 41, 114, 151);4;3.164346;2928046;1800
360;C(360, 1, 7, 44, 62, 163);4;3.164346;2928046;1800
360;C(360, 1, 7, 44, 63, 160);4;3.164346;2928046;1800
360;C(360, 1, 7, 45, 70, 163);4;3.164346;2928046;1800
360;C(360, 1, 7, 49, 114, 143);4;3.164346;2928046;1800
360;C(360, 1, 7, 51, 62, 85);4;3.164346;2928046;1800
360;C(360, 1, 7, 54, 65, 91);4;3.164346;2928046;1800
360;C(360, 1, 7, 54, 80, 124);4;3.164346;2928046;1800
360;C(360, 1, 7, 61, 84, 164);4;3.164346;2928046;1800
360;C(360, 1, 7, 73, 112, 156);4;3.164346;2928046;1800
360;C(360, 1, 7, 87, 128, 164);4;3.164346;2928046;1800
360;C(360, 1, 7, 111, 142, 160);4;3.164346;2928046;1800
360;C(360, 1, 8, 44, 63, 93);4;3.164346;2928046;1800
360;C(360, 1, 8, 45, 64, 95);4;3.164346;2928046;1800
360;C(360, 1, 8, 46, 59, 141);4;3.164346;2928046;1800
360;C(360, 1, 8, 49, 68, 162);4;3.164346;2928046;1800
360;C(360, 1, 8, 50, 81, 127);4;3.164346;2928046;1800
360;C(360, 1, 8, 53, 134, 169);4;3.164346;2928046;1800
360;C(360, 1, 8, 54, 82, 159);4;3.164346;2928046;1800
360;C(360, 1, 8, 59, 107, 141);4;3.164346;2928046;1800
360;C(360, 1, 8, 60, 89, 108);4;3.164346;2928046;1800
360;C(360, 1, 8, 81, 114, 151);4;3.164346;2928046;1800
360;C(360, 1, 8, 96, 141, 163);4;3.164346;2928046;1800
360;C(360, 1, 9, 24, 83, 153);4;3.164346;2928046;1800
360;C(360, 1, 9, 31, 66, 112);4;3.164346;2928046;1800
360;C(360, 1, 9, 33, 86, 124);4;3.164346;2928046;1800
360;C(360, 1, 9, 38, 61, 134);4;3.164346;2928046;1800
360;C(360, 1, 9, 46, 115, 165);4;3.164346;2928046;1800
360;C(360, 1, 9, 48, 73, 125);4;3.164346;2928046;1800
360;C(360, 1, 9, 49, 83, 128);4;3.164346;2928046;1800
360;C(360, 1, 9, 53, 66, 91);4;3.164346;2928046;1800
360;C(360, 1, 9, 60, 135, 169);4;3.164346;2928046;1800
360;C(360, 1, 9, 77, 100, 148);4;3.164346;2928046;1800
360;C(360, 1, 9, 78, 99, 133);4;3.164346;2928046;1800
360;C(360, 1, 9, 80, 103, 148);4;3.164346;2928046;1800
360;C(360, 1, 9, 81, 133, 168);4;3.164346;2928046;1800
360;C(360, 1, 9, 85, 125, 154);4;3.164346;2928046;1800
360;C(360, 1, 9, 101, 122, 163);4;3.164346;2928046;1800
360;C(360, 1, 10, 44, 125, 151);4;3.164346;2928046;1800
360;C(360, 1, 10, 45, 103, 131);4;3.164346;2928046;1800
360;C(360, 1, 10, 87, 128, 161);4;3.164346;2928046;1800
360;C(360, 1, 10, 99, 122, 167);4;3.164346;2928046;1800
360;C(360, 1, 11, 26, 95, 150);4;3.164346;2928046;1800
360;C(360, 1, 11, 29, 104, 147);4;3.164346;2928046;1800
360;C(360, 1, 11, 42, 122, 172);4;3.164346;2928046;1800
360;C(360, 1, 11, 46, 53, 172);4;3.164346;2928046;1800
360;C(360, 1, 11, 48, 135, 153);4;3.164346;2928046;1800
360;C(360, 1, 11, 53, 110, 135);4;3.164346;2928046;1800
360;C(360, 1, 11, 63, 151, 166);4;3.164346;2928046;1800
360;C(360, 1, 11, 101, 143, 162);4;3.164346;2928046;1800
360;C(360, 1, 12, 17, 104, 161);4;3.164346;2928046;1800
360;C(360, 1, 12, 28, 103, 163);4;3.164346;2928046;1800
360;C(360, 1, 12, 54, 140, 157);4;3.164346;2928046;1800
360;C(360, 1, 12, 79, 143, 176);4;3.164346;2928046;1800
360;C(360, 1, 12, 94, 101, 143);4;3.164346;2928046;1800
360;C(360, 1, 13, 18, 89, 131);4;3.164346;2928046;1800
360;C(360, 1, 13, 18, 95, 137);4;3.164346;2928046;1800
360;C(360, 1, 13, 18, 109, 151);4;3.164346;2928046;1800
360;C(360, 1, 13, 30, 132, 153);4;3.164346;2928046;1800
360;C(360, 1, 13, 32, 81, 169);4;3.164346;2928046;1800
360;C(360, 1, 13, 48, 117, 171);4;3.164346;2928046;1800
360;C(360, 1, 13, 83, 117, 136);4;3.164346;2928046;1800
360;C(360, 1, 13, 99, 122, 170);4;3.164346;2928046;1800
360;C(360, 1, 13, 103, 145, 162);4;3.164346;2928046;1800
360;C(360, 1, 13, 122, 139, 176);4;3.164346;2928046;1800
360;C(360, 1, 14, 33, 135, 175);4;3.164346;2928046;1800
360;C(360, 1, 14, 35, 60, 114);4;3.164346;2928046;1800
360;C(360, 1, 14, 46, 81, 168);4;3.164346;2928046;1800
360;C(360, 1, 14, 47, 53, 117);4;3.164346;2928046;1800
360;C(360, 1, 14, 59, 82, 171);4;3.164346;2928046;1800
360;C(360, 1, 14, 63, 96, 102);4;3.164346;2928046;1800
360;C(360, 1, 15, 25, 114, 151);4;3.164346;2928046;1800
360;C(360, 1, 15, 34, 56, 175);4;3.164346;2928046;1800
360;C(360, 1, 15, 42, 48, 161);4;3.164346;2928046;1800
360;C(360, 1, 15, 55, 66, 89);4;3.164346;2928046;1800
360;C(360, 1, 15, 58, 126, 149);4;3.164346;2928046;1800
360;C(360, 1, 15, 65, 124, 134);4;3.164346;2928046;1800
360;C(360, 1, 15, 65, 126, 136);4;3.164346;2928046;1800
360;C(360, 1, 15, 66, 128, 138);4;3.164346;2928046;1800
360;C(360, 1, 15, 68, 74, 93);4;3.164346;2928046;1800
360;C(360, 1, 16, 25, 97, 102);4;3.164346;2928046;1800
360;C(360, 1, 16, 25, 118, 162);4;3.164346;2928046;1800
360;C(360, 1, 16, 28, 37, 141);4;3.164346;2928046;1800
360;C(360, 1, 16, 36, 60, 177);4;3.164346;2928046;1800
360;C(360, 1, 16, 41, 53, 129);4;3.164346;2928046;1800
360;C(360, 1, 16, 41, 103, 132);4;3.164346;2928046;1800
360;C(360, 1, 16, 56, 93, 122);4;3.164346;2928046;1800
360;C(360, 1, 16, 57, 149, 161);4;3.164346;2928046;1800
360;C(360, 1, 16, 85, 140, 162);4;3.164346;2928046;1800
360;C(360, 1, 17, 24, 123, 152);4;3.164346;2928046;1800
360;C(360, 1, 17, 39, 65, 110);4;3.164346;2928046;1800
360;C(360, 1, 17, 46, 83, 152);4;3.164346;2928046;1800
360;C(360, 1, 17, 63, 89, 138);4;3.164346;2928046;1800
360;C(360, 1, 17, 63, 130, 136);4;3.164346;2928046;1800
360;C(360, 1, 17, 84, 128, 140);4;3.164346;2928046;1800
360;C(360, 1, 17, 99, 124, 169);4;3.164346;2928046;1800
360;C(360, 1, 17, 108, 130, 175);4;3.164346;2928046;1800
360;C(360, 1, 18, 24, 93, 107);4;3.164346;2928046;1800
360;C(360, 1, 18, 28, 88, 169);4;3.164346;2928046;1800
360;C(360, 1, 18, 29, 135, 140);4;3.164346;2928046;1800
360;C(360, 1, 18, 31, 135, 160);4;3.164346;2928046;1800
360;C(360, 1, 18, 47, 146, 152);4;3.164346;2928046;1800
360;C(360, 1, 18, 50, 95, 106);4;3.164346;2928046;1800
360;C(360, 1, 18, 50, 111, 176);4;3.164346;2928046;1800
360;C(360, 1, 18, 65, 152, 158);4;3.164346;2928046;1800
360;C(360, 1, 18, 100, 133, 156);4;3.164346;2928046;1800
360;C(360, 1, 19, 27, 131, 146);4;3.164346;2928046;1800
360;C(360, 1, 19, 31, 106, 153);4;3.164346;2928046;1800
360;C(360, 1, 19, 48, 53, 176);4;3.164346;2928046;1800
360;C(360, 1, 19, 48, 73, 81);4;3.164346;2928046;1800
360;C(360, 1, 19, 53, 99, 168);4;3.164346;2928046;1800
360;C(360, 1, 19, 73, 104, 168);4;3.164346;2928046;1800
360;C(360, 1, 20, 44, 117, 173);4;3.164346;2928046;1800
360;C(360, 1, 20, 45, 149, 162);4;3.164346;2928046;1800
360;C(360, 1, 20, 46, 99, 128);4;3.164346;2928046;1800
360;C(360, 1, 20, 47, 84, 117);4;3.164346;2928046;1800
360;C(360, 1, 20, 115, 162, 168);4;3.164346;2928046;1800
360;C(360, 1, 21, 26, 60, 135);4;3.164346;2928046;1800
360;C(360, 1, 21, 30, 118, 172);4;3.164346;2928046;1800
360;C(360, 1, 21, 54, 71, 173);4;3.164346;2928046;1800
360;C(360, 1, 21, 68, 81, 166);4;3.164346;2928046;1800
360;C(360, 1, 22, 30, 102, 171);4;3.164346;2928046;1800
360;C(360, 1, 22, 40, 69, 173);4;3.164346;2928046;1800
360;C(360, 1, 22, 55, 60, 145);4;3.164346;2928046;1800
360;C(360, 1, 22, 73, 156, 173);4;3.164346;2928046;1800
360;C(360, 1, 22, 92, 102, 109);4;3.164346;2928046;1800
360;C(360, 1, 23, 37, 64, 177);4;3.164346;2928046;1800
360;C(360, 1, 23, 38, 139, 171);4;3.164346;2928046;1800
360;C(360, 1, 23, 42, 58, 154);4;3.164346;2928046;1800
360;C(360, 1, 23, 42, 73, 151);4;3.164346;2928046;1800
360;C(360, 1, 23, 54, 104, 118);4;3.164346;2928046;1800
360;C(360, 1, 23, 64, 73, 102);4;3.164346;2928046;1800
360;C(360, 1, 23, 65, 78, 95);4;3.164346;2928046;1800
360;C(360, 1, 23, 100, 132, 171);4;3.164346;2928046;1800
360;C(360, 1, 23, 101, 109, 162);4;3.164346;2928046;1800
360;C(360, 1, 24, 31, 129, 142);4;3.164346;2928046;1800
360;C(360, 1, 24, 35, 86, 115);4;3.164346;2928046;1800
360;C(360, 1, 24, 38, 105, 122);4;3.164346;2928046;1800
360;C(360, 1, 24, 39, 151, 158);4;3.164346;2928046;1800
360;C(360, 1, 24, 41, 77, 110);4;3.164346;2928046;1800
360;C(360, 1, 24, 41, 153, 162);4;3.164346;2928046;1800
360;C(360, 1, 24, 63, 143, 163);4;3.164346;2928046;1800
360;C(360, 1, 24, 69, 80, 98);4;3.164346;2928046;1800
360;C(360, 1, 24, 85, 99, 117);4;3.164346;2928046;1800
360;C(360, 1, 24, 114, 125, 165);4;3.164346;2928046;1800
360;C(360, 1, 24, 125, 143, 153);4;3.164346;2928046;1800
360;C(360, 1, 24, 145, 150, 158);4;3.164346;2928046;1800
360;C(360, 1, 25, 31, 71, 138);4;3.164346;2928046;1800
360;C(360, 1, 25, 33, 102, 140);4;3.164346;2928046;1800
360;C(360, 1, 25, 41, 60, 113);4;3.164346;2928046;1800
360;C(360, 1, 25, 41, 71, 78);4;3.164346;2928046;1800
360;C(360, 1, 25, 42, 88, 165);4;3.164346;2928046;1800
360;C(360, 1, 25, 46, 108, 173);4;3.164346;2928046;1800
360;C(360, 1, 25, 60, 65, 158);4;3.164346;2928046;1800
360;C(360, 1, 25, 70, 87, 127);4;3.164346;2928046;1800
360;C(360, 1, 25, 70, 104, 134);4;3.164346;2928046;1800
360;C(360, 1, 25, 97, 102, 113);4;3.164346;2928046;1800
360;C(360, 1, 26, 37, 68, 123);4;3.164346;2928046;1800
360;C(360, 1, 26, 44, 151, 161);4;3.164346;2928046;1800
360;C(360, 1, 26, 57, 96, 159);4;3.164346;2928046;1800
360;C(360, 1, 27, 33, 74, 124);4;3.164346;2928046;1800
360;C(360, 1, 27, 39, 123, 130);4;3.164346;2928046;1800
360;C(360, 1, 27, 42, 73, 163);4;3.164346;2928046;1800
360;C(360, 1, 27, 64, 95, 113);4;3.164346;2928046;1800
360;C(360, 1, 27, 92, 127, 137);4;3.164346;2928046;1800
360;C(360, 1, 27, 96, 117, 157);4;3.164346;2928046;1800
360;C(360, 1, 27, 110, 116, 175);4;3.164346;2928046;1800
360;C(360, 1, 28, 36, 142, 157);4;3.164346;2928046;1800
360;C(360, 1, 28, 39, 103, 136);4;3.164346;2928046;1800
360;C(360, 1, 29, 54, 75, 118);4;3.164346;2928046;1800
360;C(360, 1, 29, 65, 113, 126);4;3.164346;2928046;1800
360;C(360, 1, 30, 67, 81, 123);4;3.164346;2928046;1800
360;C(360, 1, 30, 83, 99, 156);4;3.164346;2928046;1800
