Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
663;C(663, 1, 17, 23, 104, 182);5;3.664653;116731262;3315
663;C(663, 1, 22, 36, 134, 256);5;3.664653;116731262;3315
663;C(663, 1, 27, 267, 279, 298);5;3.664653;116731262;3315
663;C(663, 1, 30, 40, 172, 196);5;3.664653;116731262;3315
663;C(663, 1, 37, 70, 93, 194);5;3.664653;116731262;3315
663;C(663, 1, 55, 264, 274, 311);5;3.664653;116731262;3315
663;C(663, 1, 59, 105, 199, 215);5;3.664653;116731262;3315
663;C(663, 1, 62, 116, 165, 194);5;3.664653;116731262;3315
663;C(663, 1, 69, 79, 94, 196);5;3.664653;116731262;3315
663;C(663, 1, 91, 173, 289, 325);5;3.664653;116731262;3315
663;C(663, 1, 101, 233, 274, 321);5;3.664653;116731262;3315
663;C(663, 1, 109, 236, 249, 311);5;3.664653;116731262;3315
663;C(663, 1, 139, 212, 217, 270);5;3.664653;116731262;3315
663;C(663, 1, 150, 207, 279, 287);5;3.664653;116731262;3315
663;C(663, 1, 211, 235, 303, 313);5;3.664653;116731262;3315
