Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(348; 2, 23)";13;8,80403;696;7397534
"C(348; 7, 46)";13;8,80403;696;7397534
"C(348; 10, 59)";13;8,80403;696;7397534
"C(348; 10, 115)";13;8,80403;696;7397534
"C(348; 11, 84)";13;8,80403;696;7397534
"C(348; 12, 43)";13;8,80403;696;7397534
"C(348; 12, 73)";13;8,80403;696;7397534
"C(348; 12, 101)";13;8,80403;696;7397534
"C(348; 12, 131)";13;8,80403;696;7397534
"C(348; 13, 14)";13;8,80403;696;7397534
"C(348; 13, 36)";13;8,80403;696;7397534
"C(348; 14, 161)";13;8,80403;696;7397534
"C(348; 19, 74)";13;8,80403;696;7397534
"C(348; 22, 95)";13;8,80403;696;7397534
"C(348; 23, 144)";13;8,80403;696;7397534
"C(348; 24, 59)";13;8,80403;696;7397534
"C(348; 25, 96)";13;8,80403;696;7397534
"C(348; 25, 134)";13;8,80403;696;7397534
"C(348; 26, 49)";13;8,80403;696;7397534
"C(348; 26, 125)";13;8,80403;696;7397534
"C(348; 31, 48)";13;8,80403;696;7397534
"C(348; 34, 43)";13;8,80403;696;7397534
"C(348; 34, 131)";13;8,80403;696;7397534
"C(348; 35, 118)";13;8,80403;696;7397534
"C(348; 36, 71)";13;8,80403;696;7397534
"C(348; 36, 103)";13;8,80403;696;7397534
"C(348; 36, 161)";13;8,80403;696;7397534
"C(348; 38, 85)";13;8,80403;696;7397534
"C(348; 41, 60)";13;8,80403;696;7397534
"C(348; 46, 167)";13;8,80403;696;7397534
"C(348; 47, 84)";13;8,80403;696;7397534
"C(348; 47, 110)";13;8,80403;696;7397534
"C(348; 48, 89)";13;8,80403;696;7397534
"C(348; 50, 53)";13;8,80403;696;7397534
"C(348; 50, 121)";13;8,80403;696;7397534
"C(348; 53, 120)";13;8,80403;696;7397534
"C(348; 55, 72)";13;8,80403;696;7397534
"C(348; 55, 86)";13;8,80403;696;7397534
"C(348; 60, 133)";13;8,80403;696;7397534
"C(348; 60, 157)";13;8,80403;696;7397534
"C(348; 61, 72)";13;8,80403;696;7397534
"C(348; 61, 146)";13;8,80403;696;7397534
"C(348; 62, 157)";13;8,80403;696;7397534
"C(348; 65, 70)";13;8,80403;696;7397534
"C(348; 67, 132)";13;8,80403;696;7397534
"C(348; 67, 142)";13;8,80403;696;7397534
"C(348; 71, 130)";13;8,80403;696;7397534
"C(348; 72, 119)";13;8,80403;696;7397534
"C(348; 73, 82)";13;8,80403;696;7397534
"C(348; 74, 155)";13;8,80403;696;7397534
"C(348; 77, 108)";13;8,80403;696;7397534
"C(348; 79, 156)";13;8,80403;696;7397534
"C(348; 82, 101)";13;8,80403;696;7397534
"C(348; 83, 96)";13;8,80403;696;7397534
"C(348; 83, 98)";13;8,80403;696;7397534
"C(348; 84, 127)";13;8,80403;696;7397534
"C(348; 84, 163)";13;8,80403;696;7397534
"C(348; 91, 96)";13;8,80403;696;7397534
"C(348; 91, 98)";13;8,80403;696;7397534
"C(348; 94, 137)";13;8,80403;696;7397534
"C(348; 95, 156)";13;8,80403;696;7397534
"C(348; 96, 149)";13;8,80403;696;7397534
"C(348; 97, 108)";13;8,80403;696;7397534
"C(348; 97, 158)";13;8,80403;696;7397534
"C(348; 103, 130)";13;8,80403;696;7397534
"C(348; 106, 173)";13;8,80403;696;7397534
"C(348; 107, 132)";13;8,80403;696;7397534
"C(348; 107, 142)";13;8,80403;696;7397534
"C(348; 108, 155)";13;8,80403;696;7397534
"C(348; 109, 168)";13;8,80403;696;7397534
"C(348; 110, 127)";13;8,80403;696;7397534
"C(348; 113, 146)";13;8,80403;696;7397534
"C(348; 120, 121)";13;8,80403;696;7397534
"C(348; 120, 169)";13;8,80403;696;7397534
"C(348; 122, 163)";13;8,80403;696;7397534
"C(348; 125, 132)";13;8,80403;696;7397534
"C(348; 133, 170)";13;8,80403;696;7397534
"C(348; 137, 156)";13;8,80403;696;7397534
"C(348; 139, 144)";13;8,80403;696;7397534
"C(348; 143, 154)";13;8,80403;696;7397534
"C(348; 144, 151)";13;8,80403;696;7397534
"C(348; 167, 168)";13;8,80403;696;7397534
