Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(33; 1, 2, 8, 13)";2;1,75;132;2239427
"C(33; 1, 2, 8, 14)";2;1,75;132;2239427
"C(33; 1, 3, 10, 15)";2;1,75;132;2239427
"C(33; 1, 4, 7, 16)";2;1,75;132;2239427
"C(33; 1, 4, 10, 16)";2;1,75;132;2239427
"C(33; 1, 5, 7, 10)";2;1,75;132;2239427
"C(33; 1, 5, 9, 12)";2;1,75;132;2239427
"C(33; 1, 6, 9, 10)";2;1,75;132;2239427
"C(33; 1, 7, 10, 14)";2;1,75;132;2239427
"C(33; 1, 9, 13, 15)";2;1,75;132;2239427
