Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
413;C(413, 1, 6, 33, 109, 159);4;3.271845;6128902;2065
413;C(413, 1, 6, 33, 124, 180);4;3.271845;6128902;2065
413;C(413, 1, 6, 36, 56, 159);4;3.271845;6128902;2065
413;C(413, 1, 6, 40, 107, 123);4;3.271845;6128902;2065
413;C(413, 1, 6, 50, 66, 163);4;3.271845;6128902;2065
413;C(413, 1, 6, 69, 147, 180);4;3.271845;6128902;2065
413;C(413, 1, 6, 92, 152, 193);4;3.271845;6128902;2065
413;C(413, 1, 6, 104, 168, 184);4;3.271845;6128902;2065
413;C(413, 1, 7, 25, 79, 186);4;3.271845;6128902;2065
413;C(413, 1, 7, 25, 87, 122);4;3.271845;6128902;2065
413;C(413, 1, 7, 48, 120, 201);4;3.271845;6128902;2065
413;C(413, 1, 7, 60, 94, 144);4;3.271845;6128902;2065
413;C(413, 1, 7, 63, 80, 106);4;3.271845;6128902;2065
413;C(413, 1, 7, 66, 165, 194);4;3.271845;6128902;2065
413;C(413, 1, 7, 85, 117, 153);4;3.271845;6128902;2065
413;C(413, 1, 7, 85, 153, 201);4;3.271845;6128902;2065
413;C(413, 1, 7, 91, 123, 171);4;3.271845;6128902;2065
413;C(413, 1, 8, 28, 94, 136);4;3.271845;6128902;2065
413;C(413, 1, 8, 30, 139, 189);4;3.271845;6128902;2065
413;C(413, 1, 8, 35, 84, 179);4;3.271845;6128902;2065
413;C(413, 1, 8, 39, 89, 200);4;3.271845;6128902;2065
413;C(413, 1, 8, 43, 100, 175);4;3.271845;6128902;2065
413;C(413, 1, 8, 66, 146, 158);4;3.271845;6128902;2065
413;C(413, 1, 8, 74, 104, 144);4;3.271845;6128902;2065
413;C(413, 1, 9, 50, 64, 94);4;3.271845;6128902;2065
413;C(413, 1, 9, 53, 86, 100);4;3.271845;6128902;2065
413;C(413, 1, 9, 56, 98, 191);4;3.271845;6128902;2065
413;C(413, 1, 9, 83, 98, 145);4;3.271845;6128902;2065
413;C(413, 1, 10, 60, 83, 148);4;3.271845;6128902;2065
413;C(413, 1, 10, 68, 93, 130);4;3.271845;6128902;2065
413;C(413, 1, 10, 148, 162, 198);4;3.271845;6128902;2065
413;C(413, 1, 11, 26, 121, 166);4;3.271845;6128902;2065
413;C(413, 1, 11, 60, 75, 115);4;3.271845;6128902;2065
413;C(413, 1, 11, 69, 96, 146);4;3.271845;6128902;2065
413;C(413, 1, 11, 75, 90, 197);4;3.271845;6128902;2065
413;C(413, 1, 11, 102, 121, 164);4;3.271845;6128902;2065
413;C(413, 1, 12, 17, 116, 173);4;3.271845;6128902;2065
413;C(413, 1, 12, 20, 83, 150);4;3.271845;6128902;2065
413;C(413, 1, 12, 29, 156, 164);4;3.271845;6128902;2065
413;C(413, 1, 12, 53, 152, 190);4;3.271845;6128902;2065
413;C(413, 1, 12, 73, 179, 187);4;3.271845;6128902;2065
413;C(413, 1, 12, 83, 148, 203);4;3.271845;6128902;2065
413;C(413, 1, 12, 125, 169, 197);4;3.271845;6128902;2065
413;C(413, 1, 12, 151, 158, 185);4;3.271845;6128902;2065
413;C(413, 1, 13, 18, 94, 155);4;3.271845;6128902;2065
413;C(413, 1, 13, 31, 96, 186);4;3.271845;6128902;2065
413;C(413, 1, 13, 32, 124, 172);4;3.271845;6128902;2065
413;C(413, 1, 14, 34, 59, 181);4;3.271845;6128902;2065
413;C(413, 1, 15, 24, 110, 161);4;3.271845;6128902;2065
413;C(413, 1, 15, 41, 94, 100);4;3.271845;6128902;2065
413;C(413, 1, 15, 78, 87, 197);4;3.271845;6128902;2065
413;C(413, 1, 16, 21, 86, 115);4;3.271845;6128902;2065
413;C(413, 1, 17, 29, 90, 111);4;3.271845;6128902;2065
413;C(413, 1, 17, 30, 160, 167);4;3.271845;6128902;2065
413;C(413, 1, 17, 115, 155, 203);4;3.271845;6128902;2065
413;C(413, 1, 18, 24, 158, 172);4;3.271845;6128902;2065
413;C(413, 1, 19, 26, 128, 170);4;3.271845;6128902;2065
413;C(413, 1, 19, 32, 79, 169);4;3.271845;6128902;2065
413;C(413, 1, 19, 47, 82, 172);4;3.271845;6128902;2065
413;C(413, 1, 19, 53, 81, 203);4;3.271845;6128902;2065
413;C(413, 1, 19, 53, 99, 192);4;3.271845;6128902;2065
413;C(413, 1, 19, 62, 74, 89);4;3.271845;6128902;2065
413;C(413, 1, 19, 62, 133, 160);4;3.271845;6128902;2065
413;C(413, 1, 19, 72, 102, 116);4;3.271845;6128902;2065
413;C(413, 1, 20, 31, 109, 115);4;3.271845;6128902;2065
413;C(413, 1, 20, 33, 104, 182);4;3.271845;6128902;2065
413;C(413, 1, 20, 33, 128, 172);4;3.271845;6128902;2065
413;C(413, 1, 20, 45, 94, 126);4;3.271845;6128902;2065
413;C(413, 1, 20, 72, 167, 201);4;3.271845;6128902;2065
413;C(413, 1, 21, 66, 139, 168);4;3.271845;6128902;2065
413;C(413, 1, 22, 30, 116, 156);4;3.271845;6128902;2065
413;C(413, 1, 22, 56, 142, 148);4;3.271845;6128902;2065
413;C(413, 1, 22, 141, 149, 204);4;3.271845;6128902;2065
413;C(413, 1, 23, 83, 139, 174);4;3.271845;6128902;2065
413;C(413, 1, 23, 97, 114, 152);4;3.271845;6128902;2065
413;C(413, 1, 24, 29, 91, 131);4;3.271845;6128902;2065
413;C(413, 1, 24, 33, 78, 197);4;3.271845;6128902;2065
413;C(413, 1, 24, 37, 115, 120);4;3.271845;6128902;2065
413;C(413, 1, 25, 31, 115, 187);4;3.271845;6128902;2065
413;C(413, 1, 25, 43, 150, 204);4;3.271845;6128902;2065
413;C(413, 1, 25, 56, 128, 196);4;3.271845;6128902;2065
413;C(413, 1, 25, 87, 104, 170);4;3.271845;6128902;2065
413;C(413, 1, 25, 111, 117, 132);4;3.271845;6128902;2065
413;C(413, 1, 25, 150, 155, 166);4;3.271845;6128902;2065
413;C(413, 1, 26, 40, 57, 183);4;3.271845;6128902;2065
413;C(413, 1, 26, 48, 111, 178);4;3.271845;6128902;2065
413;C(413, 1, 26, 68, 87, 98);4;3.271845;6128902;2065
413;C(413, 1, 27, 58, 183, 189);4;3.271845;6128902;2065
413;C(413, 1, 27, 66, 153, 203);4;3.271845;6128902;2065
413;C(413, 1, 27, 72, 164, 187);4;3.271845;6128902;2065
413;C(413, 1, 27, 97, 112, 130);4;3.271845;6128902;2065
413;C(413, 1, 27, 142, 164, 202);4;3.271845;6128902;2065
413;C(413, 1, 27, 145, 183, 189);4;3.271845;6128902;2065
413;C(413, 1, 28, 51, 143, 188);4;3.271845;6128902;2065
