Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
741;C(741, 1, 38);19;12.83784;111;1482
741;C(741, 1, 40);19;12.83784;111;1482
741;C(741, 1, 77);19;12.83784;111;1482
741;C(741, 1, 79);19;12.83784;111;1482
741;C(741, 1, 157);19;12.83784;111;1482
741;C(741, 1, 116);19;12.83784;111;1482
741;C(741, 1, 194);19;12.83784;111;1482
741;C(741, 1, 118);19;12.83784;111;1482
741;C(741, 1, 196);19;12.83784;111;1482
741;C(741, 1, 155);19;12.83784;111;1482
741;C(741, 1, 274);19;12.83784;111;1482
741;C(741, 1, 233);19;12.83784;111;1482
741;C(741, 1, 235);19;12.83784;111;1482
741;C(741, 1, 272);19;12.83784;111;1482
741;C(741, 1, 350);19;12.83784;111;1482
741;C(741, 1, 352);19;12.83784;111;1482
741;C(741, 19, 370);19;12.83784;111;1482
741;C(741, 1, 311);19;12.83784;111;1482
741;C(741, 20, 370);19;12.83784;111;1482
741;C(741, 1, 313);19;12.83784;111;1482
741;C(741, 58, 370);19;12.83784;111;1482
741;C(741, 59, 370);19;12.83784;111;1482
741;C(741, 97, 370);19;12.83784;111;1482
741;C(741, 98, 370);19;12.83784;111;1482
741;C(741, 175, 370);19;12.83784;111;1482
741;C(741, 176, 370);19;12.83784;111;1482
741;C(741, 136, 370);19;12.83784;111;1482
741;C(741, 214, 370);19;12.83784;111;1482
741;C(741, 137, 370);19;12.83784;111;1482
741;C(741, 215, 370);19;12.83784;111;1482
741;C(741, 293, 370);19;12.83784;111;1482
741;C(741, 253, 370);19;12.83784;111;1482
741;C(741, 254, 370);19;12.83784;111;1482
741;C(741, 292, 370);19;12.83784;111;1482
741;C(741, 331, 370);19;12.83784;111;1482
741;C(741, 332, 370);19;12.83784;111;1482
