Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Count K; Signature; Diameter; Average distance; Generation time; Number of connections 
981;C(981, 1, 127);22;14.77143;253;1962
981;C(981, 1, 224);22;14.77143;253;1962
981;C(981, 1, 255);22;14.77143;253;1962
981;C(981, 1, 466);22;14.77143;253;1962
981;C(981, 20, 490);22;14.77143;253;1962
981;C(981, 112, 490);22;14.77143;253;1962
981;C(981, 233, 490);22;14.77143;253;1962
981;C(981, 363, 490);22;14.77143;253;1962
981;C(981, 427, 490);22;14.77143;253;1962
