Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(3; 1, 2)";1;1;6;7
"C(4; 1, 2)";1;1;8;4
"C(5; 1, 2)";1;1;10;2
"C(6; 1, 2)";2;1,2;12;5
"C(7; 1, 2)";2;1,33333;14;6
"C(8; 1, 2)";2;1,42857;16;11
"C(9; 1, 2)";2;1,5;18;23
"C(10; 1, 4)";2;1,55556;20;22
"C(11; 1, 3)";2;1,6;22;41
"C(12; 2, 3)";2;1,63636;24;40
"C(13; 1, 5)";2;1,66667;26;134
"C(14; 2, 3)";3;1,76923;28;131
"C(15; 1, 6)";3;1,85714;30;160
"C(16; 2, 3)";3;1,93333;32;96
"C(17; 1, 5)";3;2;34;112
"C(18; 1, 5)";3;2,05882;36;146
"C(19; 1, 5)";3;2,11111;38;180
"C(20; 1, 8)";3;2,15789;40;191
"C(21; 1, 8)";3;2,2;42;307
"C(22; 2, 7)";3;2,2381;44;283
"C(23; 1, 5)";3;2,27273;46;491
"C(24; 3, 4)";3;2,30435;48;374
"C(25; 1, 7)";3;2,33333;50;466
"C(26; 1, 10)";4;2,4;52;546
"C(27; 3, 4)";4;2,46154;54;565
"C(28; 1, 8)";4;2,51852;56;657
"C(29; 1, 11)";4;2,57143;58;744
"C(30; 2, 9)";4;2,62069;60;826
"C(31; 1, 9)";4;2,66667;62;955
"C(32; 1, 9)";4;2,70968;64;980
"C(33; 1, 14)";4;2,75;66;1102
"C(34; 1, 6)";4;2,78788;68;1959
"C(35; 1, 10)";4;2,82353;70;1379
"C(36; 1, 10)";4;2,85714;72;2356
"C(37; 1, 14)";4;2,88889;74;1634
"C(38; 3, 10)";4;2,91892;76;1744
"C(39; 1, 7)";4;2,94737;78;1887
"C(40; 4, 5)";4;2,97436;80;1941
"C(41; 1, 9)";4;3;82;2438
"C(42; 1, 16)";5;3,04878;84;2315
"C(43; 1, 12)";5;3,09524;86;2853
"C(44; 3, 20)";5;3,13953;88;3031
"C(45; 1, 10)";5;3,18182;90;3105
"C(46; 2, 9)";5;3,22222;92;3535
"C(47; 1, 13)";5;3,26087;94;3871
"C(48; 2, 15)";5;3,29787;96;3932
"C(49; 1, 9)";5;3,33333;98;4782
"C(50; 1, 11)";5;3,36735;100;4575
"C(51; 1, 9)";5;3,4;102;4940
"C(52; 2, 7)";5;3,43137;104;5135
"C(53; 1, 8)";5;3,46154;106;5967
"C(54; 1, 12)";5;3,49057;108;5606
"C(55; 1, 12)";5;3,51852;110;6653
"C(56; 2, 11)";5;3,54545;112;6618
"C(57; 1, 24)";5;3,57143;114;7336
"C(58; 2, 21)";5;3,59649;116;7662
"C(59; 1, 9)";5;3,62069;118;13168
"C(60; 5, 6)";5;3,64407;120;8086
"C(61; 1, 11)";5;3,66667;122;10406
"C(62; 1, 26)";6;3,70492;124;9613
"C(63; 1, 24)";6;3,74194;126;10301
"C(64; 1, 14)";6;3,77778;128;11051
"C(65; 1, 18)";6;3,8125;130;12037
"C(66; 1, 12)";6;3,84615;132;11658
"C(67; 1, 28)";6;3,87879;134;21004
"C(68; 1, 26)";6;3,91045;136;13164
"C(69; 1, 15)";6;3,94118;138;14115
"C(70; 4, 15)";6;3,97101;140;14396
"C(71; 1, 13)";6;4;142;17026
"C(72; 1, 13)";6;4,02817;144;15402
"C(73; 1, 16)";6;4,05556;146;19232
"C(74; 2, 27)";6;4,08219;148;18381
"C(75; 2, 9)";6;4,10811;150;26429
"C(76; 1, 10)";6;4,13333;152;20036
"C(77; 1, 14)";6;4,15789;154;22509
"C(78; 1, 14)";6;4,18182;156;21106
"C(79; 1, 33)";6;4,20513;158;24965
