Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Count K; Signature; Diameter; Average distance; Generation time; Number of connections 
401;C(401, 1, 87, 149);7;4.965;609688584;1203
401;C(401, 1, 106, 155);7;4.965;609688584;1203
401;C(401, 1, 119, 183);7;4.965;609688584;1203
401;C(401, 2, 35, 163);7;4.965;609688584;1203
401;C(401, 2, 91, 189);7;4.965;609688584;1203
401;C(401, 2, 103, 174);7;4.965;609688584;1203
401;C(401, 3, 44, 148);7;4.965;609688584;1203
401;C(401, 3, 46, 140);7;4.965;609688584;1203
401;C(401, 3, 64, 83);7;4.965;609688584;1203
401;C(401, 4, 23, 182);7;4.965;609688584;1203
401;C(401, 4, 53, 195);7;4.965;609688584;1203
401;C(401, 4, 70, 75);7;4.965;609688584;1203
401;C(401, 5, 27, 129);7;4.965;609688584;1203
401;C(401, 5, 34, 57);7;4.965;609688584;1203
401;C(401, 5, 113, 194);7;4.965;609688584;1203
401;C(401, 6, 88, 105);7;4.965;609688584;1203
401;C(401, 6, 92, 121);7;4.965;609688584;1203
401;C(401, 6, 128, 166);7;4.965;609688584;1203
401;C(401, 7, 31, 78);7;4.965;609688584;1203
401;C(401, 7, 60, 118);7;4.965;609688584;1203
401;C(401, 7, 160, 193);7;4.965;609688584;1203
401;C(401, 8, 11, 106);7;4.965;609688584;1203
401;C(401, 8, 37, 46);7;4.965;609688584;1203
401;C(401, 8, 140, 150);7;4.965;609688584;1203
401;C(401, 9, 19, 138);7;4.965;609688584;1203
401;C(401, 9, 43, 132);7;4.965;609688584;1203
401;C(401, 9, 152, 192);7;4.965;609688584;1203
401;C(401, 10, 13, 175);7;4.965;609688584;1203
401;C(401, 10, 54, 143);7;4.965;609688584;1203
401;C(401, 10, 68, 114);7;4.965;609688584;1203
401;C(401, 11, 35, 155);7;4.965;609688584;1203
401;C(401, 11, 37, 101);7;4.965;609688584;1203
401;C(401, 12, 69, 145);7;4.965;609688584;1203
401;C(401, 12, 159, 184);7;4.965;609688584;1203
401;C(401, 12, 176, 191);7;4.965;609688584;1203
401;C(401, 13, 27, 57);7;4.965;609688584;1203
401;C(401, 13, 68, 72);7;4.965;609688584;1203
401;C(401, 14, 15, 81);7;4.965;609688584;1203
401;C(401, 14, 62, 156);7;4.965;609688584;1203
401;C(401, 14, 120, 165);7;4.965;609688584;1203
401;C(401, 15, 62, 181);7;4.965;609688584;1203
401;C(401, 15, 102, 171);7;4.965;609688584;1203
401;C(401, 16, 22, 189);7;4.965;609688584;1203
401;C(401, 16, 74, 92);7;4.965;609688584;1203
401;C(401, 16, 101, 121);7;4.965;609688584;1203
401;C(401, 17, 18, 97);7;4.965;609688584;1203
401;C(401, 17, 125, 127);7;4.965;609688584;1203
401;C(401, 17, 172, 198);7;4.965;609688584;1203
401;C(401, 18, 38, 125);7;4.965;609688584;1203
401;C(401, 18, 86, 137);7;4.965;609688584;1203
401;C(401, 19, 24, 49);7;4.965;609688584;1203
401;C(401, 19, 132, 145);7;4.965;609688584;1203
401;C(401, 20, 26, 51);7;4.965;609688584;1203
401;C(401, 20, 108, 115);7;4.965;609688584;1203
401;C(401, 20, 136, 173);7;4.965;609688584;1203
401;C(401, 21, 47, 180);7;4.965;609688584;1203
401;C(401, 21, 79, 178);7;4.965;609688584;1203
401;C(401, 21, 93, 167);7;4.965;609688584;1203
401;C(401, 22, 70, 91);7;4.965;609688584;1203
401;C(401, 22, 74, 199);7;4.965;609688584;1203
401;C(401, 23, 32, 44);7;4.965;609688584;1203
401;C(401, 23, 70, 199);7;4.965;609688584;1203
401;C(401, 24, 33, 83);7;4.965;609688584;1203
401;C(401, 24, 111, 138);7;4.965;609688584;1203
401;C(401, 25, 116, 170);7;4.965;609688584;1203
401;C(401, 25, 135, 157);7;4.965;609688584;1203
401;C(401, 25, 164, 168);7;4.965;609688584;1203
401;C(401, 26, 54, 114);7;4.965;609688584;1203
401;C(401, 26, 136, 144);7;4.965;609688584;1203
401;C(401, 27, 55, 175);7;4.965;609688584;1203
401;C(401, 28, 30, 162);7;4.965;609688584;1203
401;C(401, 28, 71, 161);7;4.965;609688584;1203
401;C(401, 28, 89, 124);7;4.965;609688584;1203
401;C(401, 29, 84, 134);7;4.965;609688584;1203
401;C(401, 29, 90, 117);7;4.965;609688584;1203
401;C(401, 29, 94, 158);7;4.965;609688584;1203
401;C(401, 30, 39, 124);7;4.965;609688584;1203
401;C(401, 30, 59, 197);7;4.965;609688584;1203
401;C(401, 31, 59, 80);7;4.965;609688584;1203
401;C(401, 31, 110, 193);7;4.965;609688584;1203
401;C(401, 32, 148, 184);7;4.965;609688584;1203
401;C(401, 32, 159, 199);7;4.965;609688584;1203
401;C(401, 33, 64, 105);7;4.965;609688584;1203
401;C(401, 33, 98, 111);7;4.965;609688584;1203
401;C(401, 34, 36, 194);7;4.965;609688584;1203
401;C(401, 34, 147, 151);7;4.965;609688584;1203
401;C(401, 35, 101, 189);7;4.965;609688584;1203
401;C(401, 36, 76, 151);7;4.965;609688584;1203
401;C(401, 36, 127, 172);7;4.965;609688584;1203
401;C(401, 37, 88, 121);7;4.965;609688584;1203
401;C(401, 38, 48, 98);7;4.965;609688584;1203
401;C(401, 38, 111, 137);7;4.965;609688584;1203
401;C(401, 39, 81, 171);7;4.965;609688584;1203
401;C(401, 39, 185, 197);7;4.965;609688584;1203
401;C(401, 40, 52, 102);7;4.965;609688584;1203
401;C(401, 40, 55, 129);7;4.965;609688584;1203
401;C(401, 40, 171, 185);7;4.965;609688584;1203
401;C(401, 41, 42, 94);7;4.965;609688584;1203
