Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
501;C(501, 1, 15, 116);8;5.372;1730377661;1503
501;C(501, 1, 37, 64);8;5.372;1730377661;1503
501;C(501, 1, 39, 203);8;5.372;1730377661;1503
501;C(501, 1, 40, 69);8;5.372;1730377661;1503
501;C(501, 1, 111, 238);8;5.372;1730377661;1503
501;C(501, 1, 118, 227);8;5.372;1730377661;1503
501;C(501, 1, 176, 242);8;5.372;1730377661;1503
501;C(501, 2, 17, 149);8;5.372;1730377661;1503
501;C(501, 2, 25, 222);8;5.372;1730377661;1503
501;C(501, 2, 30, 232);8;5.372;1730377661;1503
501;C(501, 2, 47, 236);8;5.372;1730377661;1503
501;C(501, 2, 74, 128);8;5.372;1730377661;1503
501;C(501, 2, 78, 95);8;5.372;1730377661;1503
501;C(501, 2, 80, 138);8;5.372;1730377661;1503
501;C(501, 3, 29, 158);8;5.372;1730377661;1503
501;C(501, 3, 67, 244);8;5.372;1730377661;1503
501;C(501, 3, 77, 100);8;5.372;1730377661;1503
501;C(501, 3, 176, 196);8;5.372;1730377661;1503
501;C(501, 4, 29, 94);8;5.372;1730377661;1503
501;C(501, 4, 34, 203);8;5.372;1730377661;1503
501;C(501, 4, 37, 60);8;5.372;1730377661;1503
501;C(501, 4, 50, 57);8;5.372;1730377661;1503
501;C(501, 4, 148, 245);8;5.372;1730377661;1503
501;C(501, 4, 156, 190);8;5.372;1730377661;1503
501;C(501, 4, 160, 225);8;5.372;1730377661;1503
501;C(501, 5, 13, 195);8;5.372;1730377661;1503
501;C(501, 5, 54, 188);8;5.372;1730377661;1503
501;C(501, 5, 75, 79);8;5.372;1730377661;1503
501;C(501, 5, 89, 133);8;5.372;1730377661;1503
501;C(501, 5, 122, 208);8;5.372;1730377661;1503
501;C(501, 5, 156, 200);8;5.372;1730377661;1503
501;C(501, 5, 181, 185);8;5.372;1730377661;1503
501;C(501, 6, 13, 134);8;5.372;1730377661;1503
501;C(501, 6, 58, 185);8;5.372;1730377661;1503
501;C(501, 6, 109, 149);8;5.372;1730377661;1503
501;C(501, 6, 154, 200);8;5.372;1730377661;1503
501;C(501, 7, 18, 221);8;5.372;1730377661;1503
501;C(501, 7, 53, 242);8;5.372;1730377661;1503
501;C(501, 7, 82, 228);8;5.372;1730377661;1503
501;C(501, 7, 86, 176);8;5.372;1730377661;1503
501;C(501, 7, 105, 190);8;5.372;1730377661;1503
501;C(501, 7, 163, 225);8;5.372;1730377661;1503
501;C(501, 7, 191, 230);8;5.372;1730377661;1503
501;C(501, 8, 11, 205);8;5.372;1730377661;1503
501;C(501, 8, 51, 181);8;5.372;1730377661;1503
501;C(501, 8, 58, 188);8;5.372;1730377661;1503
501;C(501, 8, 68, 95);8;5.372;1730377661;1503
501;C(501, 8, 74, 120);8;5.372;1730377661;1503
501;C(501, 8, 100, 114);8;5.372;1730377661;1503
501;C(501, 8, 121, 189);8;5.372;1730377661;1503
501;C(501, 9, 34, 64);8;5.372;1730377661;1503
501;C(501, 9, 80, 194);8;5.372;1730377661;1503
501;C(501, 9, 103, 133);8;5.372;1730377661;1503
501;C(501, 9, 140, 247);8;5.372;1730377661;1503
501;C(501, 10, 26, 111);8;5.372;1730377661;1503
501;C(501, 10, 85, 244);8;5.372;1730377661;1503
501;C(501, 10, 101, 189);8;5.372;1730377661;1503
501;C(501, 10, 108, 125);8;5.372;1730377661;1503
501;C(501, 10, 131, 139);8;5.372;1730377661;1503
501;C(501, 10, 150, 158);8;5.372;1730377661;1503
501;C(501, 10, 178, 235);8;5.372;1730377661;1503
501;C(501, 11, 61, 243);8;5.372;1730377661;1503
501;C(501, 11, 68, 157);8;5.372;1730377661;1503
501;C(501, 11, 72, 229);8;5.372;1730377661;1503
501;C(501, 11, 94, 203);8;5.372;1730377661;1503
501;C(501, 11, 113, 219);8;5.372;1730377661;1503
501;C(501, 11, 165, 227);8;5.372;1730377661;1503
501;C(501, 12, 26, 233);8;5.372;1730377661;1503
501;C(501, 12, 101, 193);8;5.372;1730377661;1503
501;C(501, 12, 116, 131);8;5.372;1730377661;1503
501;C(501, 12, 203, 218);8;5.372;1730377661;1503
501;C(501, 13, 19, 105);8;5.372;1730377661;1503
501;C(501, 13, 20, 170);8;5.372;1730377661;1503
501;C(501, 13, 31, 55);8;5.372;1730377661;1503
501;C(501, 13, 60, 88);8;5.372;1730377661;1503
501;C(501, 13, 140, 217);8;5.372;1730377661;1503
501;C(501, 14, 17, 106);8;5.372;1730377661;1503
501;C(501, 14, 36, 59);8;5.372;1730377661;1503
501;C(501, 14, 41, 119);8;5.372;1730377661;1503
501;C(501, 14, 45, 164);8;5.372;1730377661;1503
501;C(501, 14, 51, 175);8;5.372;1730377661;1503
501;C(501, 14, 121, 210);8;5.372;1730377661;1503
501;C(501, 14, 149, 172);8;5.372;1730377661;1503
501;C(501, 15, 22, 122);8;5.372;1730377661;1503
