Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(65; 1, 4, 18)";4;2,625;195;123027
"C(65; 2, 9, 32)";4;2,625;195;123027
"C(65; 3, 10, 12)";4;2,625;195;123027
"C(65; 3, 11, 12)";4;2,625;195;123027
"C(65; 3, 16, 21)";4;2,625;195;123027
"C(65; 4, 7, 16)";4;2,625;195;123027
"C(65; 4, 7, 28)";4;2,625;195;123027
"C(65; 4, 9, 15)";4;2,625;195;123027
"C(65; 4, 11, 17)";4;2,625;195;123027
"C(65; 5, 6, 31)";4;2,625;195;123027
"C(65; 5, 12, 13)";4;2,625;195;123027
"C(65; 5, 19, 21)";4;2,625;195;123027
"C(65; 6, 7, 16)";4;2,625;195;123027
"C(65; 6, 10, 19)";4;2,625;195;123027
"C(65; 6, 27, 31)";4;2,625;195;123027
"C(65; 7, 10, 32)";4;2,625;195;123027
"C(65; 7, 12, 25)";4;2,625;195;123027
"C(65; 8, 9, 14)";4;2,625;195;123027
"C(65; 8, 9, 21)";4;2,625;195;123027
"C(65; 8, 10, 23)";4;2,625;195;123027
"C(65; 8, 13, 25)";4;2,625;195;123027
"C(65; 9, 14, 25)";4;2,625;195;123027
"C(65; 9, 29, 30)";4;2,625;195;123027
"C(65; 11, 17, 19)";4;2,625;195;123027
"C(65; 11, 24, 25)";4;2,625;195;123027
"C(65; 12, 19, 21)";4;2,625;195;123027
"C(65; 12, 20, 27)";4;2,625;195;123027
"C(65; 13, 15, 23)";4;2,625;195;123027
"C(65; 13, 17, 20)";4;2,625;195;123027
"C(65; 14, 15, 24)";4;2,625;195;123027
"C(65; 14, 19, 25)";4;2,625;195;123027
"C(65; 15, 17, 22)";4;2,625;195;123027
"C(65; 15, 18, 28)";4;2,625;195;123027
"C(65; 15, 27, 28)";4;2,625;195;123027
"C(65; 16, 18, 23)";4;2,625;195;123027
"C(65; 16, 18, 28)";4;2,625;195;123027
"C(65; 16, 19, 20)";4;2,625;195;123027
"C(65; 17, 18, 21)";4;2,625;195;123027
"C(65; 21, 25, 26)";4;2,625;195;123027
"C(65; 22, 23, 30)";4;2,625;195;123027
"C(65; 22, 27, 31)";4;2,625;195;123027
"C(65; 23, 24, 27)";4;2,625;195;123027
"C(65; 23, 24, 31)";4;2,625;195;123027
"C(65; 23, 29, 31)";4;2,625;195;123027
"C(65; 25, 26, 31)";4;2,625;195;123027
"C(65; 25, 27, 32)";4;2,625;195;123027
