Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
656;C(656, 1, 14, 149, 217, 266);5;3.656489;109792191;3280
656;C(656, 1, 17, 113, 286, 296);5;3.656489;109792191;3280
656;C(656, 1, 25, 42, 115, 276);5;3.656489;109792191;3280
656;C(656, 1, 27, 72, 277, 285);5;3.656489;109792191;3280
656;C(656, 1, 34, 109, 189, 316);5;3.656489;109792191;3280
656;C(656, 1, 38, 59, 129, 276);5;3.656489;109792191;3280
656;C(656, 1, 40, 45, 97, 295);5;3.656489;109792191;3280
656;C(656, 1, 46, 251, 260, 285);5;3.656489;109792191;3280
656;C(656, 1, 56, 94, 161, 193);5;3.656489;109792191;3280
656;C(656, 1, 72, 228, 263, 304);5;3.656489;109792191;3280
656;C(656, 1, 73, 82, 176, 299);5;3.656489;109792191;3280
656;C(656, 1, 78, 200, 209, 273);5;3.656489;109792191;3280
656;C(656, 1, 91, 154, 302, 317);5;3.656489;109792191;3280
656;C(656, 1, 102, 239, 292, 325);5;3.656489;109792191;3280
656;C(656, 1, 105, 116, 182, 267);5;3.656489;109792191;3280
656;C(656, 1, 120, 217, 276, 288);5;3.656489;109792191;3280
656;C(656, 1, 122, 180, 285, 316);5;3.656489;109792191;3280
656;C(656, 1, 147, 235, 246, 288);5;3.656489;109792191;3280
656;C(656, 1, 172, 226, 252, 267);5;3.656489;109792191;3280
656;C(656, 1, 173, 234, 254, 263);5;3.656489;109792191;3280
656;C(656, 1, 216, 243, 257, 281);5;3.656489;109792191;3280
