Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Count K; Signature; Diameter; Average distance; Generation time; Number of connections 
678;C(678, 1, 42, 160, 182, 305);5;3.685377;136741805;3390
678;C(678, 1, 45, 163, 174, 243);5;3.685377;136741805;3390
678;C(678, 1, 51, 86, 106, 199);5;3.685377;136741805;3390
678;C(678, 1, 55, 104, 291, 322);5;3.685377;136741805;3390
678;C(678, 1, 61, 138, 172, 177);5;3.685377;136741805;3390
678;C(678, 1, 111, 161, 240, 251);5;3.685377;136741805;3390
678;C(678, 1, 114, 140, 151, 182);5;3.685377;136741805;3390
678;C(678, 1, 117, 129, 178, 330);5;3.685377;136741805;3390
678;C(678, 1, 120, 214, 289, 303);5;3.685377;136741805;3390
678;C(678, 1, 120, 230, 245, 264);5;3.685377;136741805;3390
678;C(678, 1, 126, 133, 235, 321);5;3.685377;136741805;3390
678;C(678, 1, 147, 223, 253, 260);5;3.685377;136741805;3390
678;C(678, 1, 149, 156, 273, 333);5;3.685377;136741805;3390
678;C(678, 1, 157, 264, 298, 327);5;3.685377;136741805;3390
678;C(678, 1, 177, 217, 290, 301);5;3.685377;136741805;3390
678;C(678, 1, 194, 229, 320, 336);5;3.685377;136741805;3390
678;C(678, 1, 214, 244, 258, 329);5;3.685377;136741805;3390
