Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
148;C(148, 1, 4, 10, 34, 65);3;2.523809;16468;740
148;C(148, 1, 4, 13, 35, 59);3;2.523809;16468;740
148;C(148, 1, 4, 14, 39, 58);3;2.523809;16468;740
148;C(148, 1, 4, 14, 41, 61);3;2.523809;16468;740
148;C(148, 1, 4, 16, 42, 67);3;2.523809;16468;740
148;C(148, 1, 4, 18, 28, 43);3;2.523809;16468;740
148;C(148, 1, 4, 18, 44, 71);3;2.523809;16468;740
148;C(148, 1, 4, 20, 27, 38);3;2.523809;16468;740
148;C(148, 1, 4, 23, 54, 64);3;2.523809;16468;740
148;C(148, 1, 4, 23, 55, 67);3;2.523809;16468;740
148;C(148, 1, 4, 25, 35, 47);3;2.523809;16468;740
148;C(148, 1, 4, 25, 36, 53);3;2.523809;16468;740
148;C(148, 1, 4, 26, 35, 50);3;2.523809;16468;740
148;C(148, 1, 4, 36, 55, 67);3;2.523809;16468;740
148;C(148, 1, 5, 8, 38, 65);3;2.523809;16468;740
148;C(148, 1, 5, 14, 35, 53);3;2.523809;16468;740
148;C(148, 1, 5, 20, 27, 65);3;2.523809;16468;740
148;C(148, 1, 5, 21, 24, 68);3;2.523809;16468;740
148;C(148, 1, 5, 21, 33, 46);3;2.523809;16468;740
148;C(148, 1, 5, 21, 34, 48);3;2.523809;16468;740
148;C(148, 1, 5, 27, 42, 45);3;2.523809;16468;740
148;C(148, 1, 5, 28, 41, 50);3;2.523809;16468;740
148;C(148, 1, 5, 28, 50, 62);3;2.523809;16468;740
148;C(148, 1, 5, 29, 55, 70);3;2.523809;16468;740
148;C(148, 1, 5, 31, 50, 70);3;2.523809;16468;740
148;C(148, 1, 5, 40, 48, 66);3;2.523809;16468;740
148;C(148, 1, 6, 9, 31, 66);3;2.523809;16468;740
148;C(148, 1, 6, 15, 35, 53);3;2.523809;16468;740
148;C(148, 1, 6, 16, 29, 72);3;2.523809;16468;740
148;C(148, 1, 6, 22, 25, 58);3;2.523809;16468;740
148;C(148, 1, 6, 25, 48, 64);3;2.523809;16468;740
148;C(148, 1, 6, 29, 44, 65);3;2.523809;16468;740
148;C(148, 1, 6, 31, 51, 69);3;2.523809;16468;740
148;C(148, 1, 6, 32, 50, 69);3;2.523809;16468;740
148;C(148, 1, 6, 39, 56, 65);3;2.523809;16468;740
148;C(148, 1, 6, 40, 53, 64);3;2.523809;16468;740
148;C(148, 1, 6, 41, 56, 69);3;2.523809;16468;740
148;C(148, 1, 7, 10, 44, 65);3;2.523809;16468;740
148;C(148, 1, 7, 12, 46, 66);3;2.523809;16468;740
148;C(148, 1, 7, 16, 50, 62);3;2.523809;16468;740
148;C(148, 1, 7, 18, 30, 57);3;2.523809;16468;740
148;C(148, 1, 7, 18, 41, 51);3;2.523809;16468;740
148;C(148, 1, 7, 18, 44, 66);3;2.523809;16468;740
148;C(148, 1, 7, 19, 59, 62);3;2.523809;16468;740
148;C(148, 1, 7, 20, 32, 35);3;2.523809;16468;740
148;C(148, 1, 7, 26, 35, 65);3;2.523809;16468;740
148;C(148, 1, 7, 27, 38, 43);3;2.523809;16468;740
148;C(148, 1, 7, 30, 33, 68);3;2.523809;16468;740
148;C(148, 1, 7, 30, 45, 56);3;2.523809;16468;740
148;C(148, 1, 7, 33, 45, 62);3;2.523809;16468;740
148;C(148, 1, 7, 34, 50, 60);3;2.523809;16468;740
148;C(148, 1, 7, 35, 40, 58);3;2.523809;16468;740
148;C(148, 1, 7, 53, 57, 66);3;2.523809;16468;740
148;C(148, 1, 8, 12, 31, 57);3;2.523809;16468;740
148;C(148, 1, 8, 13, 41, 44);3;2.523809;16468;740
148;C(148, 1, 8, 14, 33, 69);3;2.523809;16468;740
148;C(148, 1, 8, 18, 42, 55);3;2.523809;16468;740
148;C(148, 1, 8, 20, 46, 59);3;2.523809;16468;740
148;C(148, 1, 8, 21, 38, 57);3;2.523809;16468;740
148;C(148, 1, 8, 23, 35, 65);3;2.523809;16468;740
148;C(148, 1, 8, 23, 35, 72);3;2.523809;16468;740
148;C(148, 1, 8, 38, 58, 63);3;2.523809;16468;740
148;C(148, 1, 8, 43, 65, 68);3;2.523809;16468;740
148;C(148, 1, 8, 46, 58, 63);3;2.523809;16468;740
148;C(148, 1, 8, 46, 60, 71);3;2.523809;16468;740
148;C(148, 1, 8, 47, 57, 72);3;2.523809;16468;740
148;C(148, 1, 9, 16, 22, 68);3;2.523809;16468;740
148;C(148, 1, 9, 20, 26, 63);3;2.523809;16468;740
148;C(148, 1, 9, 22, 29, 56);3;2.523809;16468;740
148;C(148, 1, 9, 22, 29, 72);3;2.523809;16468;740
148;C(148, 1, 9, 22, 50, 56);3;2.523809;16468;740
148;C(148, 1, 9, 23, 28, 68);3;2.523809;16468;740
148;C(148, 1, 9, 26, 40, 64);3;2.523809;16468;740
148;C(148, 1, 9, 26, 42, 56);3;2.523809;16468;740
148;C(148, 1, 9, 28, 34, 41);3;2.523809;16468;740
148;C(148, 1, 9, 30, 34, 66);3;2.523809;16468;740
