nodes count;graph signature;Diameter;average distance;generating time (ms);connections count
22;C(22, 1, 2, 3, 4, 5, 6);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 5, 7);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 5, 8);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 5, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 5, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 6, 7);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 6, 8);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 6, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 6, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 7, 8);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 7, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 7, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 4, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 6, 7);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 6, 8);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 6, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 6, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 7, 8);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 7, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 7, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 5, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 6, 7, 8);2;1.428571;8;132
22;C(22, 1, 2, 3, 6, 7, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 6, 7, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 6, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 6, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 6, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 3, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 3, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 6, 7);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 6, 8);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 6, 9);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 6, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 7, 8);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 7, 9);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 7, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 5, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 6, 7, 8);2;1.428571;8;132
22;C(22, 1, 2, 4, 6, 7, 9);2;1.428571;8;132
22;C(22, 1, 2, 4, 6, 7, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 6, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 4, 6, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 6, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 4, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 4, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 5, 6, 7, 8);2;1.428571;8;132
22;C(22, 1, 2, 5, 6, 7, 9);2;1.428571;8;132
22;C(22, 1, 2, 5, 6, 7, 10);2;1.428571;8;132
22;C(22, 1, 2, 5, 6, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 5, 6, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 5, 6, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 5, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 5, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 5, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 5, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 6, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 2, 6, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 2, 6, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 6, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 2, 7, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 6, 7);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 6, 8);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 6, 9);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 6, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 7, 8);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 7, 9);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 7, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 8, 9);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 8, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 5, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 6, 7, 8);2;1.428571;8;132
22;C(22, 1, 3, 4, 6, 7, 9);2;1.428571;8;132
22;C(22, 1, 3, 4, 6, 7, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 6, 8, 9);2;1.428571;8;132
22;C(22, 1, 3, 4, 6, 8, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 6, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 3, 4, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 4, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 5, 6, 7, 8);2;1.428571;8;132
22;C(22, 1, 3, 5, 6, 7, 9);2;1.428571;8;132
22;C(22, 1, 3, 5, 6, 7, 10);2;1.428571;8;132
22;C(22, 1, 3, 5, 6, 8, 9);2;1.428571;8;132
22;C(22, 1, 3, 5, 6, 8, 10);2;1.428571;8;132
22;C(22, 1, 3, 5, 6, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 5, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 3, 5, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 3, 5, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 5, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 6, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 3, 6, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 3, 6, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 6, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 3, 7, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 4, 5, 6, 7, 8);2;1.428571;8;132
22;C(22, 1, 4, 5, 6, 7, 9);2;1.428571;8;132
22;C(22, 1, 4, 5, 6, 7, 10);2;1.428571;8;132
22;C(22, 1, 4, 5, 6, 8, 9);2;1.428571;8;132
22;C(22, 1, 4, 5, 6, 8, 10);2;1.428571;8;132
22;C(22, 1, 4, 5, 6, 9, 10);2;1.428571;8;132
22;C(22, 1, 4, 5, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 4, 5, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 4, 5, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 4, 5, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 4, 6, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 4, 6, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 4, 6, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 4, 6, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 4, 7, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 5, 6, 7, 8, 9);2;1.428571;8;132
22;C(22, 1, 5, 6, 7, 8, 10);2;1.428571;8;132
22;C(22, 1, 5, 6, 7, 9, 10);2;1.428571;8;132
22;C(22, 1, 5, 6, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 5, 7, 8, 9, 10);2;1.428571;8;132
22;C(22, 1, 6, 7, 8, 9, 10);2;1.428571;8;132
