Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Nodes count; Signature; Diameter; Average distance; Generation time; Number of connections 
16;C(16, 1, 2, 6);2;1.6;260;48
16;C(16, 1, 2, 7);2;1.6;260;48
16;C(16, 1, 3, 4);2;1.6;260;48
16;C(16, 1, 4, 5);2;1.6;260;48
16;C(16, 1, 4, 6);2;1.6;260;48
16;C(16, 1, 4, 7);2;1.6;260;48
16;C(16, 1, 6, 7);2;1.6;260;48
16;C(16, 2, 3, 4);2;1.6;260;48
16;C(16, 2, 3, 5);2;1.6;260;48
16;C(16, 2, 3, 6);2;1.6;260;48
16;C(16, 2, 4, 5);2;1.6;260;48
16;C(16, 2, 5, 6);2;1.6;260;48
16;C(16, 2, 6, 7);2;1.6;260;48
16;C(16, 3, 4, 5);2;1.6;260;48
16;C(16, 3, 4, 7);2;1.6;260;48
16;C(16, 3, 5, 6);2;1.6;260;48
16;C(16, 4, 5, 7);2;1.6;260;48
16;C(16, 4, 6, 7);2;1.6;260;48
