Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
156;C(156, 1, 4, 14, 37, 62);3;2.548387;22365;780
156;C(156, 1, 4, 21, 55, 70);3;2.548387;22365;780
156;C(156, 1, 4, 22, 34, 47);3;2.548387;22365;780
156;C(156, 1, 4, 23, 38, 51);3;2.548387;22365;780
156;C(156, 1, 5, 17, 36, 56);3;2.548387;22365;780
156;C(156, 1, 6, 35, 45, 68);3;2.548387;22365;780
156;C(156, 1, 7, 11, 40, 60);3;2.548387;22365;780
156;C(156, 1, 8, 19, 58, 63);3;2.548387;22365;780
156;C(156, 1, 8, 34, 48, 63);3;2.548387;22365;780
156;C(156, 1, 9, 22, 61, 68);3;2.548387;22365;780
156;C(156, 1, 9, 24, 38, 68);3;2.548387;22365;780
156;C(156, 1, 9, 28, 60, 75);3;2.548387;22365;780
156;C(156, 1, 10, 15, 38, 69);3;2.548387;22365;780
156;C(156, 1, 10, 27, 42, 50);3;2.548387;22365;780
156;C(156, 1, 12, 15, 21, 76);3;2.548387;22365;780
156;C(156, 1, 12, 19, 58, 73);3;2.548387;22365;780
156;C(156, 1, 13, 21, 38, 70);3;2.548387;22365;780
156;C(156, 1, 13, 22, 42, 60);3;2.548387;22365;780
156;C(156, 1, 14, 20, 46, 73);3;2.548387;22365;780
156;C(156, 1, 16, 38, 41, 69);3;2.548387;22365;780
156;C(156, 1, 17, 30, 49, 56);3;2.548387;22365;780
156;C(156, 1, 17, 45, 58, 68);3;2.548387;22365;780
156;C(156, 1, 18, 21, 49, 56);3;2.548387;22365;780
156;C(156, 1, 19, 24, 58, 70);3;2.548387;22365;780
156;C(156, 1, 20, 24, 31, 59);3;2.548387;22365;780
156;C(156, 1, 21, 36, 44, 62);3;2.548387;22365;780
156;C(156, 1, 24, 29, 38, 41);3;2.548387;22365;780
156;C(156, 1, 26, 45, 48, 57);3;2.548387;22365;780
156;C(156, 1, 27, 33, 46, 70);3;2.548387;22365;780
156;C(156, 1, 28, 36, 43, 67);3;2.548387;22365;780
156;C(156, 1, 29, 32, 48, 71);3;2.548387;22365;780
156;C(156, 1, 29, 35, 42, 68);3;2.548387;22365;780
156;C(156, 1, 37, 40, 48, 55);3;2.548387;22365;780
156;C(156, 1, 38, 41, 48, 62);3;2.548387;22365;780
156;C(156, 1, 40, 43, 55, 66);3;2.548387;22365;780
156;C(156, 1, 42, 63, 70, 76);3;2.548387;22365;780
156;C(156, 1, 43, 47, 60, 74);3;2.548387;22365;780
156;C(156, 1, 46, 59, 70, 76);3;2.548387;22365;780
