Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
8;C(8, 1, 2, 3, 4);1;1;672;32
9;C(9, 1, 2, 3, 4);1;1;751;36
10;C(10, 1, 2, 3, 4);2;1.11111;2607;40
11;C(11, 1, 2, 3, 4);2;1.2;2977;44
11;C(11, 1, 2, 3, 5);2;1.2;2977;44
11;C(11, 1, 2, 4, 5);2;1.2;2977;44
11;C(11, 1, 3, 4, 5);2;1.2;2977;44
11;C(11, 2, 3, 4, 5);2;1.2;2977;44
12;C(12, 1, 2, 3, 4);2;1.27273;9515;48
12;C(12, 1, 2, 3, 5);2;1.27273;9515;48
12;C(12, 1, 2, 4, 5);2;1.27273;9515;48
12;C(12, 1, 3, 4, 5);2;1.27273;9515;48
12;C(12, 2, 3, 4, 5);2;1.27273;9515;48
13;C(13, 1, 2, 3, 4);2;1.33333;10368;52
13;C(13, 1, 2, 3, 5);2;1.33333;10368;52
13;C(13, 1, 2, 3, 6);2;1.33333;10368;52
13;C(13, 1, 2, 4, 5);2;1.33333;10368;52
13;C(13, 1, 2, 4, 6);2;1.33333;10368;52
13;C(13, 1, 2, 5, 6);2;1.33333;10368;52
13;C(13, 1, 3, 4, 5);2;1.33333;10368;52
13;C(13, 1, 3, 4, 6);2;1.33333;10368;52
13;C(13, 1, 3, 5, 6);2;1.33333;10368;52
13;C(13, 1, 4, 5, 6);2;1.33333;10368;52
13;C(13, 2, 3, 4, 5);2;1.33333;10368;52
13;C(13, 2, 3, 4, 6);2;1.33333;10368;52
13;C(13, 2, 3, 5, 6);2;1.33333;10368;52
13;C(13, 2, 4, 5, 6);2;1.33333;10368;52
13;C(13, 3, 4, 5, 6);2;1.33333;10368;52
14;C(14, 1, 2, 3, 4);2;1.38462;17070;56
14;C(14, 1, 2, 3, 5);2;1.38462;17070;56
14;C(14, 1, 2, 3, 6);2;1.38462;17070;56
14;C(14, 1, 2, 4, 5);2;1.38462;17070;56
14;C(14, 1, 2, 4, 6);2;1.38462;17070;56
14;C(14, 1, 2, 5, 6);2;1.38462;17070;56
14;C(14, 1, 3, 4, 5);2;1.38462;17070;56
14;C(14, 1, 3, 4, 6);2;1.38462;17070;56
14;C(14, 1, 3, 5, 6);2;1.38462;17070;56
14;C(14, 1, 4, 5, 6);2;1.38462;17070;56
14;C(14, 2, 3, 4, 5);2;1.38462;17070;56
14;C(14, 2, 3, 4, 6);2;1.38462;17070;56
14;C(14, 2, 3, 5, 6);2;1.38462;17070;56
14;C(14, 2, 4, 5, 6);2;1.38462;17070;56
14;C(14, 3, 4, 5, 6);2;1.38462;17070;56
15;C(15, 1, 2, 3, 4);2;1.42857;16490;60
15;C(15, 1, 2, 3, 5);2;1.42857;16490;60
15;C(15, 1, 2, 3, 6);2;1.42857;16490;60
15;C(15, 1, 2, 3, 7);2;1.42857;16490;60
15;C(15, 1, 2, 4, 5);2;1.42857;16490;60
15;C(15, 1, 2, 4, 6);2;1.42857;16490;60
15;C(15, 1, 2, 4, 7);2;1.42857;16490;60
15;C(15, 1, 2, 5, 6);2;1.42857;16490;60
15;C(15, 1, 2, 5, 7);2;1.42857;16490;60
15;C(15, 1, 2, 6, 7);2;1.42857;16490;60
15;C(15, 1, 3, 4, 5);2;1.42857;16490;60
15;C(15, 1, 3, 4, 6);2;1.42857;16490;60
15;C(15, 1, 3, 4, 7);2;1.42857;16490;60
15;C(15, 1, 3, 5, 6);2;1.42857;16490;60
15;C(15, 1, 3, 5, 7);2;1.42857;16490;60
15;C(15, 1, 3, 6, 7);2;1.42857;16490;60
15;C(15, 1, 4, 5, 6);2;1.42857;16490;60
15;C(15, 1, 4, 5, 7);2;1.42857;16490;60
15;C(15, 1, 4, 6, 7);2;1.42857;16490;60
15;C(15, 1, 5, 6, 7);2;1.42857;16490;60
15;C(15, 2, 3, 4, 5);2;1.42857;16490;60
15;C(15, 2, 3, 4, 6);2;1.42857;16490;60
15;C(15, 2, 3, 4, 7);2;1.42857;16490;60
15;C(15, 2, 3, 5, 6);2;1.42857;16490;60
15;C(15, 2, 3, 5, 7);2;1.42857;16490;60
15;C(15, 2, 3, 6, 7);2;1.42857;16490;60
15;C(15, 2, 4, 5, 6);2;1.42857;16490;60
15;C(15, 2, 4, 5, 7);2;1.42857;16490;60
15;C(15, 2, 4, 6, 7);2;1.42857;16490;60
15;C(15, 2, 5, 6, 7);2;1.42857;16490;60
15;C(15, 3, 4, 5, 6);2;1.42857;16490;60
15;C(15, 3, 4, 5, 7);2;1.42857;16490;60
15;C(15, 3, 4, 6, 7);2;1.42857;16490;60
15;C(15, 3, 5, 6, 7);2;1.42857;16490;60
15;C(15, 4, 5, 6, 7);2;1.42857;16490;60
16;C(16, 1, 2, 3, 4);2;1.46667;36485;64
16;C(16, 1, 2, 3, 5);2;1.46667;36485;64
16;C(16, 1, 2, 3, 6);2;1.46667;36485;64
16;C(16, 1, 2, 3, 7);2;1.46667;36485;64
16;C(16, 1, 2, 4, 5);2;1.46667;36485;64
16;C(16, 1, 2, 4, 6);2;1.46667;36485;64
16;C(16, 1, 2, 4, 7);2;1.46667;36485;64
16;C(16, 1, 2, 5, 6);2;1.46667;36485;64
16;C(16, 1, 2, 5, 7);2;1.46667;36485;64
16;C(16, 1, 2, 6, 7);2;1.46667;36485;64
16;C(16, 1, 3, 4, 5);2;1.46667;36485;64
16;C(16, 1, 3, 4, 6);2;1.46667;36485;64
16;C(16, 1, 3, 4, 7);2;1.46667;36485;64
16;C(16, 1, 3, 5, 6);2;1.46667;36485;64
16;C(16, 1, 3, 5, 7);2;1.46667;36485;64
16;C(16, 1, 3, 6, 7);2;1.46667;36485;64
16;C(16, 1, 4, 5, 6);2;1.46667;36485;64
16;C(16, 1, 4, 5, 7);2;1.46667;36485;64
16;C(16, 1, 4, 6, 7);2;1.46667;36485;64
16;C(16, 1, 5, 6, 7);2;1.46667;36485;64
16;C(16, 2, 3, 4, 5);2;1.46667;36485;64
16;C(16, 2, 3, 4, 6);2;1.46667;36485;64
16;C(16, 2, 3, 4, 7);2;1.46667;36485;64
16;C(16, 2, 3, 5, 6);2;1.46667;36485;64
16;C(16, 2, 3, 5, 7);2;1.46667;36485;64
16;C(16, 2, 3, 6, 7);2;1.46667;36485;64
16;C(16, 2, 4, 5, 6);2;1.46667;36485;64
16;C(16, 2, 4, 5, 7);2;1.46667;36485;64
16;C(16, 2, 4, 6, 7);2;1.46667;36485;64
16;C(16, 2, 5, 6, 7);2;1.46667;36485;64
16;C(16, 3, 4, 5, 6);2;1.46667;36485;64
16;C(16, 3, 4, 5, 7);2;1.46667;36485;64
16;C(16, 3, 4, 6, 7);2;1.46667;36485;64
16;C(16, 3, 5, 6, 7);2;1.46667;36485;64
16;C(16, 4, 5, 6, 7);2;1.46667;36485;64
17;C(17, 1, 2, 3, 4);2;1.5;34372;68
17;C(17, 1, 2, 3, 5);2;1.5;34372;68
17;C(17, 1, 2, 3, 6);2;1.5;34372;68
17;C(17, 1, 2, 3, 7);2;1.5;34372;68
17;C(17, 1, 2, 3, 8);2;1.5;34372;68
17;C(17, 1, 2, 4, 5);2;1.5;34372;68
17;C(17, 1, 2, 4, 6);2;1.5;34372;68
17;C(17, 1, 2, 4, 7);2;1.5;34372;68
17;C(17, 1, 2, 4, 8);2;1.5;34372;68
17;C(17, 1, 2, 5, 6);2;1.5;34372;68
17;C(17, 1, 2, 5, 7);2;1.5;34372;68
17;C(17, 1, 2, 5, 8);2;1.5;34372;68
17;C(17, 1, 2, 6, 7);2;1.5;34372;68
17;C(17, 1, 2, 6, 8);2;1.5;34372;68
17;C(17, 1, 2, 7, 8);2;1.5;34372;68
17;C(17, 1, 3, 4, 5);2;1.5;34372;68
17;C(17, 1, 3, 4, 6);2;1.5;34372;68
17;C(17, 1, 3, 4, 7);2;1.5;34372;68
17;C(17, 1, 3, 4, 8);2;1.5;34372;68
17;C(17, 1, 3, 5, 6);2;1.5;34372;68
17;C(17, 1, 3, 5, 7);2;1.5;34372;68
17;C(17, 1, 3, 5, 8);2;1.5;34372;68
17;C(17, 1, 3, 6, 7);2;1.5;34372;68
17;C(17, 1, 3, 6, 8);2;1.5;34372;68
17;C(17, 1, 3, 7, 8);2;1.5;34372;68
17;C(17, 1, 4, 5, 6);2;1.5;34372;68
17;C(17, 1, 4, 5, 7);2;1.5;34372;68
17;C(17, 1, 4, 5, 8);2;1.5;34372;68
17;C(17, 1, 4, 6, 7);2;1.5;34372;68
17;C(17, 1, 4, 6, 8);2;1.5;34372;68
17;C(17, 1, 4, 7, 8);2;1.5;34372;68
17;C(17, 1, 5, 6, 7);2;1.5;34372;68
17;C(17, 1, 5, 6, 8);2;1.5;34372;68
17;C(17, 1, 5, 7, 8);2;1.5;34372;68
17;C(17, 1, 6, 7, 8);2;1.5;34372;68
17;C(17, 2, 3, 4, 5);2;1.5;34372;68
17;C(17, 2, 3, 4, 6);2;1.5;34372;68
17;C(17, 2, 3, 4, 7);2;1.5;34372;68
17;C(17, 2, 3, 4, 8);2;1.5;34372;68
17;C(17, 2, 3, 5, 6);2;1.5;34372;68
17;C(17, 2, 3, 5, 7);2;1.5;34372;68
17;C(17, 2, 3, 5, 8);2;1.5;34372;68
17;C(17, 2, 3, 6, 7);2;1.5;34372;68
17;C(17, 2, 3, 6, 8);2;1.5;34372;68
17;C(17, 2, 3, 7, 8);2;1.5;34372;68
17;C(17, 2, 4, 5, 6);2;1.5;34372;68
17;C(17, 2, 4, 5, 7);2;1.5;34372;68
17;C(17, 2, 4, 5, 8);2;1.5;34372;68
17;C(17, 2, 4, 6, 7);2;1.5;34372;68
17;C(17, 2, 4, 6, 8);2;1.5;34372;68
17;C(17, 2, 4, 7, 8);2;1.5;34372;68
17;C(17, 2, 5, 6, 7);2;1.5;34372;68
17;C(17, 2, 5, 6, 8);2;1.5;34372;68
17;C(17, 2, 5, 7, 8);2;1.5;34372;68
17;C(17, 2, 6, 7, 8);2;1.5;34372;68
17;C(17, 3, 4, 5, 6);2;1.5;34372;68
17;C(17, 3, 4, 5, 7);2;1.5;34372;68
17;C(17, 3, 4, 5, 8);2;1.5;34372;68
