Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
324;C(324, 1, 28, 40, 75);5;3.56037;12981729627;1296
324;C(324, 3, 13, 40, 128);5;3.56037;12981729627;1296
324;C(324, 3, 20, 121, 148);5;3.56037;12981729627;1296
324;C(324, 3, 68, 88, 95);5;3.56037;12981729627;1296
324;C(324, 4, 23, 52, 105);5;3.56037;12981729627;1296
324;C(324, 4, 33, 73, 100);5;3.56037;12981729627;1296
324;C(324, 4, 52, 57, 139);5;3.56037;12981729627;1296
324;C(324, 4, 89, 100, 129);5;3.56037;12981729627;1296
324;C(324, 5, 51, 124, 140);5;3.56037;12981729627;1296
324;C(324, 7, 44, 123, 128);5;3.56037;12981729627;1296
324;C(324, 8, 15, 65, 124);5;3.56037;12981729627;1296
324;C(324, 8, 33, 35, 104);5;3.56037;12981729627;1296
324;C(324, 8, 97, 124, 147);5;3.56037;12981729627;1296
324;C(324, 8, 104, 127, 129);5;3.56037;12981729627;1296
324;C(324, 11, 16, 116, 147);5;3.56037;12981729627;1296
324;C(324, 15, 16, 116, 151);5;3.56037;12981729627;1296
324;C(324, 15, 43, 92, 100);5;3.56037;12981729627;1296
324;C(324, 16, 49, 76, 111);5;3.56037;12981729627;1296
324;C(324, 16, 51, 76, 113);5;3.56037;12981729627;1296
324;C(324, 17, 21, 32, 152);5;3.56037;12981729627;1296
324;C(324, 19, 112, 116, 129);5;3.56037;12981729627;1296
324;C(324, 20, 39, 47, 64);5;3.56037;12981729627;1296
324;C(324, 20, 41, 148, 159);5;3.56037;12981729627;1296
324;C(324, 20, 64, 115, 123);5;3.56037;12981729627;1296
324;C(324, 21, 44, 76, 91);5;3.56037;12981729627;1296
324;C(324, 21, 64, 125, 140);5;3.56037;12981729627;1296
324;C(324, 25, 28, 52, 69);5;3.56037;12981729627;1296
324;C(324, 28, 40, 87, 161);5;3.56037;12981729627;1296
324;C(324, 28, 52, 93, 137);5;3.56037;12981729627;1296
324;C(324, 29, 93, 136, 160);5;3.56037;12981729627;1296
324;C(324, 31, 56, 57, 104);5;3.56037;12981729627;1296
324;C(324, 32, 51, 92, 103);5;3.56037;12981729627;1296
324;C(324, 32, 59, 92, 111);5;3.56037;12981729627;1296
324;C(324, 32, 141, 145, 152);5;3.56037;12981729627;1296
324;C(324, 33, 112, 116, 143);5;3.56037;12981729627;1296
324;C(324, 37, 64, 140, 141);5;3.56037;12981729627;1296
324;C(324, 39, 44, 128, 155);5;3.56037;12981729627;1296
324;C(324, 39, 61, 88, 152);5;3.56037;12981729627;1296
324;C(324, 40, 128, 149, 159);5;3.56037;12981729627;1296
324;C(324, 44, 71, 76, 141);5;3.56037;12981729627;1296
324;C(324, 53, 87, 136, 148);5;3.56037;12981729627;1296
324;C(324, 55, 68, 80, 87);5;3.56037;12981729627;1296
324;C(324, 56, 69, 80, 83);5;3.56037;12981729627;1296
324;C(324, 56, 79, 80, 93);5;3.56037;12981729627;1296
324;C(324, 56, 104, 105, 131);5;3.56037;12981729627;1296
324;C(324, 57, 77, 112, 160);5;3.56037;12981729627;1296
324;C(324, 67, 68, 88, 159);5;3.56037;12981729627;1296
324;C(324, 68, 75, 80, 107);5;3.56037;12981729627;1296
324;C(324, 69, 133, 136, 160);5;3.56037;12981729627;1296
324;C(324, 75, 109, 136, 148);5;3.56037;12981729627;1296
324;C(324, 85, 105, 112, 160);5;3.56037;12981729627;1296
324;C(324, 88, 101, 123, 152);5;3.56037;12981729627;1296
324;C(324, 92, 100, 119, 147);5;3.56037;12981729627;1296
324;C(324, 111, 124, 140, 157);5;3.56037;12981729627;1296
