Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
491;C(491, 1, 15, 146);8;5.33878;21412642;1473
491;C(491, 1, 16, 150);8;5.33878;21412642;1473
491;C(491, 1, 19, 84);8;5.33878;21412642;1473
491;C(491, 1, 23, 131);8;5.33878;21412642;1473
491;C(491, 1, 24, 226);8;5.33878;21412642;1473
491;C(491, 1, 29, 76);8;5.33878;21412642;1473
491;C(491, 1, 36, 85);8;5.33878;21412642;1473
491;C(491, 1, 37, 64);8;5.33878;21412642;1473
491;C(491, 1, 39, 63);8;5.33878;21412642;1473
491;C(491, 1, 52, 92);8;5.33878;21412642;1473
491;C(491, 1, 155, 237);8;5.33878;21412642;1473
491;C(491, 1, 214, 225);8;5.33878;21412642;1473
492;C(492, 1, 87, 190);8;5.32994;19116108;1476
493;C(493, 1, 33, 172);8;5.3374;19296384;1479
493;C(493, 1, 43, 60);8;5.3374;19296384;1479
493;C(493, 1, 189, 239);8;5.3374;19296384;1479
494;C(494, 1, 52, 190);8;5.34483;21028331;1482
495;C(495, 1, 9, 109);7;5.38462;19568421;1485
495;C(495, 1, 11, 89);7;5.38462;19568421;1485
495;C(495, 1, 46, 56);7;5.38462;19568421;1485
495;C(495, 1, 143, 153);7;5.38462;19568421;1485
495;C(495, 1, 214, 226);7;5.38462;19568421;1485
495;C(495, 1, 221, 229);7;5.38462;19568421;1485
496;C(496, 1, 79, 148);8;5.33939;19266354;1488
496;C(496, 1, 113, 140);8;5.33939;19266354;1488
497;C(497, 1, 27, 64);8;5.35484;19525349;1491
497;C(497, 1, 76, 92);8;5.35484;19525349;1491
497;C(497, 1, 85, 132);8;5.35484;19525349;1491
498;C(498, 1, 112, 238);8;5.3501;21003562;1494
499;C(499, 1, 40, 69);8;5.36145;18363839;1497
499;C(499, 1, 94, 232);8;5.36145;18363839;1497
499;C(499, 1, 114, 237);8;5.36145;18363839;1497
500;C(500, 1, 27, 228);8;5.35271;19319912;1500
500;C(500, 1, 37, 64);8;5.35271;19319912;1500
501;C(501, 1, 15, 116);8;5.372;18470737;1503
501;C(501, 1, 37, 64);8;5.372;18470737;1503
501;C(501, 1, 39, 203);8;5.372;18470737;1503
501;C(501, 1, 40, 69);8;5.372;18470737;1503
501;C(501, 1, 111, 238);8;5.372;18470737;1503
501;C(501, 1, 118, 227);8;5.372;18470737;1503
501;C(501, 1, 176, 242);8;5.372;18470737;1503
502;C(502, 1, 68, 195);8;5.36327;18767307;1506
502;C(502, 1, 121, 196);8;5.36327;18767307;1506
503;C(503, 1, 33, 57);8;5.37849;18709804;1509
503;C(503, 1, 44, 61);8;5.37849;18709804;1509
503;C(503, 1, 80, 150);8;5.37849;18709804;1509
504;C(504, 1, 19, 218);8;5.37773;18896141;1512
504;C(504, 1, 38, 53);8;5.37773;18896141;1512
505;C(505, 1, 9, 91);7;5.40079;19016395;1515
505;C(505, 1, 11, 111);7;5.40079;19016395;1515
505;C(505, 1, 46, 56);7;5.40079;19016395;1515
506;C(506, 1, 62, 164);8;5.3802;19119248;1518
507;C(507, 1, 17, 149);8;5.39526;18929443;1521
507;C(507, 1, 33, 87);8;5.39526;18929443;1521
507;C(507, 1, 109, 245);8;5.39526;18929443;1521
507;C(507, 1, 179, 200);8;5.39526;18929443;1521
508;C(508, 1, 131, 216);8;5.39053;19934176;1524
508;C(508, 1, 159, 200);8;5.39053;19934176;1524
509;C(509, 1, 16, 117);8;5.39764;19403314;1527
509;C(509, 1, 87, 135);8;5.39764;19403314;1527
509;C(509, 1, 159, 230);8;5.39764;19403314;1527
510;C(510, 1, 18, 223);8;5.39293;19622772;1530
510;C(510, 1, 36, 58);8;5.39293;19622772;1530
510;C(510, 1, 144, 247);8;5.39293;19622772;1530
511;C(511, 1, 36, 62);8;5.4;19729536;1533
511;C(511, 1, 71, 197);8;5.4;19729536;1533
511;C(511, 1, 83, 239);8;5.4;19729536;1533
512;C(512, 1, 112, 139);8;5.39922;19779168;1536
512;C(512, 1, 176, 221);8;5.39922;19779168;1536
513;C(513, 1, 25, 236);8;5.41406;19884084;1539
513;C(513, 1, 41, 71);8;5.41406;19884084;1539
513;C(513, 1, 50, 224);8;5.41406;19884084;1539
514;C(514, 1, 14, 188);8;5.40546;20146217;1542
515;C(515, 1, 46, 56);7;5.41634;20135021;1545
516;C(516, 1, 88, 137);8;5.41165;20527878;1548
516;C(516, 1, 113, 140);8;5.41165;20527878;1548
517;C(517, 1, 30, 234);8;5.43411;20488837;1551
517;C(517, 1, 57, 99);8;5.43411;20488837;1551
517;C(517, 1, 77, 93);8;5.43411;20488837;1551
517;C(517, 1, 77, 189);8;5.43411;20488837;1551
517;C(517, 1, 95, 252);8;5.43411;20488837;1551
517;C(517, 1, 127, 165);8;5.43411;20488837;1551
517;C(517, 1, 199, 224);8;5.43411;20488837;1551
518;C(518, 1, 162, 204);8;5.42553;20691664;1554
519;C(519, 1, 30, 166);8;5.42857;20738257;1557
