Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
8;C(8, 1, 2, 3);2;1.14286;6;24
9;C(9, 1, 2, 3);2;1.25;7;27
9;C(9, 1, 2, 4);2;1.25;7;27
9;C(9, 1, 3, 4);2;1.25;7;27
10;C(10, 1, 2, 3);2;1.33333;13;30
10;C(10, 1, 2, 4);2;1.33333;13;30
10;C(10, 1, 3, 4);2;1.33333;13;30
11;C(11, 1, 2, 3);2;1.4;14;33
11;C(11, 1, 2, 4);2;1.4;14;33
11;C(11, 1, 2, 5);2;1.4;14;33
11;C(11, 1, 3, 4);2;1.4;14;33
11;C(11, 1, 3, 5);2;1.4;14;33
11;C(11, 1, 4, 5);2;1.4;14;33
12;C(12, 1, 2, 3);2;1.45455;24;36
12;C(12, 1, 2, 4);2;1.45455;24;36
12;C(12, 1, 2, 5);2;1.45455;24;36
12;C(12, 1, 3, 4);2;1.45455;24;36
12;C(12, 1, 3, 5);2;1.45455;24;36
12;C(12, 1, 4, 5);2;1.45455;24;36
13;C(13, 1, 2, 3);2;1.5;29;39
13;C(13, 1, 2, 4);2;1.5;29;39
13;C(13, 1, 2, 5);2;1.5;29;39
13;C(13, 1, 2, 6);2;1.5;29;39
13;C(13, 1, 3, 4);2;1.5;29;39
13;C(13, 1, 3, 5);2;1.5;29;39
13;C(13, 1, 3, 6);2;1.5;29;39
13;C(13, 1, 4, 5);2;1.5;29;39
13;C(13, 1, 4, 6);2;1.5;29;39
13;C(13, 1, 5, 6);2;1.5;29;39
14;C(14, 1, 2, 5);2;1.53846;54;42
14;C(14, 1, 2, 6);2;1.53846;54;42
14;C(14, 1, 3, 4);2;1.53846;54;42
14;C(14, 1, 3, 6);2;1.53846;54;42
14;C(14, 1, 4, 6);2;1.53846;54;42
14;C(14, 1, 5, 6);2;1.53846;54;42
15;C(15, 1, 2, 4);2;1.57143;50;45
15;C(15, 1, 2, 5);2;1.57143;50;45
15;C(15, 1, 2, 6);2;1.57143;50;45
15;C(15, 1, 2, 7);2;1.57143;50;45
15;C(15, 1, 3, 4);2;1.57143;50;45
15;C(15, 1, 3, 5);2;1.57143;50;45
15;C(15, 1, 3, 6);2;1.57143;50;45
15;C(15, 1, 3, 7);2;1.57143;50;45
15;C(15, 1, 4, 5);2;1.57143;50;45
15;C(15, 1, 4, 6);2;1.57143;50;45
15;C(15, 1, 4, 7);2;1.57143;50;45
15;C(15, 1, 5, 6);2;1.57143;50;45
15;C(15, 1, 5, 7);2;1.57143;50;45
16;C(16, 1, 2, 6);2;1.6;67;48
16;C(16, 1, 2, 7);2;1.6;67;48
16;C(16, 1, 3, 4);2;1.6;67;48
16;C(16, 1, 4, 5);2;1.6;67;48
16;C(16, 1, 4, 6);2;1.6;67;48
16;C(16, 1, 4, 7);2;1.6;67;48
16;C(16, 1, 6, 7);2;1.6;67;48
17;C(17, 1, 2, 6);2;1.625;79;51
17;C(17, 1, 2, 7);2;1.625;79;51
17;C(17, 1, 3, 4);2;1.625;79;51
17;C(17, 1, 3, 5);2;1.625;79;51
17;C(17, 1, 3, 6);2;1.625;79;51
17;C(17, 1, 3, 8);2;1.625;79;51
17;C(17, 1, 4, 5);2;1.625;79;51
17;C(17, 1, 4, 6);2;1.625;79;51
17;C(17, 1, 4, 7);2;1.625;79;51
17;C(17, 1, 5, 7);2;1.625;79;51
17;C(17, 1, 5, 8);2;1.625;79;51
17;C(17, 1, 6, 7);2;1.625;79;51
18;C(18, 1, 2, 7);2;1.64706;115;54
18;C(18, 1, 3, 8);2;1.64706;115;54
18;C(18, 1, 4, 8);2;1.64706;115;54
18;C(18, 1, 5, 8);2;1.64706;115;54
19;C(19, 1, 2, 7);2;1.66667;103;57
19;C(19, 1, 3, 7);2;1.66667;103;57
19;C(19, 1, 3, 8);2;1.66667;103;57
19;C(19, 1, 4, 6);2;1.66667;103;57
19;C(19, 1, 5, 8);2;1.66667;103;57
19;C(19, 1, 6, 9);2;1.66667;103;57
19;C(19, 1, 7, 8);2;1.66667;103;57
20;C(20, 1, 5, 8);2;1.68421;152;60
21;C(21, 1, 2, 8);2;1.7;160;63
21;C(21, 1, 3, 8);2;1.7;160;63
21;C(21, 1, 4, 6);2;1.7;160;63
21;C(21, 1, 4, 10);2;1.7;160;63
21;C(21, 1, 5, 8);2;1.7;160;63
21;C(21, 1, 5, 9);2;1.7;160;63
22;C(22, 1, 4, 8);3;1.7619;204;66
22;C(22, 1, 5, 8);3;1.7619;204;66
22;C(22, 1, 6, 9);3;1.7619;204;66
23;C(23, 1, 2, 9);3;1.81818;211;69
23;C(23, 1, 3, 8);3;1.81818;211;69
23;C(23, 1, 3, 9);3;1.81818;211;69
23;C(23, 1, 4, 6);3;1.81818;211;69
23;C(23, 1, 4, 7);3;1.81818;211;69
23;C(23, 1, 4, 10);3;1.81818;211;69
23;C(23, 1, 5, 7);3;1.81818;211;69
23;C(23, 1, 5, 8);3;1.81818;211;69
23;C(23, 1, 5, 10);3;1.81818;211;69
23;C(23, 1, 6, 9);3;1.81818;211;69
23;C(23, 1, 6, 10);3;1.81818;211;69
23;C(23, 1, 7, 11);3;1.81818;211;69
24;C(24, 1, 5, 8);3;1.78261;261;72
25;C(25, 1, 3, 10);3;1.83333;336;75
