Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
3;C(3, 1, 2);1;1;7
4;C(4, 1, 2);1;1;22
5;C(5, 1, 2);1;1;50
6;C(6, 1, 2);2;1.2;106
7;C(7, 1, 2);2;1.33333;197
8;C(8, 1, 2);2;1.42857;333
9;C(9, 1, 2);2;1.5;560
10;C(10, 1, 4);2;1.55556;838
11;C(11, 1, 3);2;1.6;1326
12;C(12, 2, 3);2;1.63636;1756
13;C(13, 1, 5);2;1.66667;2791
14;C(14, 1, 4);3;1.76923;3369
15;C(15, 1, 4);3;1.85714;4839
16;C(16, 1, 6);3;1.93333;6306
17;C(17, 1, 4);3;2;8950
18;C(18, 1, 4);3;2.05882;11050
19;C(19, 1, 4);3;2.11111;13958
20;C(20, 1, 8);3;2.15789;15852
21;C(21, 1, 6);3;2.2;20500
22;C(22, 1, 6);3;2.2381;25020
23;C(23, 1, 5);3;2.27273;32089
24;C(24, 3, 4);3;2.30435;33715
25;C(25, 1, 7);3;2.33333;46932
26;C(26, 1, 10);4;2.4;53363
27;C(27, 1, 6);4;2.46154;65699
28;C(28, 1, 6);4;2.51852;73973
29;C(29, 1, 8);4;2.57143;95580
30;C(30, 2, 9);4;2.62069;93367
31;C(31, 1, 7);4;2.66667;125858
32;C(32, 1, 7);4;2.70968;131103
33;C(33, 1, 6);4;2.75;159963
34;C(34, 1, 6);4;2.78788;173819
35;C(35, 1, 10);4;2.82353;215101
36;C(36, 1, 8);4;2.85714;211093
37;C(37, 1, 8);4;2.88889;285411
38;C(38, 1, 16);4;2.91892;295156
39;C(39, 1, 7);4;2.94737;345755
40;C(40, 4, 5);4;2.97436;358973
41;C(41, 1, 9);4;3;463493
42;C(42, 1, 16);5;3.04878;432408
43;C(43, 1, 12);5;3.09524;578818
44;C(44, 1, 8);5;3.13953;569833
45;C(45, 1, 8);5;3.18182;659626
46;C(46, 1, 10);5;3.22222;715453
47;C(47, 1, 13);5;3.26087;880824
48;C(48, 1, 20);5;3.29787;808733
49;C(49, 1, 9);5;3.33333;1065368
50;C(50, 1, 9);5;3.36735;1030786
51;C(51, 1, 9);5;3.4;1212353
52;C(52, 1, 8);5;3.43137;1250582
53;C(53, 1, 8);5;3.46154;1549271
54;C(54, 1, 12);5;3.49057;1420775
55;C(55, 1, 10);5;3.51852;1805006
56;C(56, 1, 10);5;3.54545;1757007
57;C(57, 1, 24);5;3.57143;2055567
58;C(58, 1, 22);5;3.59649;2127376
59;C(59, 1, 9);5;3.62069;2601383
60;C(60, 5, 6);5;3.64407;2253595
61;C(61, 1, 11);5;3.66667;3036598
62;C(62, 1, 26);6;3.70492;2920507
63;C(63, 1, 24);6;3.74194;3307465
64;C(64, 1, 14);6;3.77778;3414944
65;C(65, 1, 10);6;3.8125;4044666
66;C(66, 1, 10);6;3.84615;3751565
67;C(67, 1, 12);6;3.87879;4848999
68;C(68, 1, 26);6;3.91045;4564356
69;C(69, 1, 15);6;3.94118;5175727
70;C(70, 2, 25);6;3.97101;5077480
71;C(71, 1, 11);6;4;6302241
72;C(72, 1, 11);6;4.02817;5519438
73;C(73, 1, 11);6;4.05556;7328684
74;C(74, 1, 22);6;4.08219;6882529
75;C(75, 1, 10);6;4.10811;7576045
76;C(76, 1, 10);6;4.13333;7851176
77;C(77, 1, 14);6;4.15789;9476084
78;C(78, 1, 12);6;4.18182;8986912
79;C(79, 1, 12);6;4.20513;10971302
80;C(80, 1, 22);6;4.22785;10231550
81;C(81, 1, 24);6;4.25;11659390
82;C(82, 1, 36);6;4.2716;11792482
83;C(83, 1, 11);6;4.29268;14080677
84;C(84, 6, 7);6;4.31325;11954037
85;C(85, 1, 13);6;4.33333;15014122
86;C(86, 1, 36);7;4.36471;15257303
87;C(87, 1, 24);7;4.39535;16527059
88;C(88, 1, 26);7;4.42529;16322932
89;C(89, 1, 16);7;4.45455;20749615
90;C(90, 1, 12);7;4.48315;17678733
91;C(91, 1, 12);7;4.51111;23145459
92;C(92, 1, 14);7;4.53846;21758123
93;C(93, 1, 39);7;4.56522;24384302
94;C(94, 1, 26);7;4.5914;24584709
95;C(95, 1, 17);7;4.61702;28222256
96;C(96, 1, 42);7;4.64211;24280123
97;C(97, 1, 13);7;4.66667;29667483
98;C(98, 1, 13);7;4.69072;26419286
99;C(99, 1, 13);7;4.71429;32848688
100;C(100, 1, 18);7;4.73737;36063032
