Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
361;C(361, 1, 110);13;8.95556;47661356;722
362;C(362, 1, 166);13;8.96676;45215382;724
363;C(363, 1, 25);13;8.9779;56117811;726
364;C(364, 13, 14);13;8.98898;52292830;728
365;C(365, 1, 27);13;9;57582006;730
366;C(366, 1, 170);14;9.0137;50928736;732
367;C(367, 1, 114);14;9.02732;58522701;734
368;C(368, 1, 86);14;9.04087;54094795;736
369;C(369, 1, 80);14;9.05435;56501478;738
370;C(370, 1, 58);14;9.06775;54825023;740
371;C(371, 1, 56);14;9.08108;60629856;742
372;C(372, 1, 142);14;9.09434;53300519;744
373;C(373, 1, 79);14;9.10753;62028813;746
374;C(374, 1, 114);14;9.12064;57272210;748
375;C(375, 1, 133);14;9.13369;58960533;750
376;C(376, 1, 30);14;9.14667;57729275;752
377;C(377, 1, 26);14;9.15957;64504470;754
378;C(378, 1, 26);14;9.17241;56140548;756
379;C(379, 1, 28);14;9.18519;64768050;758
380;C(380, 1, 118);14;9.19789;58018212;760
381;C(381, 1, 89);14;9.21053;62746317;762
382;C(382, 1, 148);14;9.2231;61207651;764
383;C(383, 1, 60);14;9.2356;62160351;766
384;C(384, 1, 58);14;9.24804;52600786;768
385;C(385, 1, 90);14;9.26042;59375315;770
386;C(386, 1, 88);14;9.27273;69355211;772
387;C(387, 1, 82);14;9.28497;77411089;774
388;C(388, 1, 178);14;9.29716;71369695;776
389;C(389, 1, 31);14;9.30928;80200500;778
390;C(390, 2, 169);14;9.32134;64963450;780
391;C(391, 1, 27);14;9.33333;75244064;782
392;C(392, 1, 27);14;9.34527;70839570;784
393;C(393, 1, 27);14;9.35714;79024300;786
394;C(394, 1, 106);14;9.36896;74013181;788
395;C(395, 1, 90);14;9.38071;81012586;790
396;C(396, 2, 87);14;9.39241;73803533;792
397;C(397, 1, 52);14;9.40404;82594242;794
398;C(398, 1, 54);14;9.41562;78500470;796
399;C(399, 1, 183);14;9.42714;82718718;798
400;C(400, 2, 55);14;9.4386;74935550;800
