Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
511;C(511, 1, 31);16;10.6667;199379904;1022
512;C(512, 1, 31);16;10.6771;205012183;1024
513;C(513, 1, 31);16;10.6875;219406339;1026
514;C(514, 1, 120);16;10.6979;204353749;1028
515;C(515, 1, 90);16;10.7082;224874141;1030
516;C(516, 1, 92);16;10.7184;197306672;1032
517;C(517, 1, 98);16;10.7287;231360655;1034
518;C(518, 1, 60);16;10.7389;207066919;1036
519;C(519, 1, 62);16;10.749;219254880;1038
520;C(520, 1, 152);16;10.7592;204195453;1040
521;C(521, 1, 91);16;10.7692;230654267;1042
522;C(522, 1, 214);16;10.7793;201964443;1044
523;C(523, 1, 36);16;10.7893;236166667;1046
524;C(524, 1, 184);16;10.7992;220378087;1048
525;C(525, 1, 30);16;10.8092;217103446;1050
526;C(526, 1, 30);16;10.819;217118685;1052
527;C(527, 1, 34);16;10.8289;236552859;1054
528;C(528, 1, 32);16;10.8387;190942884;1056
529;C(529, 1, 32);16;10.8485;213322693;1058
530;C(530, 1, 188);16;10.8582;192003899;1060
