Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
5;C(5, 1, 2);1;1;0;10
6;C(6, 1, 2);2;1.2;1;12
7;C(7, 1, 2);2;1.33333;1;14
8;C(8, 1, 2);2;1.42857;1;16
9;C(9, 2, 3);2;1.5;1;18
10;C(10, 2, 3);2;1.55556;1;20
11;C(11, 2, 3);2;1.6;2;22
12;C(12, 2, 3);2;1.63636;1;24
13;C(13, 2, 3);2;1.66667;2;26
14;C(14, 2, 3);3;1.76923;2;28
15;C(15, 2, 3);3;1.85714;2;30
16;C(16, 2, 3);3;1.93333;2;32
17;C(17, 2, 3);3;2;2;34
18;C(18, 2, 3);3;2.05882;2;36
19;C(19, 3, 4);3;2.11111;3;38
20;C(20, 3, 4);3;2.15789;3;40
21;C(21, 3, 4);3;2.2;3;42
22;C(22, 3, 4);3;2.2381;3;44
23;C(23, 3, 4);3;2.27273;3;46
24;C(24, 3, 4);3;2.30435;3;48
25;C(25, 3, 4);3;2.33333;4;50
26;C(26, 3, 4);4;2.4;4;52
27;C(27, 3, 4);4;2.46154;12;54
28;C(28, 3, 4);4;2.51852;5;56
29;C(29, 3, 4);4;2.57143;4;58
30;C(30, 3, 4);4;2.62069;4;60
31;C(31, 3, 4);4;2.66667;5;62
32;C(32, 3, 4);4;2.70968;5;64
33;C(33, 4, 5);4;2.75;6;66
34;C(34, 4, 5);4;2.78788;6;68
35;C(35, 4, 5);4;2.82353;6;70
36;C(36, 4, 5);4;2.85714;10;72
37;C(37, 4, 5);4;2.88889;7;74
38;C(38, 4, 5);4;2.91892;7;76
39;C(39, 4, 5);4;2.94737;10;78
40;C(40, 4, 5);4;2.97436;8;80
41;C(41, 4, 5);4;3;13;82
42;C(42, 4, 5);5;3.04878;12;84
43;C(43, 4, 5);5;3.09524;14;86
44;C(44, 4, 5);5;3.13953;10;88
45;C(45, 4, 5);5;3.18182;9;90
46;C(46, 4, 5);5;3.22222;10;92
47;C(47, 4, 5);5;3.26087;10;94
48;C(48, 4, 5);5;3.29787;10;96
49;C(49, 4, 5);5;3.33333;10;98
50;C(50, 4, 5);5;3.36735;15;100
51;C(51, 5, 6);5;3.4;11;102
52;C(52, 5, 6);5;3.43137;11;104
53;C(53, 5, 6);5;3.46154;12;106
54;C(54, 5, 6);5;3.49057;13;108
55;C(55, 5, 6);5;3.51852;13;110
56;C(56, 5, 6);5;3.54545;17;112
57;C(57, 5, 6);5;3.57143;14;114
58;C(58, 5, 6);5;3.59649;13;116
59;C(59, 5, 6);5;3.62069;15;118
60;C(60, 5, 6);5;3.64407;14;120
61;C(61, 5, 6);5;3.66667;21;122
62;C(62, 5, 6);6;3.70492;20;124
63;C(63, 5, 6);6;3.74194;16;126
64;C(64, 5, 6);6;3.77778;41;128
65;C(65, 5, 6);6;3.8125;16;130
66;C(66, 5, 6);6;3.84615;23;132
67;C(67, 5, 6);6;3.87879;23;134
68;C(68, 5, 6);6;3.91045;25;136
69;C(69, 5, 6);6;3.94118;27;138
70;C(70, 5, 6);6;3.97101;26;140
71;C(71, 5, 6);6;4;18;142
72;C(72, 5, 6);6;4.02817;18;144
73;C(73, 6, 7);6;4.05556;21;146
74;C(74, 6, 7);6;4.08219;20;148
75;C(75, 6, 7);6;4.10811;20;150
76;C(76, 6, 7);6;4.13333;34;152
77;C(77, 6, 7);6;4.15789;23;154
78;C(78, 6, 7);6;4.18182;22;156
79;C(79, 6, 7);6;4.20513;22;158
80;C(80, 6, 7);6;4.22785;34;160
