Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
501;"C(501; 1, 93)";16;10,56;204798;1002
502;"C(502; 1, 68)";16;10,5709;201366;1004
503;"C(503; 1, 66)";16;10,5817;203918;1006
504;"C(504; 1, 238)";16;10,5984;205020;1008
505;"C(505; 1, 90)";16;10,6032;202222;1010
506;"C(506; 1, 136)";16;10,6139;203333;1012
507;"C(507; 1, 96)";16;10,6245;204033;1014
508;"C(508; 1, 236)";16;10,6351;203584;1016
509;"C(509; 1, 35)";16;10,6457;199476;1018
510;"C(510; 1, 108)";17;10,668;198960;1020
511;"C(511; 1, 31)";16;10,6667;198761;1022
512;"C(512; 1, 31)";16;10,6771;199647;1024
513;"C(513; 1, 31)";16;10,6875;201724;1026
514;"C(514; 1, 120)";16;10,6979;203826;1028
515;"C(515; 1, 90)";16;10,7082;207515;1030
516;"C(516; 1, 92)";16;10,7184;206770;1032
517;"C(517; 1, 98)";16;10,7287;202767;1034
518;"C(518; 1, 60)";16;10,7389;202531;1036
519;"C(519; 1, 62)";16;10,749;205612;1038
520;"C(520; 1, 152)";16;10,7592;208066;1040
521;"C(521; 1, 91)";16;10,7692;207222;1042
522;"C(522; 1, 214)";16;10,7793;209783;1044
523;"C(523; 1, 36)";16;10,7893;214591;1046
524;"C(524; 1, 184)";16;10,7992;209968;1048
525;"C(525; 1, 30)";16;10,8092;212342;1050
526;"C(526; 1, 30)";16;10,819;213958;1052
527;"C(527; 1, 34)";16;10,8289;214175;1054
528;"C(528; 1, 32)";16;10,8387;216531;1056
529;"C(529; 1, 32)";16;10,8485;216311;1058
