Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
16;C(16, 1, 2, 3, 4);2;1.466667;0;64
16;C(16, 1, 2, 3, 5);2;1.466667;0;64
16;C(16, 1, 2, 3, 6);2;1.466667;0;64
16;C(16, 1, 2, 3, 7);2;1.466667;0;64
16;C(16, 1, 2, 4, 5);2;1.466667;0;64
16;C(16, 1, 2, 4, 6);2;1.466667;0;64
16;C(16, 1, 2, 4, 7);2;1.466667;0;64
16;C(16, 1, 2, 5, 6);2;1.466667;0;64
16;C(16, 1, 2, 5, 7);2;1.466667;0;64
16;C(16, 1, 2, 6, 7);2;1.466667;0;64
16;C(16, 1, 3, 4, 5);2;1.466667;0;64
16;C(16, 1, 3, 4, 6);2;1.466667;0;64
16;C(16, 1, 3, 4, 7);2;1.466667;0;64
16;C(16, 1, 3, 5, 6);2;1.466667;0;64
16;C(16, 1, 4, 5, 7);2;1.466667;0;64
16;C(16, 1, 3, 5, 7);2;1.466667;0;64
16;C(16, 1, 3, 6, 7);2;1.466667;0;64
16;C(16, 1, 4, 6, 7);2;1.466667;0;64
16;C(16, 1, 4, 5, 6);2;1.466667;0;64
16;C(16, 1, 5, 6, 7);2;1.466667;0;64
