Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 22);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 25);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 21);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 22);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 24);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 25);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 26);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 17);2;1.471698;64532;756
54;C(54, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 18);2;1.471698;64532;756
