Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
561;C(561, 1, 32);17;11.17143;47;1122
561;C(561, 1, 34);17;11.17143;47;1122
561;C(561, 1, 65);17;11.17143;47;1122
561;C(561, 1, 98);17;11.17143;47;1122
561;C(561, 1, 67);17;11.17143;47;1122
561;C(561, 1, 100);17;11.17143;47;1122
561;C(561, 1, 133);17;11.17143;47;1122
561;C(561, 1, 164);17;11.17143;47;1122
561;C(561, 1, 199);17;11.17143;47;1122
561;C(561, 1, 166);17;11.17143;47;1122
561;C(561, 1, 131);17;11.17143;47;1122
561;C(561, 1, 197);17;11.17143;47;1122
561;C(561, 1, 232);17;11.17143;47;1122
561;C(561, 1, 263);17;11.17143;47;1122
561;C(561, 16, 280);17;11.17143;47;1122
561;C(561, 1, 265);17;11.17143;47;1122
561;C(561, 17, 280);17;11.17143;47;1122
561;C(561, 1, 230);17;11.17143;47;1122
561;C(561, 83, 280);17;11.17143;47;1122
561;C(561, 49, 280);17;11.17143;47;1122
561;C(561, 115, 280);17;11.17143;47;1122
561;C(561, 116, 280);17;11.17143;47;1122
561;C(561, 50, 280);17;11.17143;47;1122
561;C(561, 82, 280);17;11.17143;47;1122
561;C(561, 148, 280);17;11.17143;47;1122
561;C(561, 214, 280);17;11.17143;47;1122
561;C(561, 215, 280);17;11.17143;47;1122
561;C(561, 149, 280);17;11.17143;47;1122
561;C(561, 181, 280);17;11.17143;47;1122
561;C(561, 182, 280);17;11.17143;47;1122
561;C(561, 247, 280);17;11.17143;47;1122
561;C(561, 248, 280);17;11.17143;47;1122
