Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
331;C(331, 1, 20, 69);7;4.65455;235532469;993
331;C(331, 1, 20, 149);7;4.65455;235532469;993
331;C(331, 1, 24, 149);7;4.65455;235532469;993
331;C(331, 2, 33, 40);7;4.65455;235532469;993
331;C(331, 2, 33, 48);7;4.65455;235532469;993
331;C(331, 2, 40, 138);7;4.65455;235532469;993
331;C(331, 3, 60, 116);7;4.65455;235532469;993
331;C(331, 3, 60, 124);7;4.65455;235532469;993
331;C(331, 3, 72, 116);7;4.65455;235532469;993
331;C(331, 4, 55, 80);7;4.65455;235532469;993
331;C(331, 4, 66, 80);7;4.65455;235532469;993
331;C(331, 4, 66, 96);7;4.65455;235532469;993
331;C(331, 5, 14, 100);7;4.65455;235532469;993
331;C(331, 5, 83, 100);7;4.65455;235532469;993
331;C(331, 5, 83, 120);7;4.65455;235532469;993
331;C(331, 6, 83, 120);7;4.65455;235532469;993
331;C(331, 6, 99, 120);7;4.65455;235532469;993
331;C(331, 6, 99, 144);7;4.65455;235532469;993
331;C(331, 7, 50, 140);7;4.65455;235532469;993
331;C(331, 7, 50, 163);7;4.65455;235532469;993
331;C(331, 7, 140, 152);7;4.65455;235532469;993
331;C(331, 8, 110, 160);7;4.65455;235532469;993
331;C(331, 8, 132, 139);7;4.65455;235532469;993
331;C(331, 8, 132, 160);7;4.65455;235532469;993
331;C(331, 9, 17, 115);7;4.65455;235532469;993
331;C(331, 9, 17, 151);7;4.65455;235532469;993
331;C(331, 9, 41, 151);7;4.65455;235532469;993
331;C(331, 10, 28, 131);7;4.65455;235532469;993
331;C(331, 10, 91, 165);7;4.65455;235532469;993
331;C(331, 10, 131, 165);7;4.65455;235532469;993
331;C(331, 11, 16, 67);7;4.65455;235532469;993
331;C(331, 11, 16, 111);7;4.65455;235532469;993
331;C(331, 11, 97, 111);7;4.65455;235532469;993
331;C(331, 12, 43, 133);7;4.65455;235532469;993
331;C(331, 12, 91, 133);7;4.65455;235532469;993
331;C(331, 12, 91, 165);7;4.65455;235532469;993
331;C(331, 13, 19, 49);7;4.65455;235532469;993
331;C(331, 13, 49, 71);7;4.65455;235532469;993
331;C(331, 13, 71, 96);7;4.65455;235532469;993
331;C(331, 14, 27, 51);7;4.65455;235532469;993
331;C(331, 14, 51, 100);7;4.65455;235532469;993
331;C(331, 15, 29, 82);7;4.65455;235532469;993
331;C(331, 15, 31, 42);7;4.65455;235532469;993
331;C(331, 15, 31, 82);7;4.65455;235532469;993
331;C(331, 16, 53, 67);7;4.65455;235532469;993
331;C(331, 17, 77, 115);7;4.65455;235532469;993
331;C(331, 18, 29, 34);7;4.65455;235532469;993
331;C(331, 18, 29, 82);7;4.65455;235532469;993
331;C(331, 18, 34, 101);7;4.65455;235532469;993
331;C(331, 19, 49, 148);7;4.65455;235532469;993
331;C(331, 19, 125, 148);7;4.65455;235532469;993
331;C(331, 20, 56, 69);7;4.65455;235532469;993
331;C(331, 21, 89, 125);7;4.65455;235532469;993
331;C(331, 21, 89, 150);7;4.65455;235532469;993
331;C(331, 21, 150, 158);7;4.65455;235532469;993
331;C(331, 22, 32, 109);7;4.65455;235532469;993
331;C(331, 22, 32, 134);7;4.65455;235532469;993
331;C(331, 22, 109, 137);7;4.65455;235532469;993
331;C(331, 23, 68, 129);7;4.65455;235532469;993
331;C(331, 23, 110, 117);7;4.65455;235532469;993
331;C(331, 23, 117, 129);7;4.65455;235532469;993
331;C(331, 24, 65, 86);7;4.65455;235532469;993
331;C(331, 24, 65, 149);7;4.65455;235532469;993
331;C(331, 25, 62, 84);7;4.65455;235532469;993
331;C(331, 25, 70, 162);7;4.65455;235532469;993
331;C(331, 25, 84, 162);7;4.65455;235532469;993
331;C(331, 26, 38, 98);7;4.65455;235532469;993
331;C(331, 26, 98, 142);7;4.65455;235532469;993
331;C(331, 26, 139, 142);7;4.65455;235532469;993
331;C(331, 27, 51, 122);7;4.65455;235532469;993
331;C(331, 27, 122, 123);7;4.65455;235532469;993
331;C(331, 28, 54, 102);7;4.65455;235532469;993
331;C(331, 28, 102, 131);7;4.65455;235532469;993
331;C(331, 30, 58, 164);7;4.65455;235532469;993
331;C(331, 30, 62, 84);7;4.65455;235532469;993
331;C(331, 30, 62, 164);7;4.65455;235532469;993
331;C(331, 31, 42, 153);7;4.65455;235532469;993
331;C(331, 32, 106, 134);7;4.65455;235532469;993
331;C(331, 33, 48, 130);7;4.65455;235532469;993
331;C(331, 34, 101, 154);7;4.65455;235532469;993
331;C(331, 35, 38, 81);7;4.65455;235532469;993
331;C(331, 35, 38, 98);7;4.65455;235532469;993
331;C(331, 35, 81, 153);7;4.65455;235532469;993
331;C(331, 36, 58, 68);7;4.65455;235532469;993
331;C(331, 36, 58, 164);7;4.65455;235532469;993
331;C(331, 36, 68, 129);7;4.65455;235532469;993
331;C(331, 37, 78, 95);7;4.65455;235532469;993
331;C(331, 37, 78, 114);7;4.65455;235532469;993
331;C(331, 37, 105, 114);7;4.65455;235532469;993
331;C(331, 39, 43, 118);7;4.65455;235532469;993
331;C(331, 39, 57, 147);7;4.65455;235532469;993
331;C(331, 39, 118, 147);7;4.65455;235532469;993
331;C(331, 40, 112, 138);7;4.65455;235532469;993
331;C(331, 41, 150, 158);7;4.65455;235532469;993
331;C(331, 41, 151, 158);7;4.65455;235532469;993
331;C(331, 42, 81, 153);7;4.65455;235532469;993
331;C(331, 43, 118, 133);7;4.65455;235532469;993
331;C(331, 44, 57, 113);7;4.65455;235532469;993
331;C(331, 44, 63, 64);7;4.65455;235532469;993
331;C(331, 44, 64, 113);7;4.65455;235532469;993
331;C(331, 45, 85, 87);7;4.65455;235532469;993
331;C(331, 45, 85, 93);7;4.65455;235532469;993
331;C(331, 45, 93, 126);7;4.65455;235532469;993
331;C(331, 46, 73, 97);7;4.65455;235532469;993
331;C(331, 46, 73, 136);7;4.65455;235532469;993
331;C(331, 46, 97, 111);7;4.65455;235532469;993
331;C(331, 47, 52, 53);7;4.65455;235532469;993
331;C(331, 47, 52, 135);7;4.65455;235532469;993
331;C(331, 47, 53, 67);7;4.65455;235532469;993
331;C(331, 48, 130, 159);7;4.65455;235532469;993
331;C(331, 50, 124, 163);7;4.65455;235532469;993
331;C(331, 52, 76, 135);7;4.65455;235532469;993
331;C(331, 54, 85, 87);7;4.65455;235532469;993
331;C(331, 54, 87, 102);7;4.65455;235532469;993
331;C(331, 55, 80, 107);7;4.65455;235532469;993
331;C(331, 55, 107, 154);7;4.65455;235532469;993
331;C(331, 56, 69, 127);7;4.65455;235532469;993
331;C(331, 56, 108, 127);7;4.65455;235532469;993
331;C(331, 57, 113, 147);7;4.65455;235532469;993
331;C(331, 59, 92, 146);7;4.65455;235532469;993
331;C(331, 59, 99, 144);7;4.65455;235532469;993
331;C(331, 59, 144, 146);7;4.65455;235532469;993
331;C(331, 60, 124, 163);7;4.65455;235532469;993
331;C(331, 61, 94, 104);7;4.65455;235532469;993
331;C(331, 61, 104, 152);7;4.65455;235532469;993
331;C(331, 61, 140, 152);7;4.65455;235532469;993
331;C(331, 63, 64, 119);7;4.65455;235532469;993
331;C(331, 63, 119, 143);7;4.65455;235532469;993
331;C(331, 65, 86, 95);7;4.65455;235532469;993
331;C(331, 66, 71, 96);7;4.65455;235532469;993
331;C(331, 70, 76, 135);7;4.65455;235532469;993
331;C(331, 70, 76, 162);7;4.65455;235532469;993
331;C(331, 72, 73, 136);7;4.65455;235532469;993
331;C(331, 72, 116, 136);7;4.65455;235532469;993
331;C(331, 74, 103, 121);7;4.65455;235532469;993
331;C(331, 74, 103, 156);7;4.65455;235532469;993
331;C(331, 74, 141, 156);7;4.65455;235532469;993
331;C(331, 75, 79, 145);7;4.65455;235532469;993
331;C(331, 75, 79, 155);7;4.65455;235532469;993
331;C(331, 75, 121, 155);7;4.65455;235532469;993
331;C(331, 77, 112, 115);7;4.65455;235532469;993
331;C(331, 77, 112, 138);7;4.65455;235532469;993
331;C(331, 78, 86, 95);7;4.65455;235532469;993
331;C(331, 79, 90, 145);7;4.65455;235532469;993
331;C(331, 88, 105, 114);7;4.65455;235532469;993
