Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
5;C(5, 1, 2, 3);1;1;3;15
6;C(6, 1, 2, 3);1;1;4;18
7;C(7, 1, 2, 3);1;1;6;21
8;C(8, 1, 2, 3);2;1,14286;14;24
9;C(9, 1, 2, 3);2;1,25;18;27
10;C(10, 1, 2, 3);2;1,33333;35;30
11;C(11, 1, 2, 3);2;1,4;42;33
12;C(12, 1, 2, 3);2;1,45455;78;36
13;C(13, 1, 2, 3);2;1,5;103;39
14;C(14, 1, 2, 5);2;1,53846;169;42
15;C(15, 1, 2, 4);2;1,57143;278;45
16;C(16, 1, 2, 6);2;1,6;435;48
17;C(17, 1, 2, 6);2;1,625;453;51
18;C(18, 1, 2, 7);2;1,64706;708;54
19;C(19, 1, 2, 7);2;1,66667;769;57
20;C(20, 1, 5, 8);2;1,68421;851;60
21;C(21, 1, 2, 8);2;1,7;824;63
22;C(22, 1, 4, 8);3;1,7619;1198;66
23;C(23, 1, 2, 9);3;1,81818;1297;69
24;C(24, 1, 5, 8);3;1,78261;1734;72
25;C(25, 1, 3, 10);3;1,83333;2800;75
26;C(26, 1, 3, 8);3;1,88;3017;78
27;C(27, 1, 4, 10);3;1,84615;2855;81
28;C(28, 1, 4, 11);3;1,88889;5322;84
29;C(29, 1, 5, 13);3;1,92857;5641;87
30;C(30, 1, 5, 8);3;1,96552;7266;90
31;C(31, 1, 4, 11);3;2;7971;93
32;C(32, 1, 4, 10);3;2,03226;6797;96
33;C(33, 1, 4, 10);3;2,0625;7183;99
34;C(34, 1, 4, 14);3;2,09091;10827;102
35;C(35, 1, 4, 10);3;2,11765;9581;105
36;C(36, 1, 4, 10);3;2,14286;16529;108
37;C(37, 1, 4, 10);3;2,16667;12182;111
38;C(38, 1, 4, 10);3;2,18919;18610;114
39;C(39, 1, 4, 11);3;2,21053;22264;117
40;C(40, 1, 4, 15);3;2,23077;20665;120
41;C(41, 1, 4, 10);3;2,25;18967;123
42;C(42, 1, 4, 16);3;2,26829;32366;126
43;C(43, 1, 4, 11);3;2,28571;36240;129
44;C(44, 1, 4, 17);3;2,30233;30210;132
45;C(45, 1, 4, 13);3;2,31818;30563;135
46;C(46, 1, 4, 18);3;2,33333;52175;138
47;C(47, 1, 4, 18);3;2,34783;49704;141
48;C(48, 1, 7, 18);3;2,3617;45157;144
49;C(49, 1, 6, 17);3;2,375;66451;147
50;C(50, 1, 8, 12);3;2,38776;51448;150
51;C(51, 1, 4, 15);4;2,44;55305;153
52;C(52, 2, 10, 13);3;2,43137;85930;156
53;C(53, 1, 4, 21);4;2,46154;73447;159
54;C(54, 1, 8, 12);4;2,45283;79630;162
55;C(55, 1, 5, 21);3;2,44444;79833;165
56;C(56, 2, 7, 24);4;2,49091;89023;168
57;C(57, 1, 5, 22);4;2,5;89507;171
58;C(58, 1, 4, 16);4;2,52632;113785;174
59;C(59, 1, 7, 18);4;2,51724;124679;177
60;C(60, 1, 9, 22);4;2,55932;115224;180
61;C(61, 1, 6, 26);4;2,56667;170066;183
62;C(62, 1, 5, 18);4;2,57377;141672;186
63;C(63, 1, 24, 28);4;2,58065;171268;189
64;C(64, 1, 4, 25);4;2,60317;156059;192
65;C(65, 1, 4, 18);4;2,625;169944;195
66;C(66, 1, 6, 25);4;2,64615;179756;198
67;C(67, 1, 4, 19);4;2,66667;234569;201
68;C(68, 1, 6, 26);4;2,65672;227968;204
69;C(69, 1, 6, 22);4;2,70588;252062;207
70;C(70, 1, 16, 25);4;2,66667;240065;210
71;C(71, 1, 7, 30);4;2,68571;257912;213
72;C(72, 1, 8, 30);4;2,70423;269018;216
73;C(73, 1, 6, 21);4;2,72222;297846;219
74;C(74, 1, 8, 20);4;2,73973;314829;222
75;C(75, 1, 6, 22);4;2,75676;358916;225
76;C(76, 1, 7, 18);4;2,77333;352558;228
