Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
100;C(100, 1, 16, 22);4;3.07071;934227;300
100;C(100, 2, 9, 44);4;3.07071;934227;300
100;C(100, 2, 41, 44);4;3.07071;934227;300
100;C(100, 3, 34, 48);4;3.07071;934227;300
100;C(100, 4, 18, 19);4;3.07071;934227;300
100;C(100, 4, 18, 31);4;3.07071;934227;300
100;C(100, 6, 23, 32);4;3.07071;934227;300
100;C(100, 6, 27, 32);4;3.07071;934227;300
100;C(100, 7, 12, 46);4;3.07071;934227;300
100;C(100, 8, 13, 14);4;3.07071;934227;300
100;C(100, 8, 14, 37);4;3.07071;934227;300
100;C(100, 11, 24, 42);4;3.07071;934227;300
100;C(100, 12, 43, 46);4;3.07071;934227;300
100;C(100, 16, 22, 49);4;3.07071;934227;300
100;C(100, 17, 26, 28);4;3.07071;934227;300
100;C(100, 21, 36, 38);4;3.07071;934227;300
100;C(100, 24, 39, 42);4;3.07071;934227;300
100;C(100, 26, 28, 33);4;3.07071;934227;300
100;C(100, 29, 36, 38);4;3.07071;934227;300
100;C(100, 34, 47, 48);4;3.07071;934227;300
