Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
412;C(412, 1, 6, 27, 104, 162);4;3.270073;6114435;2060
412;C(412, 1, 6, 42, 57, 145);4;3.270073;6114435;2060
412;C(412, 1, 6, 46, 61, 164);4;3.270073;6114435;2060
412;C(412, 1, 6, 57, 79, 104);4;3.270073;6114435;2060
412;C(412, 1, 6, 76, 91, 128);4;3.270073;6114435;2060
412;C(412, 1, 7, 25, 80, 115);4;3.270073;6114435;2060
412;C(412, 1, 7, 78, 123, 191);4;3.270073;6114435;2060
412;C(412, 1, 7, 110, 157, 181);4;3.270073;6114435;2060
412;C(412, 1, 9, 39, 112, 164);4;3.270073;6114435;2060
412;C(412, 1, 9, 60, 161, 195);4;3.270073;6114435;2060
412;C(412, 1, 9, 66, 79, 104);4;3.270073;6114435;2060
412;C(412, 1, 9, 66, 104, 127);4;3.270073;6114435;2060
412;C(412, 1, 10, 147, 162, 185);4;3.270073;6114435;2060
412;C(412, 1, 11, 95, 162, 198);4;3.270073;6114435;2060
412;C(412, 1, 12, 89, 130, 187);4;3.270073;6114435;2060
412;C(412, 1, 13, 46, 102, 143);4;3.270073;6114435;2060
412;C(412, 1, 13, 96, 154, 185);4;3.270073;6114435;2060
412;C(412, 1, 13, 113, 166, 202);4;3.270073;6114435;2060
412;C(412, 1, 14, 24, 89, 171);4;3.270073;6114435;2060
412;C(412, 1, 14, 48, 102, 139);4;3.270073;6114435;2060
412;C(412, 1, 15, 40, 98, 188);4;3.270073;6114435;2060
412;C(412, 1, 15, 53, 110, 131);4;3.270073;6114435;2060
412;C(412, 1, 17, 72, 79, 101);4;3.270073;6114435;2060
412;C(412, 1, 17, 74, 122, 175);4;3.270073;6114435;2060
412;C(412, 1, 17, 85, 145, 192);4;3.270073;6114435;2060
412;C(412, 1, 17, 86, 130, 159);4;3.270073;6114435;2060
412;C(412, 1, 18, 45, 157, 169);4;3.270073;6114435;2060
412;C(412, 1, 18, 75, 121, 202);4;3.270073;6114435;2060
412;C(412, 1, 18, 113, 155, 182);4;3.270073;6114435;2060
412;C(412, 1, 20, 91, 97, 165);4;3.270073;6114435;2060
412;C(412, 1, 21, 27, 133, 170);4;3.270073;6114435;2060
412;C(412, 1, 21, 34, 121, 159);4;3.270073;6114435;2060
412;C(412, 1, 21, 60, 93, 109);4;3.270073;6114435;2060
412;C(412, 1, 21, 93, 147, 162);4;3.270073;6114435;2060
412;C(412, 1, 21, 152, 166, 191);4;3.270073;6114435;2060
412;C(412, 1, 22, 29, 76, 189);4;3.270073;6114435;2060
412;C(412, 1, 22, 49, 90, 102);4;3.270073;6114435;2060
412;C(412, 1, 23, 37, 156, 185);4;3.270073;6114435;2060
412;C(412, 1, 23, 64, 73, 102);4;3.270073;6114435;2060
412;C(412, 1, 23, 73, 128, 163);4;3.270073;6114435;2060
412;C(412, 1, 23, 95, 114, 174);4;3.270073;6114435;2060
412;C(412, 1, 24, 112, 127, 169);4;3.270073;6114435;2060
412;C(412, 1, 25, 31, 78, 173);4;3.270073;6114435;2060
412;C(412, 1, 25, 39, 84, 197);4;3.270073;6114435;2060
412;C(412, 1, 25, 57, 67, 130);4;3.270073;6114435;2060
412;C(412, 1, 26, 35, 41, 195);4;3.270073;6114435;2060
412;C(412, 1, 26, 35, 101, 195);4;3.270073;6114435;2060
412;C(412, 1, 26, 41, 73, 176);4;3.270073;6114435;2060
412;C(412, 1, 26, 47, 109, 200);4;3.270073;6114435;2060
412;C(412, 1, 28, 34, 105, 116);4;3.270073;6114435;2060
412;C(412, 1, 28, 148, 154, 163);4;3.270073;6114435;2060
412;C(412, 1, 28, 154, 166, 187);4;3.270073;6114435;2060
412;C(412, 1, 29, 159, 172, 179);4;3.270073;6114435;2060
412;C(412, 1, 30, 104, 181, 189);4;3.270073;6114435;2060
412;C(412, 1, 30, 112, 125, 182);4;3.270073;6114435;2060
412;C(412, 1, 30, 162, 171, 185);4;3.270073;6114435;2060
412;C(412, 1, 31, 55, 130, 201);4;3.270073;6114435;2060
412;C(412, 1, 31, 83, 173, 200);4;3.270073;6114435;2060
