Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
484;C(484, 1, 88, 139, 150);6;3.9793;129712865831;1936
484;C(484, 1, 195, 210, 220);6;3.9793;129712865831;1936
484;C(484, 2, 44, 53, 171);6;3.9793;129712865831;1936
484;C(484, 2, 44, 71, 189);6;3.9793;129712865831;1936
484;C(484, 3, 34, 67, 220);6;3.9793;129712865831;1936
484;C(484, 3, 101, 146, 176);6;3.9793;129712865831;1936
484;C(484, 5, 7, 82, 132);6;3.9793;129712865831;1936
484;C(484, 5, 44, 211, 218);6;3.9793;129712865831;1936
484;C(484, 6, 29, 132, 159);6;3.9793;129712865831;1936
484;C(484, 6, 83, 132, 213);6;3.9793;129712865831;1936
484;C(484, 7, 18, 87, 88);6;3.9793;129712865831;1936
484;C(484, 9, 44, 46, 181);6;3.9793;129712865831;1936
484;C(484, 9, 102, 176, 201);6;3.9793;129712865831;1936
484;C(484, 10, 23, 129, 220);6;3.9793;129712865831;1936
484;C(484, 10, 113, 219, 220);6;3.9793;129712865831;1936
484;C(484, 13, 14, 129, 176);6;3.9793;129712865831;1936
484;C(484, 13, 44, 115, 174);6;3.9793;129712865831;1936
484;C(484, 14, 113, 176, 229);6;3.9793;129712865831;1936
484;C(484, 15, 21, 88, 238);6;3.9793;129712865831;1936
484;C(484, 15, 132, 149, 170);6;3.9793;129712865831;1936
484;C(484, 17, 44, 57, 130);6;3.9793;129712865831;1936
484;C(484, 17, 73, 132, 182);6;3.9793;129712865831;1936
484;C(484, 18, 88, 155, 235);6;3.9793;129712865831;1936
484;C(484, 19, 54, 220, 221);6;3.9793;129712865831;1936
484;C(484, 19, 118, 167, 176);6;3.9793;129712865831;1936
484;C(484, 21, 54, 220, 223);6;3.9793;129712865831;1936
484;C(484, 23, 62, 88, 191);6;3.9793;129712865831;1936
484;C(484, 25, 35, 74, 176);6;3.9793;129712865831;1936
484;C(484, 25, 87, 122, 220);6;3.9793;129712865831;1936
484;C(484, 26, 37, 45, 88);6;3.9793;129712865831;1936
484;C(484, 26, 88, 197, 205);6;3.9793;129712865831;1936
484;C(484, 27, 44, 119, 178);6;3.9793;129712865831;1936
484;C(484, 27, 59, 132, 138);6;3.9793;129712865831;1936
484;C(484, 29, 88, 153, 202);6;3.9793;129712865831;1936
484;C(484, 30, 69, 97, 176);6;3.9793;129712865831;1936
484;C(484, 30, 145, 173, 176);6;3.9793;129712865831;1936
484;C(484, 31, 44, 218, 237);6;3.9793;129712865831;1936
484;C(484, 31, 47, 176, 190);6;3.9793;129712865831;1936
484;C(484, 34, 175, 220, 239);6;3.9793;129712865831;1936
484;C(484, 35, 44, 49, 90);6;3.9793;129712865831;1936
484;C(484, 37, 132, 181, 226);6;3.9793;129712865831;1936
484;C(484, 38, 39, 132, 139);6;3.9793;129712865831;1936
484;C(484, 38, 103, 132, 203);6;3.9793;129712865831;1936
484;C(484, 39, 42, 44, 97);6;3.9793;129712865831;1936
484;C(484, 41, 102, 176, 233);6;3.9793;129712865831;1936
484;C(484, 41, 109, 142, 220);6;3.9793;129712865831;1936
484;C(484, 42, 44, 145, 203);6;3.9793;129712865831;1936
484;C(484, 43, 88, 158, 169);6;3.9793;129712865831;1936
484;C(484, 43, 157, 166, 220);6;3.9793;129712865831;1936
484;C(484, 44, 46, 61, 233);6;3.9793;129712865831;1936
484;C(484, 44, 75, 105, 222);6;3.9793;129712865831;1936
484;C(484, 44, 79, 83, 134);6;3.9793;129712865831;1936
484;C(484, 44, 86, 93, 141);6;3.9793;129712865831;1936
484;C(484, 44, 86, 101, 149);6;3.9793;129712865831;1936
484;C(484, 44, 90, 193, 207);6;3.9793;129712865831;1936
484;C(484, 44, 123, 178, 215);6;3.9793;129712865831;1936
484;C(484, 44, 127, 174, 229);6;3.9793;129712865831;1936
484;C(484, 44, 130, 185, 225);6;3.9793;129712865831;1936
484;C(484, 44, 134, 159, 163);6;3.9793;129712865831;1936
484;C(484, 44, 137, 167, 222);6;3.9793;129712865831;1936
484;C(484, 45, 63, 220, 230);6;3.9793;129712865831;1936
484;C(484, 47, 210, 220, 241);6;3.9793;129712865831;1936
484;C(484, 49, 125, 126, 132);6;3.9793;129712865831;1936
484;C(484, 50, 81, 127, 132);6;3.9793;129712865831;1936
484;C(484, 50, 115, 132, 161);6;3.9793;129712865831;1936
484;C(484, 51, 62, 88, 219);6;3.9793;129712865831;1936
484;C(484, 51, 94, 132, 171);6;3.9793;129712865831;1936
484;C(484, 53, 107, 176, 206);6;3.9793;129712865831;1936
484;C(484, 57, 162, 176, 179);6;3.9793;129712865831;1936
484;C(484, 58, 85, 119, 176);6;3.9793;129712865831;1936
484;C(484, 58, 123, 157, 176);6;3.9793;129712865831;1936
484;C(484, 59, 88, 111, 194);6;3.9793;129712865831;1936
484;C(484, 61, 132, 205, 226);6;3.9793;129712865831;1936
484;C(484, 63, 162, 176, 185);6;3.9793;129712865831;1936
484;C(484, 65, 70, 88, 161);6;3.9793;129712865831;1936
484;C(484, 65, 91, 98, 220);6;3.9793;129712865831;1936
484;C(484, 67, 88, 114, 117);6;3.9793;129712865831;1936
484;C(484, 69, 89, 186, 220);6;3.9793;129712865831;1936
484;C(484, 70, 81, 88, 177);6;3.9793;129712865831;1936
484;C(484, 71, 94, 132, 191);6;3.9793;129712865831;1936
484;C(484, 73, 88, 158, 199);6;3.9793;129712865831;1936
484;C(484, 74, 176, 207, 217);6;3.9793;129712865831;1936
484;C(484, 75, 118, 176, 223);6;3.9793;129712865831;1936
484;C(484, 78, 107, 131, 220);6;3.9793;129712865831;1936
484;C(484, 78, 111, 135, 220);6;3.9793;129712865831;1936
484;C(484, 79, 151, 176, 234);6;3.9793;129712865831;1936
484;C(484, 82, 132, 235, 237);6;3.9793;129712865831;1936
484;C(484, 85, 166, 199, 220);6;3.9793;129712865831;1936
484;C(484, 88, 89, 202, 213);6;3.9793;129712865831;1936
484;C(484, 88, 95, 106, 133);6;3.9793;129712865831;1936
484;C(484, 88, 103, 150, 241);6;3.9793;129712865831;1936
484;C(484, 88, 106, 109, 147);6;3.9793;129712865831;1936
484;C(484, 88, 114, 125, 175);6;3.9793;129712865831;1936
484;C(484, 88, 131, 183, 194);6;3.9793;129712865831;1936
484;C(484, 88, 221, 227, 238);6;3.9793;129712865831;1936
484;C(484, 91, 163, 176, 234);6;3.9793;129712865831;1936
484;C(484, 93, 132, 170, 227);6;3.9793;129712865831;1936
484;C(484, 95, 132, 137, 214);6;3.9793;129712865831;1936
484;C(484, 98, 151, 177, 220);6;3.9793;129712865831;1936
484;C(484, 105, 132, 147, 214);6;3.9793;129712865831;1936
484;C(484, 117, 126, 132, 193);6;3.9793;129712865831;1936
484;C(484, 122, 155, 217, 220);6;3.9793;129712865831;1936
484;C(484, 132, 138, 183, 215);6;3.9793;129712865831;1936
484;C(484, 132, 169, 182, 225);6;3.9793;129712865831;1936
484;C(484, 133, 142, 201, 220);6;3.9793;129712865831;1936
484;C(484, 135, 176, 189, 206);6;3.9793;129712865831;1936
484;C(484, 141, 146, 176, 239);6;3.9793;129712865831;1936
484;C(484, 153, 173, 186, 220);6;3.9793;129712865831;1936
484;C(484, 176, 190, 195, 211);6;3.9793;129712865831;1936
484;C(484, 179, 197, 220, 230);6;3.9793;129712865831;1936
