Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
324;C(324, 1, 50, 117);7;4.62848;3628391;972
325;C(325, 1, 13, 119);7;4.62963;3375031;975
325;C(325, 1, 30, 126);7;4.62963;3375031;975
325;C(325, 1, 49, 155);7;4.62963;3375031;975
325;C(325, 1, 52, 71);7;4.62963;3375031;975
326;C(326, 1, 12, 119);7;4.62769;3563144;978
326;C(326, 1, 63, 104);7;4.62769;3563144;978
326;C(326, 1, 128, 154);7;4.62769;3563144;978
327;C(327, 1, 12, 99);7;4.64417;3437782;981
327;C(327, 1, 90, 100);7;4.64417;3437782;981
327;C(327, 1, 99, 121);7;4.64417;3437782;981
328;C(328, 1, 13, 120);7;4.6422;3493726;984
328;C(328, 1, 16, 101);7;4.6422;3493726;984
328;C(328, 1, 23, 104);7;4.6422;3493726;984
328;C(328, 1, 24, 57);7;4.6422;3493726;984
329;C(329, 1, 24, 57);7;4.64024;3522335;987
329;C(329, 1, 87, 127);7;4.64024;3522335;987
329;C(329, 1, 96, 121);7;4.64024;3522335;987
330;C(330, 1, 76, 138);7;4.64438;3602416;990
331;C(331, 1, 20, 69);7;4.65455;3759389;993
331;C(331, 1, 20, 149);7;4.65455;3759389;993
331;C(331, 1, 24, 149);7;4.65455;3759389;993
332;C(332, 1, 33, 46);7;4.66465;3829139;996
332;C(332, 1, 102, 161);7;4.66465;3829139;996
333;C(333, 1, 9, 73);6;4.66867;3857429;999
333;C(333, 1, 36, 46);6;4.66867;3857429;999
333;C(333, 1, 144, 152);6;4.66867;3857429;999
334;C(334, 1, 46, 78);7;4.66667;3791868;1002
335;C(335, 1, 31, 72);7;4.68263;3839434;1005
335;C(335, 1, 33, 107);7;4.68263;3839434;1005
335;C(335, 1, 46, 117);7;4.68263;3839434;1005
335;C(335, 1, 51, 63);7;4.68263;3839434;1005
335;C(335, 1, 54, 132);7;4.68263;3839434;1005
335;C(335, 1, 63, 117);7;4.68263;3839434;1005
335;C(335, 1, 77, 140);7;4.68263;3839434;1005
335;C(335, 1, 87, 120);7;4.68263;3839434;1005
336;C(336, 1, 14, 124);7;4.67463;3870447;1008
337;C(337, 1, 11, 129);7;4.69048;4002371;1011
337;C(337, 1, 60, 128);7;4.69048;4002371;1011
337;C(337, 1, 73, 92);7;4.69048;4002371;1011
338;C(338, 1, 22, 58);7;4.69139;4352900;1014
338;C(338, 1, 50, 82);7;4.69139;4352900;1014
339;C(339, 1, 14, 125);7;4.69822;4887367;1017
339;C(339, 1, 121, 130);7;4.69822;4887367;1017
339;C(339, 1, 133, 160);7;4.69822;4887367;1017
340;C(340, 1, 40, 134);7;4.70796;4824613;1020
340;C(340, 1, 70, 154);7;4.70796;4824613;1020
341;C(341, 1, 12, 149);7;4.70588;4581772;1023
341;C(341, 1, 16, 142);7;4.70588;4581772;1023
341;C(341, 1, 16, 150);7;4.70588;4581772;1023
