Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
4;C(4, 1, 2);1;1;4;8
5;C(5, 1, 2);1;1;2;10
6;C(6, 1, 2);2;1.2;5;12
7;C(7, 1, 2);2;1.33333;6;14
7;C(7, 1, 3);2;1.33333;6;14
7;C(7, 2, 3);2;1.33333;6;14
8;C(8, 1, 2);2;1.42857;11;16
8;C(8, 1, 3);2;1.42857;11;16
8;C(8, 2, 3);2;1.42857;11;16
9;C(9, 1, 2);2;1.5;23;18
9;C(9, 1, 3);2;1.5;23;18
9;C(9, 1, 4);2;1.5;23;18
9;C(9, 2, 3);2;1.5;23;18
9;C(9, 2, 4);2;1.5;23;18
9;C(9, 3, 4);2;1.5;23;18
10;C(10, 1, 4);2;1.55556;22;20
10;C(10, 2, 3);2;1.55556;22;20
