Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
231;C(231, 1, 20);11;7.17391;7667795;462
232;C(232, 1, 22);11;7.19048;7592783;464
233;C(233, 1, 71);11;7.2069;8189407;466
234;C(234, 1, 86);11;7.22318;7381167;468
235;C(235, 1, 65);11;7.23932;8864461;470
236;C(236, 1, 42);11;7.25532;8057057;472
237;C(237, 1, 44);11;7.27119;8607132;474
238;C(238, 1, 64);11;7.28692;8546967;476
239;C(239, 1, 25);11;7.30252;10100201;478
240;C(240, 1, 110);11;7.31799;8688931;480
241;C(241, 1, 21);11;7.33333;10619454;482
242;C(242, 1, 21);11;7.34855;11120737;484
243;C(243, 1, 21);11;7.36364;11312463;486
244;C(244, 1, 72);11;7.3786;11011683;488
245;C(245, 1, 88);11;7.39344;12076467;490
246;C(246, 1, 66);11;7.40816;10988327;492
247;C(247, 1, 46);11;7.42276;12743331;494
248;C(248, 1, 26);11;7.43725;11828062;496
249;C(249, 1, 69);11;7.45161;11982897;498
250;C(250, 1, 20);11;7.46586;10816259;500
251;C(251, 1, 20);11;7.48;12007519;502
252;C(252, 1, 24);11;7.49402;10697549;504
253;C(253, 1, 22);11;7.50794;13587129;506
254;C(254, 1, 22);11;7.52174;12386295;508
255;C(255, 1, 117);11;7.53543;12621446;510
256;C(256, 1, 92);11;7.54902;11810515;512
257;C(257, 1, 69);11;7.5625;13072737;514
258;C(258, 1, 48);11;7.57588;11745580;516
259;C(259, 1, 46);11;7.58915;13366810;518
260;C(260, 1, 72);11;7.60232;12169209;520
261;C(261, 1, 96);11;7.61538;13045260;522
262;C(262, 1, 118);11;7.62835;12854630;524
263;C(263, 1, 21);11;7.64122;14003686;526
264;C(264, 11, 12);11;7.65399;12466644;528
265;C(265, 1, 23);11;7.66667;14054216;530
266;C(266, 1, 122);12;7.68302;13288707;532
267;C(267, 1, 96);12;7.69925;14182725;534
268;C(268, 1, 72);12;7.71536;13773655;536
269;C(269, 1, 50);12;7.73134;15312948;538
270;C(270, 1, 48);12;7.74721;13432468;540
271;C(271, 1, 75);12;7.76296;15705784;542
272;C(272, 1, 100);12;7.7786;14439854;544
273;C(273, 1, 123);12;7.79412;15171944;546
274;C(274, 1, 26);12;7.80952;15126983;548
275;C(275, 1, 22);12;7.82482;16203566;550
276;C(276, 1, 22);12;7.84;14652848;552
277;C(277, 1, 24);12;7.85507;17105147;554
278;C(278, 1, 100);12;7.87004;15920067;556
279;C(279, 1, 75);12;7.88489;16940651;558
280;C(280, 1, 52);12;7.89964;15751296;560
281;C(281, 1, 50);12;7.91429;18034549;562
282;C(282, 1, 78);12;7.92883;16096905;564
283;C(283, 1, 76);12;7.94326;18580145;566
284;C(284, 1, 128);12;7.9576;17051539;568
285;C(285, 1, 27);12;7.97183;17794841;570
286;C(286, 2, 121);12;7.98596;17699256;572
287;C(287, 1, 23);12;8;19105229;574
288;C(288, 1, 23);12;8.01394;17119850;576
289;C(289, 1, 23);12;8.02778;20081738;578
290;C(290, 1, 66);12;8.04152;18136972;580
291;C(291, 1, 68);12;8.05517;19771858;582
292;C(292, 1, 44);12;8.06873;19168660;584
293;C(293, 1, 46);12;8.08219;21378849;586
294;C(294, 1, 114);12;8.09556;18832588;588
295;C(295, 1, 28);12;8.10884;21469464;590
296;C(296, 1, 92);12;8.12203;19408562;592
297;C(297, 1, 22);12;8.13514;19758278;594
298;C(298, 1, 22);12;8.14815;19203242;596
299;C(299, 1, 26);12;8.16107;21087355;598
300;C(300, 1, 24);12;8.17391;18289342;600
