Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
6;C(6, 1, 2, 3);1;1;3;18
7;C(7, 1, 2, 3);1;1;3;21
8;C(8, 1, 2, 3);2;1.14286;8;24
9;C(9, 1, 2, 3);2;1.25;11;27
9;C(9, 1, 2, 4);2;1.25;11;27
9;C(9, 1, 3, 4);2;1.25;11;27
9;C(9, 2, 3, 4);2;1.25;11;27
10;C(10, 1, 2, 3);2;1.33333;22;30
10;C(10, 1, 2, 4);2;1.33333;22;30
10;C(10, 1, 3, 4);2;1.33333;22;30
10;C(10, 2, 3, 4);2;1.33333;22;30
11;C(11, 1, 2, 3);2;1.4;30;33
11;C(11, 1, 2, 4);2;1.4;30;33
11;C(11, 1, 2, 5);2;1.4;30;33
11;C(11, 1, 3, 4);2;1.4;30;33
11;C(11, 1, 3, 5);2;1.4;30;33
11;C(11, 1, 4, 5);2;1.4;30;33
11;C(11, 2, 3, 4);2;1.4;30;33
11;C(11, 2, 3, 5);2;1.4;30;33
11;C(11, 2, 4, 5);2;1.4;30;33
11;C(11, 3, 4, 5);2;1.4;30;33
12;C(12, 1, 2, 3);2;1.45455;67;36
12;C(12, 1, 2, 4);2;1.45455;67;36
12;C(12, 1, 2, 5);2;1.45455;67;36
12;C(12, 1, 3, 4);2;1.45455;67;36
12;C(12, 1, 3, 5);2;1.45455;67;36
12;C(12, 1, 4, 5);2;1.45455;67;36
12;C(12, 2, 3, 4);2;1.45455;67;36
12;C(12, 2, 3, 5);2;1.45455;67;36
12;C(12, 2, 4, 5);2;1.45455;67;36
12;C(12, 3, 4, 5);2;1.45455;67;36
13;C(13, 1, 2, 3);2;1.5;64;39
13;C(13, 1, 2, 4);2;1.5;64;39
13;C(13, 1, 2, 5);2;1.5;64;39
13;C(13, 1, 2, 6);2;1.5;64;39
13;C(13, 1, 3, 4);2;1.5;64;39
13;C(13, 1, 3, 5);2;1.5;64;39
13;C(13, 1, 3, 6);2;1.5;64;39
13;C(13, 1, 4, 5);2;1.5;64;39
13;C(13, 1, 4, 6);2;1.5;64;39
13;C(13, 1, 5, 6);2;1.5;64;39
13;C(13, 2, 3, 4);2;1.5;64;39
13;C(13, 2, 3, 5);2;1.5;64;39
13;C(13, 2, 3, 6);2;1.5;64;39
13;C(13, 2, 4, 5);2;1.5;64;39
13;C(13, 2, 4, 6);2;1.5;64;39
13;C(13, 2, 5, 6);2;1.5;64;39
13;C(13, 3, 4, 5);2;1.5;64;39
13;C(13, 3, 4, 6);2;1.5;64;39
13;C(13, 3, 5, 6);2;1.5;64;39
13;C(13, 4, 5, 6);2;1.5;64;39
14;C(14, 1, 2, 5);2;1.53846;127;42
