Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
501;"C(501; 15, 16)";16;10,56;611;1002
502;"C(502; 15, 16)";16;10,5709;618;1004
503;"C(503; 15, 16)";16;10,5817;616;1006
504;"C(504; 15, 16)";16;10,5924;618;1008
505;"C(505; 15, 16)";16;10,6032;621;1010
506;"C(506; 15, 16)";16;10,6139;687;1012
507;"C(507; 15, 16)";16;10,6245;708;1014
508;"C(508; 15, 16)";16;10,6351;621;1016
509;"C(509; 15, 16)";16;10,6457;621;1018
510;"C(510; 15, 16)";16;10,6562;623;1020
511;"C(511; 15, 16)";16;10,6667;656;1022
512;"C(512; 15, 16)";16;10,6771;610;1024
513;"C(513; 16, 17)";16;10,6875;673;1026
514;"C(514; 16, 17)";16;10,6979;692;1028
515;"C(515; 16, 17)";16;10,7082;696;1030
516;"C(516; 16, 17)";16;10,7184;696;1032
517;"C(517; 16, 17)";16;10,7287;697;1034
518;"C(518; 16, 17)";16;10,7389;702;1036
519;"C(519; 16, 17)";16;10,749;702;1038
520;"C(520; 16, 17)";16;10,7592;704;1040
521;"C(521; 16, 17)";16;10,7692;704;1042
522;"C(522; 16, 17)";16;10,7793;707;1044
523;"C(523; 16, 17)";16;10,7893;723;1046
524;"C(524; 16, 17)";16;10,7992;712;1048
525;"C(525; 16, 17)";16;10,8092;711;1050
526;"C(526; 16, 17)";16;10,819;711;1052
527;"C(527; 16, 17)";16;10,8289;712;1054
528;"C(528; 16, 17)";16;10,8387;1078;1056
529;"C(529; 16, 17)";16;10,8485;774;1058
